Table 1. Summary of Visitor Statistics: 2024 vs. 2023,,,,,,,,,,
,,,,,,,,,,
EXPENDITURE CATEGORY,2024,2023,(%) Change,,,,,,,
,,,,,,,,,,
TOTAL EXPENDITURES ($mil.)," 20,719.7 "," 20,866.3 ",-0.7 ,,,,,,,
Visitor arrivals by air," 20,488.7 "," 20,662.8 ",-0.8 ,,,,,,,
Visitor arrivals by cruise ships,89.3 ,71.5 ,25.0 ,,,,,,,
Supplemental business (all MMAs), 141.7 , 132.0 ,7.3 ,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MMA (Air & Ship),2024,2023,(%) Change,,,,,,,
,,,,,,,,,,
TOTAL PERSONAL EXPENDITURES ($mil.)," 20,578.0 "," 20,734.3 ",-0.8 ,,,,,,,
Visitor arrivals by air," 20,488.7 "," 20,662.8 ",-0.8 ,,,,,,,
U.S. Total," 15,705.2 "," 15,821.7 ",-0.7 ,,,,,,,
U.S. West," 9,641.5 "," 9,592.7 ",0.5 ,,,,,,,
U.S. East," 6,063.7 "," 6,229.0 ",-2.7 ,,,,,,,
Japan," 1,050.6 ", 930.3 ,12.9 ,,,,,,,
Canada," 1,092.1 "," 1,230.3 ",-11.2 ,,,,,,,
Europe, 317.0 , 369.0 ,-14.1 ,,,,,,,
Oceania, 535.9 , 631.2 ,-15.1 ,,,,,,,
Other Asia, 601.6 , 579.3 ,3.9 ,,,,,,,
Latin America, 89.3 , 94.4 ,-5.5 ,,,,,,,
Other," 1,096.9 "," 1,006.6 ",9.0 ,,,,,,,
Visitor arrivals by cruise ships,89.3 ,71.5 ,25.0 ,,,,,,,
TOTAL VISITOR DAYS,"84,516,023 ","86,426,013 ",-2.2 ,,,,,,,
Visitor arrivals by air,"83,723,188 ","85,674,126 ",-2.3 ,,,,,,,
U.S. Total,"64,875,069 ","66,288,269 ",-2.1 ,,,,,,,
U.S. West,"41,961,635 ","42,564,352 ",-1.4 ,,,,,,,
U.S. East,"22,913,434 ","23,723,917 ",-3.4 ,,,,,,,
Japan,"4,385,692 ","3,864,472 ",13.5 ,,,,,,,
Canada,"4,886,174 ","5,585,244 ",-12.5 ,,,,,,,
Europe,"1,486,935 ","1,517,015 ",-2.0 ,,,,,,,
Oceania,"1,784,211 ","2,135,047 ",-16.4 ,,,,,,,
Other Asia,"1,861,765 ","1,828,030 ",1.8 ,,,,,,,
Latin America,"343,267 ","301,263 ",13.9 ,,,,,,,
Other,"4,100,074 ","4,154,785 ",-1.3 ,,,,,,,
Visitor arrivals by cruise ships,"792,836 ","751,888 ",5.4 ,,,,,,,
VISITOR ARRIVALS,"9,701,499 ","9,657,607 ",0.5 ,,,,,,,
Visitor arrivals by air,"9,533,375 ","9,499,995 ",0.4 ,,,,,,,
U.S. Total,"7,370,501 ","7,427,242 ",-0.8 ,,,,,,,
U.S. West,"4,997,064 ","5,000,099 ",-0.1 ,,,,,,,
U.S. East,"2,373,437 ","2,427,144 ",-2.2 ,,,,,,,
Japan,"708,233 ","589,172 ",20.2 ,,,,,,,
Canada,"445,984 ","474,727 ",-6.1 ,,,,,,,
Europe,"117,962 ","117,241 ",0.6 ,,,,,,,
Oceania,"203,473 ","236,127 ",-13.8 ,,,,,,,
Other Asia,"222,302 ","214,609 ",3.6 ,,,,,,,
Latin America,"32,479 ","28,121 ",15.5 ,,,,,,,
Other,"432,441 ","412,755 ",4.8 ,,,,,,,
Visitor arrivals by cruise ships,"168,123 ","157,612 ",6.7 ,,,,,,,
AVERAGE DAILY CENSUS,"230,918 ","236,784 ",-2.5 ,,,,,,,
Visitor arrivals by air,"228,752 ","234,724 ",-2.5 ,,,,,,,
U.S. Total,"177,254 ","181,612 ",-2.4 ,,,,,,,
U.S. West,"114,649 ","116,615 ",-1.7 ,,,,,,,
U.S. East,"62,605 ","64,997 ",-3.7 ,,,,,,,
Japan,"11,983 ","10,588 ",13.2 ,,,,,,,
Canada,"13,350 ","15,302 ",-12.8 ,,,,,,,
Europe,"4,063 ","4,156 ",-2.3 ,,,,,,,
Oceania,"4,875 ","5,849 ",-16.7 ,,,,,,,
Other Asia,"5,087 ","5,008 ",1.6 ,,,,,,,
Latin America,938 ,825 ,13.6 ,,,,,,,
Other,"11,202 ","11,383 ",-1.6 ,,,,,,,
Visitor arrivals by cruise ships,"2,166 ","2,060 ",5.2 ,,,,,,,
AVERAGE LENGTH OF STAY (days),8.71 ,8.95 ,-2.7 ,,,,,,,
Visitor arrivals of stay by air,8.78 ,9.02 ,-2.6 ,,,,,,,
U.S. Total,8.80 ,8.93 ,-1.4 ,,,,,,,
U.S. West,8.40 ,8.51 ,-1.4 ,,,,,,,
U.S. East,9.65 ,9.77 ,-1.2 ,,,,,,,
Japan,6.19 ,6.56 ,-5.6 ,,,,,,,
Canada,10.96 ,11.77 ,-6.9 ,,,,,,,
Europe,12.61 ,12.94 ,-2.6 ,,,,,,,
Oceania,8.77 ,9.04 ,-3.0 ,,,,,,,
Other Asia,8.37 ,8.52 ,-1.7 ,,,,,,,
Latin America,10.57 ,10.71 ,-1.3 ,,,,,,,
Other,9.48 ,10.07 ,-5.8 ,,,,,,,
Visitor arrivals of stay by cruise ships,4.72 ,4.77 ,-1.1 ,,,,,,,
PER PERSON PER DAY SPENDING ($), 243.5 , 239.9 ,1.5 ,,,,,,,
Visitor arrivals by air, 244.7 , 241.2 ,1.5 ,,,,,,,
U.S. Total, 242.1 , 238.7 ,1.4 ,,,,,,,
U.S. West, 229.8 , 225.4 ,2.0 ,,,,,,,
U.S. East, 264.6 , 262.6 ,0.8 ,,,,,,,
Japan, 239.6 , 240.7 ,-0.5 ,,,,,,,
Canada, 223.5 , 220.3 ,1.5 ,,,,,,,
Europe, 213.2 , 243.2 ,-12.3 ,,,,,,,
Oceania, 300.4 , 295.6 ,1.6 ,,,,,,,
Other Asia, 323.1 , 316.9 ,2.0 ,,,,,,,
Latin America, 260.1 , 313.5 ,-17.0 ,,,,,,,
Other, 267.5 , 242.3 ,10.4 ,,,,,,,
Visitor arrivals by cruise ships,112.6 ,95.1 ,18.5 ,,,,,,,
PER PERSON PER TRIP SPENDING ($)," 2,121.1 "," 2,146.9 ",-1.2 ,,,,,,,
Visitor arrivals by air," 2,149.2 "," 2,175.0 ",-1.2 ,,,,,,,
U.S. Total," 2,130.8 "," 2,130.2 ",0.0 ,,,,,,,
U.S. West," 1,929.4 "," 1,918.5 ",0.6 ,,,,,,,
U.S. East," 2,554.8 "," 2,566.4 ",-0.5 ,,,,,,,
Japan," 1,483.5 "," 1,578.9 ",-6.0 ,,,,,,,
Canada," 2,448.8 "," 2,591.6 ",-5.5 ,,,,,,,
Europe," 2,687.6 "," 3,147.0 ",-14.6 ,,,,,,,
Oceania," 2,633.8 "," 2,673.2 ",-1.5 ,,,,,,,
Other Asia," 2,706.2 "," 2,699.3 ",0.3 ,,,,,,,
Latin America," 2,749.1 "," 3,358.4 ",-18.1 ,,,,,,,
Other," 2,536.5 "," 2,438.8 ",4.0 ,,,,,,,
Visitor arrivals by cruise ships,531.2 ,453.5 ,17.1 ,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ISLAND (Air & Ship),2024,2023,(%) Change,,,,,,,
,,,,,,,,,,
"TOTAL EXPENDITURES ($mil, AIR + SHIP)"," 20,578.0 "," 20,734.3 ",-0.8 ,,,,,,,
Total by air," 20,488.7 "," 20,662.8 ",-0.8 ,,,,,,,
     O‘ahu," 8,944.9 "," 8,890.9 ",0.6 ,,,,,,,
     Maui," 5,300.3 "," 5,795.2 ",-8.5 ,,,,,,,
     Moloka‘i, 30.1 , 34.1 ,-11.9 ,,,,,,,
     Lāna‘i, 116.5 , 120.8 ,-3.6 ,,,,,,,
     Kaua‘i," 2,873.3 "," 2,792.8 ",2.9 ,,,,,,,
     Hawai‘i Island," 3,223.7 "," 3,029.0 ",6.4 ,,,,,,,
Visitor arrivals by cruise ships,89.3 ,71.5 ,25.0 ,,,,,,,
TOTAL VISITOR DAYS,"84,516,023 ","86,426,013 ",-2.2 ,,,,,,,
Total by air,"83,723,188 ","85,674,126 ",-2.3 ,,,,,,,
     O‘ahu,"40,850,180 ","40,511,989 ",0.8 ,,,,,,,
     Maui,"18,702,634 ","20,184,625 ",-7.3 ,,,,,,,
     Moloka‘i,"171,356 ","181,192 ",-5.4 ,,,,,,,
     Lāna‘i,"174,913 ","192,903 ",-9.3 ,,,,,,,
     Kaua‘i,"10,377,258 ","10,585,553 ",-2.0 ,,,,,,,
     Hawai‘i Island,"13,446,847 ","14,017,863 ",-4.1 ,,,,,,,
Visitor arrivals by cruise ships,"792,836 ","751,888 ",5.4 ,,,,,,,
VISITOR ARRIVALS,"9,701,499 ","9,657,607 ",0.5 ,,,,,,,
Total by air,"9,533,375 ","9,499,995 ",0.4 ,,,,,,,
     O‘ahu,"5,794,854 ","5,613,409 ",3.2 ,,,,,,,
     Maui,"2,352,272 ","2,495,038 ",-5.7 ,,,,,,,
     Moloka‘i,"29,910 ","33,224 ",-10.0 ,,,,,,,
     Lāna‘i,"45,444 ","53,870 ",-15.6 ,,,,,,,
     Kaua‘i,"1,393,101 ","1,418,688 ",-1.8 ,,,,,,,
     Hawai‘i Island,"1,735,380 ","1,779,063 ",-2.5 ,,,,,,,
Visitor arrivals by cruise ships,"168,123 ","157,612 ",6.7 ,,,,,,,
AVERAGE DAILY CENSUS,"230,918 ","236,784 ",-2.5 ,,,,,,,
Total by air,"228,752 ","234,724 ",-2.5 ,,,,,,,
     O‘ahu,"111,613 ","110,992 ",0.6 ,,,,,,,
     Maui,"51,100 ","55,300 ",-7.6 ,,,,,,,
     Moloka‘i,468 ,496 ,-5.7 ,,,,,,,
     Lāna‘i,478 ,529 ,-9.6 ,,,,,,,
     Kaua‘i,"28,353 ","29,002 ",-2.2 ,,,,,,,
     Hawai‘i Island,"36,740 ","38,405 ",-4.3 ,,,,,,,
Visitor arrivals by cruise ships,"2,166 ","2,060 ",5.2 ,,,,,,,
AVERAGE LENGTH OF STAY,8.71 ,8.95 ,-2.7 ,,,,,,,
Total by air,8.78 ,9.02 ,-2.6 ,,,,,,,
     O‘ahu,7.05 ,7.22 ,-2.3 ,,,,,,,
     Maui,7.95 ,8.09 ,-1.7 ,,,,,,,
     Moloka‘i,5.73 ,5.45 ,5.1 ,,,,,,,
     Lāna‘i,3.85 ,3.58 ,7.5 ,,,,,,,
     Kaua‘i,7.45 ,7.46 ,-0.2 ,,,,,,,
     Hawai‘i Island,7.75 ,7.88 ,-1.7 ,,,,,,,
Visitor arrivals by cruise ships,4.72 ,4.77 ,-1.1 ,,,,,,,
PER PERSON PER DAY SPENDING ($), 243.5 , 239.9 ,1.5 ,,,,,,,
Total by air, 244.7 , 241.2 ,1.5 ,,,,,,,
     O‘ahu, 219.0 , 219.5 ,-0.2 ,,,,,,,
     Maui, 283.4 , 287.1 ,-1.3 ,,,,,,,
     Moloka‘i, 175.5 , 188.3 ,-6.8 ,,,,,,,
     Lāna‘i, 665.9 , 626.2 ,6.3 ,,,,,,,
     Kaua‘i, 276.9 , 263.8 ,4.9 ,,,,,,,
     Hawai‘i Island, 239.7 , 216.1 ,10.9 ,,,,,,,
Visitor arrivals by cruise ships,112.6 ,95.1 ,18.5 ,,,,,,,
PER PERSON PER TRIP SPENDING ($)," 2,121.1 "," 2,146.9 ",-1.2 ,,,,,,,
Total by air," 2,149.2 "," 2,175.0 ",-1.2 ,,,,,,,
     O‘ahu," 1,543.6 "," 1,583.9 ",-2.5 ,,,,,,,
     Maui," 2,253.3 "," 2,322.7 ",-3.0 ,,,,,,,
     Moloka‘i," 1,005.2 "," 1,026.9 ",-2.1 ,,,,,,,
     Lāna‘i," 2,562.8 "," 2,242.3 ",14.3 ,,,,,,,
