"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,147,756","65.6%","59.7%","3.8%"
"    AGE","","","",""
"        16 to 19 years","61,572","41.5%","34.0%","9.7%"
"        20 to 24 years","90,595","81.7%","61.0%","8.7%"
"        25 to 29 years","103,541","86.0%","72.9%","5.2%"
"        30 to 34 years","97,484","83.0%","75.7%","2.5%"
"        35 to 44 years","181,541","85.2%","77.5%","4.1%"
"        45 to 54 years","171,390","83.2%","80.2%","2.2%"
"        55 to 59 years","86,295","79.4%","76.7%","3.2%"
"        60 to 64 years","93,871","63.4%","62.8%","1.0%"
"        65 to 74 years","149,372","32.7%","31.9%","2.4%"
"        75 years and over","112,095","8.0%","7.5%","6.4%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        White alone","298,022","65.4%","54.0%","4.5%"
"        Black or African American alone","24,140","81.0%","54.3%","11.2%"
"        American Indian and Alaska Native alone","N","N","N","N"
"        Asian alone","469,745","63.0%","61.2%","1.8%"
"        Native Hawaiian and Other Pacific Islander alone","112,003","62.9%","57.5%","7.7%"
"        Some other race alone","14,267","77.9%","59.9%","1.7%"
"        Two or more races","226,755","70.2%","65.7%","4.5%"
"        Hispanic or Latino origin (of any race)","99,023","72.5%","61.9%","5.1%"
"        White alone, not Hispanic or Latino","269,493","64.3%","53.5%","4.3%"
"Population 20 to 64 years","824,717","81.2%","73.7%","3.7%"
"    SEX","","","",""
"        Male","421,293","84.9%","74.1%","3.9%"
"        Female","403,424","77.2%","73.3%","3.4%"
"            With own children under 18 years","136,143","77.1%","73.0%","3.5%"
"                With own children under 6 years only","29,082","70.9%","66.2%","4.1%"
"                With own children under 6 years and 6 to 17  years","30,322","69.4%","64.8%","4.2%"
"                With own children 6 to 17 years only","76,739","82.5%","78.7%","3.0%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"        Below poverty level","66,869","48.9%","39.5%","18.6%"
"        At or above the poverty level","735,357","84.8%","78.7%","2.9%"
"    DISABILITY STATUS","","","",""
"        With any disability","66,187","46.6%","42.2%","6.4%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","734,122","81.1%","75.3%","3.2%"
"        Less than high school graduate","43,602","67.1%","64.6%","3.4%"
"        High school graduate (includes equivalency)","196,115","76.4%","70.5%","4.8%"
"        Some college or associate's degree","243,062","81.8%","75.0%","3.6%"
"        Bachelor's degree or higher","251,343","86.5%","81.1%","1.6%"
