"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!In labor force!!Estimate","Hawaii!!Employed!!Estimate","Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,102,147","65.2%","57.1%","7.7%"
"AGE","","","",""
"    16 to 19 years","64,083","34.9%","23.7%","28.1%"
"    20 to 24 years","98,552","75.6%","55.0%","13.4%"
"    25 to 44 years","368,648","83.1%","71.0%","8.0%"
"    45 to 54 years","188,751","82.1%","77.3%","4.8%"
"    55 to 64 years","178,644","67.9%","64.3%","5.4%"
"    65 to 74 years","106,372","29.3%","28.5%","2.7%"
"    75 years and over","97,097","7.8%","7.5%","4.8%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"    One race","N","N","N","N"
"        White","297,758","65.0%","53.2%","7.2%"
"        Black or African American","21,067","71.7%","36.4%","20.7%"
"        American Indian and Alaska Native","N","N","N","N"
"        Asian","453,464","63.5%","59.8%","4.8%"
"        Native Hawaiian and Other Pacific Islander","95,542","64.5%","55.7%","12.5%"
"        Some other race","14,112","66.6%","51.9%","6.5%"
"    Two or more races","216,836","68.5%","60.2%","11.0%"
"Hispanic or Latino origin (of any race)","84,483","65.9%","53.1%","12.9%"
"White alone, not Hispanic or Latino","276,343","64.7%","53.2%","7.0%"
"Population 20 to 64 years","834,595","78.7%","69.1%","7.3%"
"SEX","","","",""
"    Male","427,135","83.4%","69.6%","8.4%"
"    Female","407,460","73.9%","68.6%","6.0%"
"        With own children under 6 years","67,969","66.0%","59.7%","8.1%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"    Below poverty level","88,954","49.1%","34.3%","29.4%"
"DISABILITY STATUS","","","",""
"    With any disability","62,276","42.1%","34.7%","15.1%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","736,043","79.1%","71.0%","6.6%"
"    Less than high school graduate","49,524","63.4%","56.2%","11.2%"
"    High school graduate (includes equivalency)","197,308","74.7%","65.7%","9.6%"
"    Some college or associate's degree","267,442","79.9%","70.2%","6.6%"
"    Bachelor's degree or higher","221,769","85.7%","80.0%","3.4%"
"PERCENT IMPUTED","","","",""
"    Employment status for population 16 years and over","6.6%","(X)","(X)","(X)"
