"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!In labor force!!Estimate","Hawaii!!Employed!!Estimate","Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,122,846","65.5%","57.8%","7.1%"
"AGE","","","",""
"    16 to 19 years","67,439","38.1%","27.6%","22.7%"
"    20 to 24 years","103,126","77.1%","57.0%","12.1%"
"    25 to 44 years","374,450","83.9%","72.9%","6.8%"
"    45 to 54 years","185,698","82.7%","77.4%","5.3%"
"    55 to 64 years","181,710","66.8%","63.4%","5.0%"
"    65 to 74 years","111,941","31.3%","30.0%","4.2%"
"    75 years and over","98,482","6.1%","5.8%","5.0%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"    One race","N","N","N","N"
"        White","304,810","66.4%","54.0%","6.8%"
"        Black or African American","19,694","78.6%","48.3%","7.9%"
"        American Indian and Alaska Native","N","N","N","N"
"        Asian","464,335","62.8%","59.5%","4.7%"
"        Native Hawaiian and Other Pacific Islander","106,133","63.3%","54.9%","12.4%"
"        Some other race","12,698","76.9%","57.1%","13.3%"
"    Two or more races","212,125","69.4%","61.8%","9.4%"
"Hispanic or Latino origin (of any race)","88,920","70.3%","57.3%","10.6%"
"White alone, not Hispanic or Latino","280,626","66.1%","54.3%","6.5%"
"Population 20 to 64 years","844,984","79.1%","69.9%","6.7%"
"SEX","","","",""
"    Male","434,042","83.6%","70.6%","7.2%"
"    Female","410,942","74.5%","69.1%","6.1%"
"        With own children under 6 years","65,835","69.0%","62.9%","7.3%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"    Below poverty level","86,976","49.8%","36.2%","26.1%"
"DISABILITY STATUS","","","",""
"    With any disability","67,379","45.9%","37.1%","16.7%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","741,858","79.4%","71.7%","6.0%"
"    Less than high school graduate","52,029","61.9%","55.9%","9.7%"
"    High school graduate (includes equivalency)","203,228","75.4%","66.5%","8.7%"
"    Some college or associate's degree","254,654","81.1%","71.6%","6.2%"
"    Bachelor's degree or higher","231,947","85.0%","79.9%","3.2%"
"PERCENT IMPUTED","","","",""
"    Employment status for population 16 years and over","7.1%","(X)","(X)","(X)"
