"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,152,884","65.5%","58.6%","4.9%"
"AGE","","","",""
"    16 to 19 years","62,485","37.0%","27.7%","14.3%"
"    20 to 24 years","104,485","78.5%","58.6%","9.6%"
"    25 to 29 years","112,990","83.5%","68.3%","6.4%"
"    30 to 34 years","103,406","82.5%","71.8%","5.8%"
"    35 to 44 years","177,777","85.6%","78.1%","4.4%"
"    45 to 54 years","174,599","83.5%","79.7%","3.4%"
"    55 to 59 years","96,987","74.8%","72.8%","2.5%"
"    60 to 64 years","83,002","61.4%","59.5%","3.0%"
"    65 to 74 years","133,842","31.2%","30.3%","2.7%"
"    75 years and over","103,311","6.5%","6.3%","1.7%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"    White alone","319,110","66.3%","53.9%","5.3%"
"    Black or African American alone","25,526","79.4%","43.5%","10.4%"
"    American Indian and Alaska Native alone","N","N","N","N"
"    Asian alone","465,057","63.0%","60.6%","3.1%"
"    Native Hawaiian and Other Pacific Islander alone","100,797","65.1%","58.3%","9.1%"
"    Some other race alone","9,674","67.6%","52.9%","7.1%"
"    Two or more races","229,334","67.9%","63.0%","5.7%"
"Hispanic or Latino origin (of any race)","98,262","68.0%","56.7%","6.8%"
"White alone, not Hispanic or Latino","286,251","66.3%","54.3%","5.2%"
"Population 20 to 64 years","853,246","80.1%","71.6%","4.8%"
"    SEX","","","",""
"        Male","443,442","84.3%","72.2%","4.8%"
"        Female","409,804","75.5%","70.9%","4.9%"
"            With own children under 18 years","132,016","72.9%","68.7%","5.0%"
"                With own children under 6 years only","33,085","65.0%","58.9%","7.2%"
"                With own children under 6 years and 6 to 17 years","27,733","66.8%","62.4%","6.3%"
"                With own children under 6 to 17 years only","71,198","79.0%","75.6%","3.7%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"    Below poverty level","83,127","49.4%","38.9%","20.8%"
"    At or above the poverty level","748,018","84.1%","77.0%","3.7%"
"DISABILITY STATUS","","","",""
"    With any disability","64,334","47.8%","39.2%","13.4%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","748,761","80.3%","73.4%","4.2%"
"        Less than high school graduate","51,027","65.9%","60.6%","7.8%"
"        High school graduate (includes equivalency)","196,766","76.8%","70.2%","5.4%"
"        Some college or associate's degree","259,985","81.3%","73.5%","4.1%"
"        Bachelor's degree or higher","240,983","85.0%","78.6%","3.0%"
