"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,153,457","65.3%","59.0%","4.2%"
"AGE","","","",""
"    16 to 19 years","62,281","38.1%","29.8%","14.7%"
"    20 to 24 years","93,432","83.1%","61.8%","9.4%"
"    25 to 29 years","104,970","83.0%","68.6%","5.0%"
"    30 to 34 years","101,094","81.9%","74.5%","2.8%"
"    35 to 44 years","181,837","86.0%","78.3%","4.0%"
"    45 to 54 years","173,608","82.9%","79.3%","2.7%"
"    55 to 59 years","94,201","78.9%","76.0%","3.4%"
"    60 to 64 years","88,284","63.0%","61.3%","2.6%"
"    65 to 74 years","144,861","30.5%","30.2%","1.2%"
"    75 years and over","108,889","7.0%","6.8%","2.4%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"    White alone","306,280","66.4%","54.1%","4.6%"
"    Black or African American alone","19,773","79.4%","49.7%","9.1%"
"    American Indian and Alaska Native alone","N","N","N","N"
"    Asian alone","480,322","62.0%","59.8%","2.8%"
"    Native Hawaiian and Other Pacific Islander alone","108,944","62.8%","58.5%","5.7%"
"    Some other race alone","16,522","81.4%","62.9%","8.1%"
"    Two or more races","219,189","69.8%","65.0%","5.2%"
"Hispanic or Latino origin (of any race)","98,800","71.3%","58.3%","7.8%"
"White alone, not Hispanic or Latino","271,846","65.7%","54.3%","4.0%"
"Population 20 to 64 years","837,426","80.9%","72.9%","4.1%"
"    SEX","","","",""
"        Male","428,125","85.5%","74.0%","3.9%"
"        Female","409,301","76.1%","71.8%","4.2%"
"            With own children under 18 years","136,774","74.9%","70.1%","4.8%"
"                With own children under 6 years only","34,081","63.1%","56.1%","8.3%"
"                With own children under 6 years and 6 to 17 years","31,967","70.3%","66.0%","4.5%"
"                With own children under 6 to 17 years only","70,726","82.6%","78.8%","3.6%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"    Below poverty level","70,550","41.8%","32.9%","18.7%"
"    At or above the poverty level","744,216","85.0%","78.4%","3.4%"
"DISABILITY STATUS","","","",""
"    With any disability","59,859","48.3%","42.1%","9.1%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","743,994","80.7%","74.3%","3.5%"
"        Less than high school graduate","44,953","62.9%","58.6%","6.9%"
"        High school graduate (includes equivalency)","207,099","75.8%","69.7%","4.6%"
"        Some college or associate's degree","243,947","82.2%","74.7%","3.7%"
"        Bachelor's degree or higher","247,995","86.5%","80.7%","1.9%"
