"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!In labor force!!Estimate","Hawaii!!Employed!!Estimate","Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,143,931","64.8%","58.1%","5.4%"
"AGE","","","",""
"    16 to 19 years","65,157","36.0%","26.2%","21.9%"
"    20 to 24 years","104,188","77.1%","57.0%","10.3%"
"    25 to 44 years","387,058","82.8%","73.0%","5.3%"
"    45 to 54 years","178,931","83.6%","79.9%","3.4%"
"    55 to 64 years","180,536","68.1%","65.6%","3.6%"
"    65 to 74 years","127,000","30.3%","29.5%","2.8%"
"    75 years and over","101,061","6.2%","6.1%","0.4%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"    One race","N","N","N","N"
"        White","314,113","65.3%","53.4%","5.1%"
"        Black or African American","25,111","78.4%","53.4%","10.0%"
"        American Indian and Alaska Native","N","N","N","N"
"        Asian","462,976","62.6%","60.0%","3.6%"
"        Native Hawaiian and Other Pacific Islander","110,221","62.4%","55.2%","10.7%"
"        Some other race","11,613","69.4%","52.7%","6.1%"
"    Two or more races","217,921","68.3%","63.2%","6.2%"
"Hispanic or Latino origin (of any race)","94,950","68.9%","58.2%","7.1%"
"White alone, not Hispanic or Latino","287,026","64.7%","53.4%","5.0%"
"Population 20 to 64 years","850,713","79.2%","70.9%","5.0%"
"    SEX","","","",""
"        Male","440,080","83.5%","71.4%","5.8%"
"        Female","410,633","74.6%","70.5%","4.2%"
"            With own children under 6 years","62,919","65.0%","61.1%","4.4%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"    Below poverty level","90,145","46.3%","37.6%","17.8%"
"DISABILITY STATUS","","","",""
"    With any disability","68,837","49.1%","42.3%","11.0%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","746,525","79.4%","72.9%","4.4%"
"        Less than high school graduate","44,862","63.0%","57.3%","9.0%"
"        High school graduate (includes equivalency)","206,759","75.5%","69.2%","6.0%"
"        Some college or associate's degree","256,033","79.9%","71.5%","4.7%"
"        Bachelor's degree or higher","238,871","85.4%","80.5%","2.2%"
"PERCENT IMPUTED","","","",""
"    Employment status for population 16 years and over","9.0%","(X)","(X)","(X)"
