"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!In labor force!!Estimate","Hawaii!!Employed!!Estimate","Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,128,541","64.8%","57.0%","6.1%"
"AGE","","","",""
"    16 to 19 years","63,512","36.1%","24.0%","28.1%"
"    20 to 24 years","105,126","74.6%","56.5%","8.7%"
"    25 to 44 years","381,341","82.7%","70.6%","5.9%"
"    45 to 54 years","180,050","82.5%","78.2%","4.3%"
"    55 to 64 years","178,404","69.6%","66.6%","4.4%"
"    65 to 74 years","120,992","28.7%","27.8%","3.3%"
"    75 years and over","99,116","6.7%","6.4%","4.1%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"    One race","N","N","N","N"
"        White","310,690","66.6%","53.4%","5.7%"
"        Black or African American","24,128","75.0%","41.0%","12.0%"
"        American Indian and Alaska Native","N","N","N","N"
"        Asian","462,404","62.3%","59.6%","3.5%"
"        Native Hawaiian and Other Pacific Islander","101,179","63.5%","54.2%","13.4%"
"        Some other race","12,374","67.4%","52.5%","2.8%"
"    Two or more races","215,548","66.7%","60.3%","8.1%"
"Hispanic or Latino origin (of any race)","91,356","68.5%","55.5%","8.8%"
"White alone, not Hispanic or Latino","284,067","66.7%","54.0%","5.8%"
"Population 20 to 64 years","844,921","78.9%","69.6%","5.5%"
"    SEX","","","",""
"        Male","437,456","84.0%","70.6%","5.9%"
"        Female","407,465","73.4%","68.6%","5.0%"
"            With own children under 6 years","64,338","66.6%","60.2%","5.8%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"    Below poverty level","88,018","45.3%","34.8%","22.4%"
"DISABILITY STATUS","","","",""
"    With any disability","64,955","46.9%","38.4%","13.4%"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 to 64 years","739,795","79.5%","71.5%","5.1%"
"        Less than high school graduate","48,100","62.6%","57.5%","7.8%"
"        High school graduate (includes equivalency)","191,031","75.5%","67.9%","7.5%"
"        Some college or associate's degree","258,675","80.1%","69.6%","5.7%"
"        Bachelor's degree or higher","241,989","85.3%","79.2%","2.5%"
"PERCENT IMPUTED","","","",""
"    Employment status for population 16 years and over","8.7%","(X)","(X)","(X)"
