"Label (Grouping)","Puerto Rico!!Estimate","Arecibo Municipio, Puerto Rico!!Estimate","Bayamón Municipio, Puerto Rico!!Estimate","Caguas Municipio, Puerto Rico!!Estimate","Carolina Municipio, Puerto Rico!!Estimate","Guaynabo Municipio, Puerto Rico!!Estimate","Mayagüez Municipio, Puerto Rico!!Estimate","Ponce Municipio, Puerto Rico!!Estimate","San Juan Municipio, Puerto Rico!!Estimate","Toa Alta Municipio, Puerto Rico!!Estimate","Toa Baja Municipio, Puerto Rico!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Estimate"
"Total:","3,195,054","84,098","176,581","124,646","151,185","88,772","69,274","128,156","330,936","65,885","72,613","66,604"
"    Income in the past 12 months below poverty level:","1,333,111","30,988","69,096","49,785","46,413","25,879","35,272","68,118","126,728","18,491","24,484","20,202"
"        Male:","594,644","14,621","27,714","22,442","18,632","11,760","16,303","29,053","53,259","8,396","10,331","9,650"
"            Under 5 years","33,086","1,290","1,950","1,952","1,051","557","921","1,604","3,145","370","841","276"
"            5 years","8,895","426","129","846","122","0","187","650","414","73","426","0"
"            6 to 11 years","54,003","1,092","2,867","410","2,567","1,278","1,196","2,958","5,482","1,048","796","137"
"            12 to 14 years","29,221","877","1,196","1,480","1,244","463","548","1,384","2,654","619","536","0"
"            15 years","8,598","205","529","214","210","127","0","256","846","149","136","311"
"            16 and 17 years","22,538","447","982","1,008","1,163","213","840","1,078","1,575","160","594","1,544"
"            18 to 24 years","60,025","1,508","2,224","2,444","1,794","1,400","4,162","3,085","4,881","557","533","962"
"            25 to 34 years","67,832","2,611","3,599","2,936","2,472","1,362","2,053","4,400","7,175","1,012","756","1,929"
"            35 to 44 years","59,639","1,052","2,687","2,121","1,984","1,395","904","1,800","5,284","1,023","1,307","744"
"            45 to 54 years","56,581","665","1,931","1,638","1,332","516","1,152","3,108","4,356","929","687","920"
"            55 to 64 years","71,891","1,776","3,951","2,254","1,599","1,378","1,679","2,740","6,157","671","1,415","929"
"            65 to 74 years","64,112","1,542","2,609","2,776","1,554","1,569","1,476","3,158","5,233","1,294","940","1,055"
"            75 years and over","58,223","1,130","3,060","2,363","1,540","1,502","1,185","2,832","6,057","491","1,364","843"
