"Label (Grouping)","Puerto Rico!!Estimate","Arecibo Municipio, Puerto Rico!!Estimate","Bayamón Municipio, Puerto Rico!!Estimate","Caguas Municipio, Puerto Rico!!Estimate","Carolina Municipio, Puerto Rico!!Estimate","Guaynabo Municipio, Puerto Rico!!Estimate","Mayagüez Municipio, Puerto Rico!!Estimate","Ponce Municipio, Puerto Rico!!Estimate","San Juan Municipio, Puerto Rico!!Estimate","Toa Alta Municipio, Puerto Rico!!Estimate","Toa Baja Municipio, Puerto Rico!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Estimate"
"        Female:","738,467","16,367","41,382","27,343","27,781","14,119","18,969","39,065","73,469","10,095","14,153","10,552"
"            Under 5 years","28,693","773","2,140","553","1,610","243","786","1,747","2,973","431","614","1,073"
"            5 years","7,128","215","362","167","353","51","99","475","523","197","166","0"
"            6 to 11 years","49,876","1,174","2,366","1,337","1,901","603","1,699","2,753","4,812","805","1,280","0"
"            12 to 14 years","27,630","153","1,683","1,201","941","452","702","1,491","2,412","753","537","0"
"            15 years","9,390","191","659","133","315","0","267","1,061","741","474","228","0"
"            16 and 17 years","18,075","358","991","781","1,100","245","547","702","2,331","156","94","434"
"            18 to 24 years","65,757","1,017","4,507","2,478","3,003","762","2,913","3,485","7,565","603","953","1,576"
"            25 to 34 years","89,801","2,357","4,940","2,080","4,138","2,397","2,473","4,967","10,029","2,063","1,841","1,023"
"            35 to 44 years","93,824","1,553","4,512","4,833","3,623","1,617","1,857","4,652","7,744","1,652","2,206","1,197"
"            45 to 54 years","73,776","1,641","3,544","3,321","1,784","1,423","979","3,627","6,549","752","1,106","1,228"
"            55 to 64 years","95,920","1,704","5,238","3,341","3,119","2,091","2,034","5,238","8,409","863","1,401","1,067"
"            65 to 74 years","86,243","2,528","4,781","3,805","2,674","1,625","2,028","4,191","8,977","863","1,421","1,409"
"            75 years and over","92,354","2,703","5,659","3,313","3,220","2,610","2,585","4,676","10,404","483","2,306","1,545"
"    Income in the past 12 months at or above poverty level:","1,861,943","53,110","107,485","74,861","104,772","62,893","34,002","60,038","204,208","47,394","48,129","46,402"
"        Male:","914,923","25,579","52,335","35,875","49,957","29,753","16,761","29,970","97,105","22,529","23,719","21,465"
"            Under 5 years","20,235","553","1,047","840","1,291","772","135","651","2,430","588","263","1,445"
"            5 years","3,869","0","185","684","319","114","0","51","381","83","0","0"
"            6 to 11 years","33,971","625","2,047","1,962","1,601","904","921","786","3,811","784","1,050","1,149"
"            12 to 14 years","23,379","907","1,367","438","908","812","397","960","1,884","727","733","644"
"            15 years","10,526","377","802","403","136","165","326","435","1,362","0","77","0"
"            16 and 17 years","19,567","1,132","823","629","1,019","824","153","654","1,562","386","927","89"
"            18 to 24 years","90,382","2,417","6,079","3,198","4,891","2,420","1,542","3,138","9,384","2,645","2,836","2,121"
"            25 to 34 years","130,838","2,964","8,391","5,279","7,688","5,054","2,120","3,506","13,341","3,958","4,133","1,934"
"            35 to 44 years","123,490","2,799","6,639","5,107","6,113","3,738","2,284","4,220","11,696","3,009","3,012","3,858"
"            45 to 54 years","132,291","4,514","6,730","6,119","7,501","4,543","2,080","3,551","14,160","3,496","3,628","3,130"
"            55 to 64 years","127,097","3,378","6,255","5,155","7,007","4,196","2,104","4,419","13,976","3,639","2,711","3,062"
"            65 to 74 years","105,921","2,719","6,082","3,226","5,306","3,483","2,210","3,915","11,940","1,690","2,408","2,163"
"            75 years and over","93,357","3,194","5,888","2,835","6,177","2,728","2,489","3,684","11,178","1,524","1,941","1,870"
"        Female:","947,020","27,531","55,150","38,986","54,815","33,140","17,241","30,068","107,103","24,865","24,410","24,937"
"            Under 5 years","17,044","0","710","477","661","1,029","170","382","2,157","509","448","367"
"            5 years","4,197","212","576","124","455","202","0","256","500","0","76","462"
"            6 to 11 years","34,895","1,398","1,732","1,640","2,414","1,377","314","975","4,487","1,030","739","559"
"            12 to 14 years","24,453","778","1,214","1,104","838","758","269","661","1,930","428","636","826"
"            15 years","8,550","0","513","397","683","103","96","180","959","127","110","591"
"            16 and 17 years","17,708","259","644","875","479","950","280","393","1,581","993","358","650"
"            18 to 24 years","80,194","2,530","3,261","3,119","3,792","2,608","1,803","2,178","7,623","2,534","2,400","2,533"
"            25 to 34 years","111,840","3,281","7,487","6,817","6,585","3,440","1,337","3,269","12,696","3,191","3,405","2,767"
"            35 to 44 years","118,625","3,581","6,929","3,331","5,512","3,788","1,492","2,809","12,910","2,730","2,697","3,104"
"            45 to 54 years","139,876","4,396","7,803","5,429","8,891","4,475","2,683","4,279","15,159","4,231","3,784","3,440"
"            55 to 64 years","141,978","4,613","8,477","5,923","7,774","5,186","2,404","4,345","16,263","4,190","4,035","3,933"
"            65 to 74 years","125,568","3,027","7,429","4,256","7,436","4,958","2,810","5,339","14,768","2,575","3,347","2,993"
"            75 years and over","122,092","3,456","8,375","5,494","9,295","4,266","3,583","5,002","16,070","2,327","2,375","2,712"
