"Label (Grouping)","Puerto Rico!!Estimate","Arecibo Municipio, Puerto Rico!!Estimate","Bayamón Municipio, Puerto Rico!!Estimate","Caguas Municipio, Puerto Rico!!Estimate","Carolina Municipio, Puerto Rico!!Estimate","Guaynabo Municipio, Puerto Rico!!Estimate","Mayagüez Municipio, Puerto Rico!!Estimate","Ponce Municipio, Puerto Rico!!Estimate","San Juan Municipio, Puerto Rico!!Estimate","Toa Alta Municipio, Puerto Rico!!Estimate","Toa Baja Municipio, Puerto Rico!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Estimate"
"Total:","3,176,131","84,810","177,191","124,088","149,918","87,724","67,929","125,241","328,521","65,879","71,109","66,521"
"    Income in the past 12 months below poverty level:","1,184,965","34,266","54,601","39,252","39,838","18,606","35,057","56,187","113,586","15,791","21,705","17,704"
"        Male:","527,856","15,959","21,665","15,970","15,092","8,054","16,338","25,080","47,427","6,842","9,728","6,461"
"            Under 5 years","29,522","847","1,368","1,351","954","575","870","1,334","2,694","424","389","998"
"            5 years","5,674","207","242","177","0","0","0","73","161","159","268","0"
"            6 to 11 years","45,823","1,040","2,094","1,296","2,719","167","1,232","2,568","4,395","382","0","751"
"            12 to 14 years","24,009","847","669","582","617","668","752","1,073","2,917","394","675","252"
"            15 years","7,368","85","393","270","0","230","0","415","1,198","247","0","0"
"            16 and 17 years","17,098","834","638","804","502","135","125","677","1,589","187","324","163"
"            18 to 24 years","52,505","1,387","1,950","1,150","650","920","4,475","2,749","5,249","557","1,053","269"
"            25 to 34 years","52,266","1,693","3,518","1,806","1,005","815","1,566","3,122","4,904","676","1,111","1,156"
"            35 to 44 years","53,098","1,310","1,104","2,481","1,513","714","1,494","2,220","3,322","397","886","483"
"            45 to 54 years","49,323","1,635","2,109","842","1,288","890","950","2,156","4,563","744","1,242","228"
"            55 to 64 years","66,872","1,826","2,123","2,304","1,748","871","1,343","2,911","5,761","556","1,144","836"
"            65 to 74 years","61,511","1,901","2,310","1,238","1,553","991","1,788","3,310","5,461","1,214","1,678","629"
"            75 years and over","62,787","2,347","3,147","1,669","2,543","1,078","1,743","2,472","5,213","905","958","696"
"        Female:","657,109","18,307","32,936","23,282","24,746","10,552","18,719","31,107","66,159","8,949","11,977","11,243"
"            Under 5 years","24,089","1,179","838","884","1,425","434","528","1,488","2,100","295","655","0"
"            5 years","4,848","0","537","0","0","112","323","536","178","0","0","276"
