"Label (Grouping)","Puerto Rico!!Estimate","Arecibo Municipio, Puerto Rico!!Estimate","Bayamón Municipio, Puerto Rico!!Estimate","Caguas Municipio, Puerto Rico!!Estimate","Carolina Municipio, Puerto Rico!!Estimate","Guaynabo Municipio, Puerto Rico!!Estimate","Mayagüez Municipio, Puerto Rico!!Estimate","Ponce Municipio, Puerto Rico!!Estimate","San Juan Municipio, Puerto Rico!!Estimate","Toa Alta Municipio, Puerto Rico!!Estimate","Toa Baja Municipio, Puerto Rico!!Estimate","Trujillo Alto Municipio, Puerto Rico!!Estimate"
"            6 to 11 years","41,086","1,058","2,704","1,450","1,277","448","610","2,083","3,990","504","476","321"
"            12 to 14 years","24,151","1,104","569","1,014","743","353","1,039","817","2,502","413","861","737"
"            15 years","7,106","479","345","293","693","0","179","165","948","0","0","0"
"            16 and 17 years","17,353","23","844","1,033","148","470","919","838","2,455","183","185","481"
"            18 to 24 years","60,994","1,074","2,493","2,860","2,170","1,205","2,626","2,754","7,027","643","399","1,083"
"            25 to 34 years","74,010","2,821","3,497","2,161","3,180","795","2,021","3,898","9,557","1,244","790","665"
"            35 to 44 years","75,195","2,123","2,784","3,027","3,172","1,049","2,283","3,870","7,692","1,458","1,592","2,167"
"            45 to 54 years","65,335","1,500","3,409","1,975","2,599","1,169","973","2,914","6,589","880","880","773"
"            55 to 64 years","85,552","1,940","4,472","3,383","2,404","1,065","1,545","4,518","7,748","1,155","2,022","1,785"
"            65 to 74 years","82,513","1,946","3,789","2,595","2,996","1,559","2,250","3,768","7,553","1,352","2,270","1,211"
"            75 years and over","94,877","3,060","6,655","2,607","3,939","1,893","3,423","3,458","7,820","822","1,847","1,744"
"    Income in the past 12 months at or above poverty level:","1,991,166","50,544","122,590","84,836","110,080","69,118","32,872","69,054","214,935","50,088","49,404","48,817"
"        Male:","972,143","24,156","59,740","41,071","52,725","32,382","15,665","32,984","102,666","24,684","23,653","24,996"
"            Under 5 years","18,683","134","1,499","436","1,306","883","325","736","2,503","667","685","325"
"            5 years","5,262","0","345","0","209","351","260","318","526","0","222","232"
"            6 to 11 years","38,382","1,531","2,815","2,628","1,109","1,304","397","1,220","2,852","617","1,255","1,520"
"            12 to 14 years","26,143","297","1,559","594","1,298","879","457","1,023","2,737","1,416","763","297"
"            15 years","10,779","588","984","577","364","493","186","117","1,025","231","433","413"
"            16 and 17 years","19,775","310","980","490","1,563","431","402","1,127","1,153","506","904","501"
"            18 to 24 years","94,098","2,637","6,423","4,346","5,815","2,687","1,378","3,290","8,706","2,529","2,071","1,753"
"            25 to 34 years","152,067","4,495","10,483","6,687","9,390","5,294","2,573","5,331","16,844","3,212","3,900","4,921"
"            35 to 44 years","133,608","3,132","7,801","4,818","6,572","4,178","1,606","3,801","14,134","4,919","3,404","3,234"
"            45 to 54 years","136,529","3,126","6,754","6,893","7,384","3,941","2,050","4,044","13,677","3,640","2,979","3,681"
"            55 to 64 years","126,172","3,201","7,447","5,110","6,869","4,222","2,074","3,400","13,577","3,713","2,844","3,123"
"            65 to 74 years","109,966","2,395","6,281","4,733","5,030","4,200","1,829","3,892","11,501","1,897","1,670","2,683"
"            75 years and over","100,679","2,310","6,369","3,759","5,816","3,519","2,128","4,685","13,431","1,337","2,523","2,313"
"        Female:","1,019,023","26,388","62,850","43,765","57,355","36,736","17,207","36,070","112,269","25,404","25,751","23,821"
"            Under 5 years","17,718","161","1,699","1,052","765","597","178","421","2,495","435","324","229"
"            5 years","5,718","233","308","229","122","415","0","0","633","0","179","0"
"            6 to 11 years","39,248","810","2,075","1,757","2,556","1,514","409","980","4,004","1,283","1,159","1,209"
"            12 to 14 years","21,681","470","1,230","717","1,592","387","513","1,552","2,103","631","362","120"
"            15 years","7,803","94","261","167","292","446","0","151","433","71","292","182"
"            16 and 17 years","19,263","453","1,255","583","1,297","259","421","1,090","1,520","937","287","659"
"            18 to 24 years","84,694","2,351","4,942","2,685","4,399","3,244","2,596","2,684","7,123","2,366","2,859","1,778"
"            25 to 34 years","130,726","2,995","8,950","6,887","7,729","4,049","1,737","4,257","13,720","4,214","4,397","3,323"
"            35 to 44 years","129,873","2,925","8,524","5,144","5,836","4,356","2,129","3,410","12,711","2,978","3,262","3,219"
"            45 to 54 years","148,422","4,461","7,782","6,696","7,876","4,563","1,412","4,844","14,772","4,030","3,977","3,875"
"            55 to 64 years","147,308","4,214","8,628","5,726","8,461","6,050","2,608","4,421","15,971","3,870","3,171","3,207"
"            65 to 74 years","131,394","3,521","8,711","5,484","6,858","5,322","2,397","5,674","16,192","2,359","2,407","3,244"
"            75 years and over","135,175","3,700","8,485","6,638","9,572","5,534","2,807","6,586","20,592","2,230","3,075","2,776"
