"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!In labor force!!Estimate","Hawaii!!Employed!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!In labor force!!Estimate","Hawaii County, Hawaii!!Employed!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!In labor force!!Estimate","Honolulu County, Hawaii!!Employed!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!In labor force!!Estimate","Kauai County, Hawaii!!Employed!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!In labor force!!Estimate","Maui County, Hawaii!!Employed!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,093,645","66.6%","58.4%","8.1%","148,260","62.0%","53.9%","12.9%","769,044","67.2%","58.9%","6.4%","53,415","63.7%","59.2%","6.5%","122,882","69.7%","60.1%","13.3%"
"AGE","","","","","","","","","","","","","","","","","","","",""
"    16 to 19 years","68,631","34.0%","22.5%","28.0%","10,607","22.2%","12.5%","43.8%","49,048","36.4%","25.3%","22.2%","2,423","14.2%","10.9%","23.0%","6,553","42.5%","21.8%","48.7%"
"    20 to 24 years","98,086","79.4%","58.2%","14.4%","10,488","70.2%","50.8%","27.7%","74,188","81.2%","58.4%","12.0%","4,184","75.8%","62.5%","17.5%","9,226","77.0%","62.7%","16.0%"
"    25 to 44 years","357,264","85.0%","72.9%","8.5%","41,492","82.6%","70.8%","14.0%","257,935","85.2%","73.1%","6.2%","16,349","84.8%","77.1%","8.0%","41,476","85.6%","71.7%","15.9%"
"    45 to 54 years","194,443","84.0%","78.2%","5.8%","28,106","77.5%","70.4%","9.2%","132,268","85.8%","80.4%","4.7%","10,115","79.8%","77.9%","2.3%","23,954","83.7%","75.6%","9.7%"
"    55 to 64 years","177,095","68.9%","65.7%","4.6%","29,588","65.4%","60.5%","7.5%","115,393","69.3%","66.9%","3.4%","10,140","66.8%","64.8%","2.9%","21,953","72.2%","66.7%","7.5%"
"    65 to 74 years","102,915","31.2%","30.0%","4.1%","16,141","33.3%","30.9%","7.0%","69,818","30.9%","30.0%","3.1%","5,661","25.0%","23.3%","6.9%","11,284","33.3%","31.8%","4.6%"
"    75 years and over","95,211","6.7%","6.4%","4.4%","11,838","12.2%","10.9%","10.0%","70,394","5.7%","5.5%","3.1%","4,543","7.9%","7.9%","0.0%","8,436","7.4%","7.2%","2.1%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","293,414","68.4%","56.7%","7.3%","54,529","60.1%","54.9%","8.3%","172,046","70.8%","55.0%","6.0%","19,385","63.0%","59.3%","4.4%","47,433","71.9%","63.8%","11.1%"
"        Black or African American","16,546","82.3%","53.8%","11.0%","N","N","N","N","15,033","81.8%","51.6%","11.5%","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian","460,912","63.2%","60.0%","4.5%","38,135","58.7%","52.7%","10.3%","367,725","63.9%","61.2%","3.5%","21,439","58.5%","56.0%","4.2%","33,613","63.1%","57.3%","9.2%"
"        Native Hawaiian and Other Pacific Islander","99,067","65.2%","54.1%","15.4%","16,766","63.8%","48.9%","23.3%","67,864","65.1%","55.1%","13.1%","N","N","N","N","9,825","67.3%","53.4%","19.1%"
"        Some other race","11,726","66.5%","49.5%","8.4%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Two or more races","209,320","71.0%","60.1%","13.0%","35,110","67.8%","56.5%","16.7%","136,841","71.0%","61.0%","10.5%","N","N","N","N","29,950","73.4%","58.8%","19.7%"
"Hispanic or Latino origin (of any race)","80,306","69.2%","54.6%","12.9%","14,147","61.6%","47.7%","22.6%","51,404","71.6%","55.1%","10.4%","N","N","N","N","10,534","70.8%","61.1%","13.7%"
"White alone, not Hispanic or Latino","273,242","68.0%","56.4%","7.2%","52,376","59.7%","54.4%","8.5%","158,896","70.6%","54.9%","5.8%","18,008","63.1%","59.8%","3.9%","43,941","70.8%","62.7%","11.1%"
"Population 20 to 64 years","826,888","80.6%","70.8%","7.7%","109,674","75.5%","66.0%","12.5%","579,784","81.7%","71.7%","6.0%","40,788","78.2%","72.7%","6.4%","96,609","81.3%","70.7%","12.6%"
"SEX","","","","","","","","","","","","","","","","","","","",""
"    Male","420,123","84.9%","71.5%","8.3%","54,334","79.6%","66.8%","15.9%","296,396","86.7%","72.6%","5.8%","20,494","80.5%","73.9%","7.2%","48,888","81.7%","68.9%","14.9%"
"    Female","406,765","76.2%","70.1%","7.0%","55,340","71.4%","65.1%","8.6%","283,388","76.4%","70.6%","6.2%","20,294","75.8%","71.6%","5.6%","47,721","80.8%","72.5%","10.2%"
"        With own children under 6 years","59,191","68.1%","58.6%","12.2%","7,469","64.4%","54.5%","15.4%","42,109","68.0%","58.2%","11.9%","2,666","61.1%","53.0%","13.3%","6,947","75.2%","67.5%","10.2%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Below poverty level","81,789","52.2%","35.2%","31.7%","18,690","53.2%","33.2%","37.6%","49,632","50.1%","36.0%","26.5%","4,149","39.5%","35.0%","11.4%","9,318","66.9%","35.1%","47.6%"
"DISABILITY STATUS","","","","","","","","","","","","","","","","","","","",""
"    With any disability","65,466","49.8%","40.9%","15.6%","11,183","50.1%","41.9%","16.3%","40,056","47.7%","39.4%","13.5%","4,478","42.5%","41.3%","2.8%","9,738","61.6%","46.0%","25.4%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","728,802","80.8%","72.5%","6.9%","99,186","76.0%","67.6%","11.0%","505,596","81.7%","73.6%","5.2%","36,604","78.4%","73.9%","5.2%","87,383","81.7%","71.5%","12.3%"
"    Less than high school graduate","53,407","64.2%","55.2%","13.9%","7,371","70.5%","51.2%","27.4%","35,665","63.0%","56.1%","11.0%","2,416","45.2%","43.0%","4.9%","7,944","69.6%","59.1%","15.1%"
"    High school graduate (includes equivalency)","197,491","77.1%","67.0%","10.6%","32,928","70.8%","60.5%","14.5%","126,418","77.9%","68.3%","8.4%","10,758","77.6%","72.7%","4.4%","27,387","81.1%","66.3%","18.2%"
"    Some college or associate's degree","251,374","82.9%","74.1%","5.8%","33,296","80.5%","74.0%","8.1%","172,312","83.3%","73.6%","4.8%","15,796","82.3%","78.3%","4.9%","29,960","83.6%","75.5%","9.3%"
"    Bachelor's degree or higher","226,530","85.6%","79.7%","3.7%","25,591","78.5%","73.1%","6.4%","171,201","87.0%","81.2%","2.7%","7,634","82.0%","76.4%","6.8%","22,092","84.2%","77.1%","8.2%"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","",""
"    Employment status for population 16 years and over","6.1%","(X)","(X)","(X)","5.1%","(X)","(X)","(X)","6.1%","(X)","(X)","(X)","5.8%","(X)","(X)","(X)","7.0%","(X)","(X)","(X)"
