"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"                With own children under 6 years and 6 to 17 years","31,967","70.3%","66.0%","4.5%","4,294","66.5%","63.0%","5.3%","21,283","69.7%","65.5%","3.7%","2,059","89.2%","82.0%","8.0%","4,331","68.0%","64.1%","5.7%"
"                With own children under 6 to 17 years only","70,726","82.6%","78.8%","3.6%","9,649","84.2%","80.8%","4.0%","47,787","80.3%","76.3%","3.4%","3,767","92.4%","92.4%","0.0%","9,523","89.0%","83.7%","5.9%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Below poverty level","70,550","41.8%","32.9%","18.7%","16,041","38.5%","27.5%","28.7%","41,950","42.8%","34.3%","16.2%","3,490","47.0%","40.3%","14.1%","9,046","41.2%","33.7%","15.1%"
"    At or above the poverty level","744,216","85.0%","78.4%","3.4%","94,653","79.1%","75.7%","4.0%","524,886","85.5%","77.5%","3.3%","36,499","89.6%","86.4%","2.8%","88,133","86.2%","82.7%","3.7%"
"DISABILITY STATUS","","","","","","","","","","","","","","","","","","","",""
"    With any disability","59,859","48.3%","42.1%","9.1%","11,435","27.5%","25.1%","8.6%","41,125","54.4%","47.0%","8.5%","1,652","45.9%","45.2%","1.6%","5,624","47.0%","39.5%","16.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","743,994","80.7%","74.3%","3.5%","102,056","72.6%","69.2%","4.5%","515,236","81.9%","74.3%","3.3%","36,738","85.2%","81.7%","3.3%","89,896","81.0%","77.7%","3.5%"
"        Less than high school graduate","44,953","62.9%","58.6%","6.9%","6,248","39.3%","34.1%","13.3%","30,278","66.2%","61.2%","7.5%","2,777","67.6%","67.6%","0.0%","5,650","69.2%","66.9%","3.3%"
"        High school graduate (includes equivalency)","207,099","75.8%","69.7%","4.6%","33,198","69.5%","64.9%","6.6%","131,319","76.5%","69.2%","4.3%","12,585","82.7%","79.5%","3.6%","29,997","76.5%","73.0%","4.1%"
"        Some college or associate's degree","243,947","82.2%","74.7%","3.7%","33,192","75.4%","71.9%","4.1%","167,081","83.0%","73.7%","3.8%","11,563","86.7%","83.5%","2.6%","32,055","83.1%","79.8%","3.3%"
"        Bachelor's degree or higher","247,995","86.5%","80.7%","1.9%","29,418","80.1%","78.3%","1.8%","186,558","87.2%","80.5%","1.7%","9,813","91.5%","86.6%","4.3%","22,194","87.0%","83.7%","3.1%"
