"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!In labor force!!Estimate","Hawaii!!Employed!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!In labor force!!Estimate","Hawaii County, Hawaii!!Employed!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!In labor force!!Estimate","Honolulu County, Hawaii!!Employed!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!In labor force!!Estimate","Kauai County, Hawaii!!Employed!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!In labor force!!Estimate","Maui County, Hawaii!!Employed!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,143,931","64.8%","58.1%","5.4%","156,199","56.6%","53.5%","5.4%","800,437","66.1%","58.0%","5.2%","56,493","64.7%","61.7%","4.0%","130,748","67.1%","62.1%","6.9%"
"AGE","","","","","","","","","","","","","","","","","","","",""
"    16 to 19 years","65,157","36.0%","26.2%","21.9%","8,935","21.4%","21.0%","2.0%","45,444","36.7%","25.7%","22.7%","2,905","45.6%","33.5%","26.6%","7,873","44.8%","32.3%","27.5%"
"    20 to 24 years","104,188","77.1%","57.0%","10.3%","11,819","62.6%","56.5%","9.8%","80,975","79.4%","56.0%","9.8%","3,319","64.1%","61.1%","4.2%","8,075","80.5%","66.0%","17.1%"
"    25 to 44 years","387,058","82.8%","73.0%","5.3%","46,629","78.1%","73.0%","6.1%","279,362","83.4%","71.8%","5.1%","17,832","84.3%","79.9%","4.0%","43,214","83.6%","77.7%","6.5%"
"    45 to 54 years","178,931","83.6%","79.9%","3.4%","23,863","75.6%","71.7%","5.1%","122,419","84.9%","81.3%","2.8%","9,493","87.1%","86.0%","1.3%","23,142","83.7%","78.6%","5.5%"
"    55 to 64 years","180,536","68.1%","65.6%","3.6%","30,655","60.7%","58.1%","4.2%","115,509","70.3%","67.8%","3.6%","10,563","65.1%","63.8%","2.0%","23,792","68.0%","65.9%","3.0%"
"    65 to 74 years","127,000","30.3%","29.5%","2.8%","21,694","26.1%","25.7%","1.3%","83,233","30.9%","30.0%","2.8%","7,288","36.6%","34.1%","6.6%","14,785","30.4%","29.8%","2.0%"
"    75 years and over","101,061","6.2%","6.1%","0.4%","12,604","3.5%","3.5%","0.0%","73,495","5.6%","5.5%","0.7%","5,093","4.7%","4.7%","0.0%","9,867","14.9%","14.9%","0.0%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","314,113","65.3%","53.4%","5.1%","58,842","55.8%","53.7%","3.3%","183,862","68.7%","50.7%","5.3%","20,244","62.3%","58.8%","4.4%","51,144","65.2%","60.3%","6.5%"
"        Black or African American","25,111","78.4%","53.4%","10.0%","N","N","N","N","21,985","79.9%","51.6%","11.3%","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian","462,976","62.6%","60.0%","3.6%","37,856","55.5%","53.4%","3.7%","367,503","62.6%","59.9%","3.5%","19,474","64.6%","63.5%","1.3%","38,112","69.2%","65.5%","5.3%"
"        Native Hawaiian and Other Pacific Islander","110,221","62.4%","55.2%","10.7%","18,653","57.7%","50.9%","11.7%","73,660","63.6%","56.6%","9.8%","5,297","63.3%","53.8%","15.0%","12,609","61.6%","53.5%","13.2%"
"        Some other race","11,613","69.4%","52.7%","6.1%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Two or more races","217,921","68.3%","63.2%","6.2%","37,546","57.9%","54.1%","6.4%","143,937","70.3%","64.8%","6.2%","N","N","N","N","26,175","69.4%","63.8%","8.0%"
"Hispanic or Latino origin (of any race)","94,950","68.9%","58.2%","7.1%","15,422","49.1%","44.4%","9.5%","62,728","73.1%","59.5%","7.0%","N","N","N","N","N","N","N","N"
"White alone, not Hispanic or Latino","287,026","64.7%","53.4%","5.0%","54,331","56.0%","54.0%","3.2%","167,731","68.0%","51.0%","5.2%","18,997","60.9%","58.1%","3.3%","45,946","64.3%","59.3%","7.0%"
"Population 20 to 64 years","850,713","79.2%","70.9%","5.0%","112,966","71.2%","67.0%","5.8%","598,265","80.6%","70.8%","4.8%","41,207","78.4%","75.6%","2.9%","98,223","79.6%","74.1%","6.4%"
"    SEX","","","","","","","","","","","","","","","","","","","",""
"        Male","440,080","83.5%","71.4%","5.8%","56,076","72.1%","68.3%","4.9%","313,114","85.5%","70.7%","5.7%","21,025","80.0%","76.7%","3.2%","49,813","84.5%","77.0%","8.0%"
"        Female","410,633","74.6%","70.5%","4.2%","56,890","70.4%","65.7%","6.7%","285,151","75.2%","71.0%","3.9%","20,182","76.7%","74.6%","2.5%","48,410","74.5%","71.2%","4.5%"
"            With own children under 6 years","62,919","65.0%","61.1%","4.4%","7,419","68.5%","63.4%","7.5%","45,240","63.1%","59.6%","3.5%","2,851","76.1%","72.3%","2.2%","7,409","68.9%","63.6%","7.7%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Below poverty level","90,145","46.3%","37.6%","17.8%","20,188","35.9%","26.5%","26.2%","52,930","51.0%","43.2%","13.7%","5,067","31.2%","22.4%","28.3%","11,943","49.7%","38.3%","23.0%"
"DISABILITY STATUS","","","","","","","","","","","","","","","","","","","",""
"    With any disability","68,837","49.1%","42.3%","11.0%","10,769","36.2%","34.8%","4.0%","44,718","51.9%","43.6%","11.7%","3,552","38.1%","36.3%","4.7%","9,781","54.4%","46.4%","14.7%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","746,525","79.4%","72.9%","4.4%","101,147","72.2%","68.2%","5.4%","517,290","80.8%","73.2%","4.2%","37,888","79.7%","76.9%","2.8%","90,148","79.5%","74.8%","5.4%"
"        Less than high school graduate","44,862","63.0%","57.3%","9.0%","6,479","45.6%","41.5%","8.9%","29,723","66.0%","60.5%","8.5%","2,458","51.7%","48.3%","6.7%","6,185","71.2%","62.7%","12.0%"
"        High school graduate (includes equivalency)","206,759","75.5%","69.2%","6.0%","32,667","72.3%","67.5%","6.2%","131,698","75.9%","68.8%","5.9%","12,556","76.7%","74.4%","3.0%","29,838","76.8%","70.6%","7.3%"
"        Some college or associate's degree","256,033","79.9%","71.5%","4.7%","32,413","71.9%","66.3%","7.8%","179,134","81.3%","71.0%","4.6%","12,353","80.2%","77.2%","3.5%","32,133","80.1%","77.5%","3.1%"
"        Bachelor's degree or higher","238,871","85.4%","80.5%","2.2%","29,588","78.3%","76.9%","1.7%","176,735","86.5%","80.8%","2.1%","10,521","89.0%","86.3%","1.2%","21,992","84.7%","80.1%","4.7%"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","",""
"    Employment status for population 16 years and over","9.0%","(X)","(X)","(X)","8.1%","(X)","(X)","(X)","9.2%","(X)","(X)","(X)","9.0%","(X)","(X)","(X)","9.1%","(X)","(X)","(X)"
