"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,152,321","65.7%","59.6%","4.4%","160,212","57.2%","53.3%","6.5%","802,599","67.0%","59.7%","4.1%","57,404","67.2%","63.0%","5.9%","132,011","67.3%","64.8%","3.6%"
"AGE","","","","","","","","","","","","","","","","","","","",""
"    16 to 19 years","62,345","36.7%","28.2%","16.3%","8,226","22.3%","18.1%","19.1%","43,485","38.7%","28.4%","17.5%","3,383","40.1%","38.0%","5.3%","7,245","39.3%","33.9%","13.7%"
"    20 to 24 years","99,039","79.8%","61.7%","8.3%","12,152","69.4%","63.6%","8.3%","75,048","81.0%","59.2%","8.1%","3,593","86.7%","80.0%","7.3%","8,246","81.8%","73.2%","10.5%"
"    25 to 29 years","105,218","82.6%","71.0%","2.8%","11,377","77.6%","74.5%","4.0%","80,354","82.5%","68.1%","2.8%","3,686","82.6%","81.0%","2.0%","9,795","88.8%","87.1%","1.9%"
"    30 to 34 years","100,626","83.6%","74.5%","4.6%","11,921","73.9%","65.7%","10.9%","73,516","83.7%","73.7%","3.2%","4,022","91.6%","81.2%","10.9%","11,162","91.0%","86.7%","4.6%"
"    35 to 44 years","179,339","84.5%","77.2%","4.4%","23,497","76.6%","71.3%","7.0%","124,187","85.5%","76.9%","4.0%","9,621","85.4%","78.2%","7.7%","22,034","87.0%","84.6%","2.8%"
"    45 to 54 years","177,648","83.3%","80.0%","3.1%","23,725","79.2%","75.4%","4.7%","122,354","84.0%","80.5%","3.0%","9,039","89.3%","88.2%","0.6%","22,507","81.2%","78.6%","3.2%"
"    55 to 59 years","91,868","79.2%","76.0%","3.7%","13,943","72.2%","67.0%","5.2%","60,453","81.4%","78.6%","3.1%","5,065","79.2%","73.2%","7.5%","12,381","76.7%","74.3%","3.1%"
"    60 to 64 years","92,697","61.2%","58.8%","3.9%","17,412","52.6%","49.0%","6.8%","58,551","63.3%","61.3%","3.2%","5,481","66.0%","60.7%","8.0%","11,245","60.9%","60.0%","1.4%"
"    65 to 74 years","138,903","34.1%","33.2%","2.6%","23,884","27.6%","26.2%","5.0%","89,500","36.0%","35.3%","2.0%","8,424","36.3%","33.3%","8.2%","17,095","32.0%","32.0%","0.0%"
"    75 years and over","104,638","7.0%","7.0%","0.6%","14,075","8.0%","8.0%","0.0%","75,151","6.2%","6.2%","1.0%","5,090","7.7%","7.7%","0.0%","10,301","10.8%","10.8%","0.0%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    White alone","306,100","66.7%","55.8%","4.6%","58,406","52.1%","49.0%","5.9%","175,121","71.1%","54.3%","4.5%","20,224","70.1%","67.5%","3.4%","52,330","66.7%","63.9%","4.1%"
"    Black or African American alone","22,312","79.1%","51.4%","8.9%","N","N","N","N","19,717","79.5%","49.6%","7.8%","N","N","N","N","N","N","N","N"
"    American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Asian alone","475,012","63.0%","60.8%","2.5%","42,008","59.3%","57.1%","3.7%","368,071","63.0%","60.8%","2.2%","21,508","59.9%","55.0%","8.0%","43,404","67.5%","66.6%","1.3%"
"    Native Hawaiian and Other Pacific Islander alone","108,537","63.4%","57.7%","8.1%","19,479","59.0%","54.0%","8.4%","70,688","64.1%","57.7%","8.7%","N","N","N","N","14,024","66.4%","62.8%","5.4%"
"    Some other race alone","9,965","67.9%","54.4%","4.3%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Two or more races","228,323","69.7%","64.2%","5.8%","36,591","61.1%","55.0%","9.0%","160,750","71.1%","65.6%","5.1%","10,169","78.3%","72.6%","6.9%","20,786","69.3%","64.9%","6.4%"
"Hispanic or Latino origin (of any race)","97,528","69.8%","59.4%","6.4%","16,055","57.6%","51.1%","11.2%","64,293","71.8%","58.4%","6.1%","N","N","N","N","N","N","N","N"
"White alone, not Hispanic or Latino","276,231","65.9%","55.4%","4.7%","54,486","51.4%","48.1%","6.5%","157,868","70.7%","54.6%","4.6%","18,879","69.5%","67.2%","2.9%","44,979","65.1%","62.3%","4.2%"
"Population 20 to 64 years","846,435","80.2%","72.7%","4.2%","114,027","72.0%","67.1%","6.5%","594,463","81.4%","72.4%","3.8%","40,507","83.3%","78.2%","5.8%","97,370","81.5%","78.6%","3.6%"
"    SEX","","","","","","","","","","","","","","","","","","","",""
"        Male","434,235","84.0%","73.4%","4.3%","56,771","74.7%","68.7%","7.5%","308,445","85.9%","73.0%","3.5%","20,415","81.4%","75.7%","6.5%","48,563","84.3%","80.4%","4.7%"
"        Female","412,200","76.2%","72.0%","4.1%","57,256","69.3%","65.6%","5.4%","286,018","76.5%","71.8%","4.1%","20,092","85.3%","80.7%","5.1%","48,807","78.8%","76.8%","2.5%"
"            With own children under 18 years","133,097","74.7%","70.5%","4.1%","17,121","78.0%","75.2%","3.6%","94,841","72.1%","67.4%","4.4%","6,197","86.0%","82.2%","3.9%","14,938","82.7%","80.5%","2.7%"
"                With own children under 6 years only","32,537","67.4%","62.8%","3.4%","3,052","72.7%","72.7%","0.0%","25,639","63.8%","58.9%","3.6%","1,371","88.0%","77.6%","9.5%","2,475","85.6%","83.5%","2.5%"
"                With own children under 6 years and 6 to 17 years","28,458","65.2%","59.2%","8.7%","4,235","73.0%","69.9%","4.3%","18,627","61.0%","53.9%","10.9%","1,962","69.0%","68.3%","1.0%","3,634","75.6%","69.3%","8.4%"
"                With own children under 6 to 17 years only","72,102","81.7%","78.5%","2.9%","9,834","81.8%","78.3%","4.3%","50,575","80.3%","76.7%","3.0%","2,864","96.7%","93.8%","3.0%","8,829","84.8%","84.2%","0.7%"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Below poverty level","74,781","43.4%","33.5%","22.0%","18,207","43.6%","33.8%","22.4%","45,626","43.8%","33.1%","22.9%","2,565","32.1%","29.8%","7.3%","8,378","44.6%","35.8%","19.9%"
"    At or above the poverty level","749,194","84.4%","78.5%","3.2%","93,924","78.6%","74.7%","4.7%","529,319","85.1%","78.1%","2.9%","37,696","87.3%","81.9%","5.8%","88,192","85.7%","83.3%","2.8%"
"DISABILITY STATUS","","","","","","","","","","","","","","","","","","","",""
"    With any disability","66,277","44.8%","39.5%","8.4%","13,093","34.0%","30.4%","10.7%","43,877","47.0%","41.5%","6.8%","2,516","39.3%","29.7%","24.3%","6,777","53.6%","48.2%","10.1%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","747,396","80.3%","74.2%","3.7%","101,875","72.3%","67.6%","6.3%","519,415","81.4%","74.4%","3.3%","36,914","83.0%","78.0%","5.6%","89,124","81.5%","79.1%","2.9%"
"        Less than high school graduate","43,987","65.3%","61.1%","6.3%","6,494","57.7%","51.2%","11.3%","31,566","66.5%","62.2%","6.2%","1,066","67.7%","60.8%","10.2%","4,856","67.3%","67.2%","0.2%"
"        High school graduate (includes equivalency)","202,846","76.1%","70.1%","5.3%","33,318","66.1%","61.5%","7.0%","125,785","77.0%","70.1%","4.9%","13,106","78.0%","69.5%","10.6%","30,619","82.2%","80.0%","2.7%"
"        Some college or associate's degree","255,929","80.8%","72.9%","4.1%","34,095","74.8%","68.8%","7.1%","175,830","81.1%","71.5%","3.8%","12,645","86.7%","84.7%","2.0%","33,336","83.3%","80.2%","3.7%"
"        Bachelor's degree or higher","244,634","85.9%","81.2%","1.9%","27,968","80.1%","77.1%","3.8%","186,234","87.3%","82.0%","1.4%","10,097","86.5%","82.4%","4.0%","20,313","80.9%","78.8%","2.6%"
