"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,152,884","65.5%","58.6%","4.9%","157,557","57.5%","53.4%","6.8%","806,782","66.7%","58.4%","4.8%","57,114","67.2%","64.3%","3.7%","131,298","66.6%","63.3%","4.4%"
"AGE","","","","","","","","","","","","","","","","","","","",""
"    16 to 19 years","62,485","37.0%","27.7%","14.3%","8,086","22.8%","17.0%","25.6%","45,722","41.5%","30.7%","12.9%","2,315","20.1%","14.6%","21.4%","6,362","28.9%","24.8%","14.2%"
"    20 to 24 years","104,485","78.5%","58.6%","9.6%","11,898","80.6%","75.3%","6.6%","79,865","78.7%","54.1%","11.0%","3,954","78.5%","77.3%","1.5%","8,768","74.2%","68.3%","7.9%"
"    25 to 29 years","112,990","83.5%","68.3%","6.4%","12,323","71.8%","65.1%","9.3%","84,846","83.9%","66.1%","6.4%","4,550","94.2%","87.3%","5.1%","11,271","88.8%","80.8%","4.3%"
"    30 to 34 years","103,406","82.5%","71.8%","5.8%","11,812","77.2%","71.0%","5.8%","75,096","82.1%","69.1%","6.3%","4,655","85.0%","78.9%","7.2%","11,843","89.6%","87.1%","2.6%"
"    35 to 44 years","177,777","85.6%","78.1%","4.4%","22,805","78.0%","72.0%","7.3%","124,108","86.0%","77.4%","3.7%","8,836","95.9%","92.7%","3.3%","21,994","87.3%","82.5%","5.4%"
"    45 to 54 years","174,599","83.5%","79.7%","3.4%","23,242","78.8%","72.1%","8.5%","120,351","84.5%","80.9%","2.7%","9,256","83.6%","81.5%","1.7%","21,726","83.0%","80.7%","2.7%"
"    55 to 59 years","96,987","74.8%","72.8%","2.5%","14,451","70.2%","67.0%","4.5%","62,579","77.8%","76.2%","1.8%","6,171","70.8%","65.9%","6.8%","13,756","67.9%","66.4%","2.3%"
"    60 to 64 years","83,002","61.4%","59.5%","3.0%","16,039","55.4%","54.6%","1.4%","52,599","62.9%","61.0%","3.1%","4,553","69.8%","69.5%","0.5%","9,788","58.9%","55.3%","6.1%"
"    65 to 74 years","133,842","31.2%","30.3%","2.7%","22,729","24.4%","23.4%","4.0%","87,075","32.6%","31.9%","2.2%","7,990","31.3%","30.5%","2.6%","16,041","32.6%","31.2%","4.4%"
"    75 years and over","103,311","6.5%","6.3%","1.7%","14,172","3.1%","3.1%","0.0%","74,541","6.7%","6.5%","2.2%","4,834","6.3%","6.3%","0.0%","9,749","9.5%","9.5%","0.0%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    White alone","319,110","66.3%","53.9%","5.3%","58,912","54.8%","51.0%","6.4%","187,364","70.3%","51.9%","5.0%","19,859","65.5%","62.1%","3.7%","52,953","65.7%","61.1%","5.7%"
"    Black or African American alone","25,526","79.4%","43.5%","10.4%","N","N","N","N","23,142","83.2%","44.6%","9.3%","N","N","N","N","N","N","N","N"
"    American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"    Asian alone","465,057","63.0%","60.6%","3.1%","37,206","58.3%","55.6%","4.4%","365,908","63.1%","60.5%","3.2%","22,162","67.2%","65.8%","2.0%","39,780","64.2%","63.3%","1.4%"
"    Native Hawaiian and Other Pacific Islander alone","100,797","65.1%","58.3%","9.1%","19,165","62.9%","55.9%","11.1%","65,033","65.4%","58.1%","9.2%","N","N","N","N","11,448","65.0%","60.5%","6.8%"
"    Some other race alone","9,674","67.6%","52.9%","7.1%","N","N","N","N","6,207","71.5%","51.3%","6.4%","N","N","N","N","N","N","N","N"
"    Two or more races","229,334","67.9%","63.0%","5.7%","37,798","58.7%","54.6%","6.7%","157,993","68.9%","63.6%","5.7%","N","N","N","N","24,481","75.7%","71.7%","5.2%"
"Hispanic or Latino origin (of any race)","98,262","68.0%","56.7%","6.8%","15,731","56.5%","49.5%","12.4%","65,144","72.4%","58.6%","5.5%","5,125","73.4%","66.3%","6.4%","N","N","N","N"
"White alone, not Hispanic or Latino","286,251","66.3%","54.3%","5.2%","54,838","54.9%","51.3%","6.0%","166,760","70.2%","52.2%","5.2%","18,786","65.0%","62.1%","3.9%","45,845","66.4%","62.3%","5.0%"
"Population 20 to 64 years","853,246","80.1%","71.6%","4.8%","112,570","73.5%","68.4%","6.6%","599,444","81.0%","70.8%","4.7%","41,975","83.6%","80.2%","3.6%","99,146","80.1%","76.3%","4.2%"
"    SEX","","","","","","","","","","","","","","","","","","","",""
