"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!In labor force!!Estimate","Hawaii!!Employed!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!In labor force!!Estimate","Hawaii County, Hawaii!!Employed!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!In labor force!!Estimate","Honolulu County, Hawaii!!Employed!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!In labor force!!Estimate","Kauai County, Hawaii!!Employed!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!In labor force!!Estimate","Maui County, Hawaii!!Employed!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,122,846","65.5%","57.8%","7.1%","151,879","59.8%","54.6%","8.6%","788,881","66.2%","57.5%","6.6%","55,449","63.7%","58.9%","7.4%","126,547","68.6%","62.6%","8.1%"
"AGE","","","","","","","","","","","","","","","","","","","",""
"    16 to 19 years","67,439","38.1%","27.6%","22.7%","9,535","26.6%","23.2%","12.7%","47,263","40.4%","28.3%","23.6%","3,568","30.3%","24.7%","18.3%","7,073","42.2%","30.6%","27.5%"
"    20 to 24 years","103,126","77.1%","57.0%","12.1%","11,473","70.1%","59.3%","15.2%","79,423","77.4%","54.7%","11.4%","3,422","73.1%","67.3%","8.0%","8,804","84.8%","70.8%","14.9%"
"    25 to 44 years","374,450","83.9%","72.9%","6.8%","44,868","81.8%","75.4%","7.8%","270,283","83.8%","71.2%","6.5%","17,095","82.8%","73.1%","11.5%","42,169","87.0%","81.2%","6.0%"
"    45 to 54 years","185,698","82.7%","77.4%","5.3%","24,962","76.8%","71.7%","6.7%","127,279","83.0%","77.8%","4.6%","9,693","82.4%","80.1%","2.2%","23,757","87.1%","79.6%","8.3%"
"    55 to 64 years","181,710","66.8%","63.4%","5.0%","30,810","61.6%","57.1%","7.3%","117,322","68.6%","65.6%","4.3%","10,958","64.7%","61.0%","5.7%","22,613","65.7%","62.1%","5.5%"
"    65 to 74 years","111,941","31.3%","30.0%","4.2%","17,483","24.8%","21.0%","15.5%","75,490","32.9%","32.3%","1.8%","5,919","35.5%","35.3%","0.5%","13,022","29.1%","26.2%","9.8%"
"    75 years and over","98,482","6.1%","5.8%","5.0%","12,748","7.9%","7.4%","7.1%","71,821","6.0%","5.7%","5.0%","4,794","9.1%","9.1%","0.0%","9,109","3.0%","2.8%","4.8%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","304,810","66.4%","54.0%","6.8%","55,122","57.9%","53.6%","7.3%","179,972","69.2%","51.3%","6.8%","20,412","61.0%","56.3%","7.6%","49,255","68.0%","63.4%","5.9%"
"        Black or African American","19,694","78.6%","48.3%","7.9%","N","N","N","N","18,275","80.9%","48.4%","8.3%","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian","464,335","62.8%","59.5%","4.7%","39,086","58.6%","54.6%","6.7%","366,217","62.7%","59.6%","4.2%","21,153","63.8%","60.5%","5.1%","37,861","67.6%","62.5%","7.6%"
"        Native Hawaiian and Other Pacific Islander","106,133","63.3%","54.9%","12.4%","18,295","55.3%","46.8%","15.5%","69,225","63.8%","55.5%","11.7%","5,446","68.3%","63.0%","7.8%","13,154","69.4%","59.3%","14.1%"
