"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"Population 16 years and over","1,147,756","65.6%","59.7%","3.8%","162,367","59.0%","55.8%","5.2%","792,616","67.0%","59.7%","3.7%","58,085","64.5%","62.8%","2.6%","134,611","66.0%","63.1%","3.5%"
"    AGE","","","","","","","","","","","","","","","","","","","",""
"        16 to 19 years","61,572","41.5%","34.0%","9.7%","8,968","26.8%","22.0%","17.9%","41,961","44.4%","35.2%","9.3%","3,233","36.0%","31.1%","13.4%","7,410","45.5%","43.3%","4.9%"
"        20 to 24 years","90,595","81.7%","61.0%","8.7%","10,518","84.5%","79.7%","5.8%","69,267","80.0%","55.4%","9.7%","3,092","82.5%","75.7%","8.2%","7,718","92.0%","80.5%","6.3%"
"        25 to 29 years","103,541","86.0%","72.9%","5.2%","11,679","85.5%","80.4%","6.0%","77,433","86.0%","70.5%","4.6%","4,495","86.9%","84.6%","2.7%","9,934","86.4%","78.0%","9.4%"
"        30 to 34 years","97,484","83.0%","75.7%","2.5%","11,982","73.0%","70.0%","4.1%","70,413","84.2%","75.1%","2.4%","4,412","82.9%","82.5%","0.4%","10,665","86.4%","82.9%","2.9%"
"        35 to 44 years","181,541","85.2%","77.5%","4.1%","23,671","82.3%","74.9%","7.8%","126,401","85.3%","76.2%","4.0%","8,827","88.5%","86.2%","2.6%","22,630","86.5%","84.5%","2.0%"
"        45 to 54 years","171,390","83.2%","80.2%","2.2%","23,217","78.7%","76.5%","2.8%","116,666","83.9%","80.4%","2.2%","9,295","81.5%","80.4%","1.3%","22,198","85.0%","82.9%","1.9%"
"        55 to 59 years","86,295","79.4%","76.7%","3.2%","13,486","71.8%","68.3%","4.8%","57,222","82.1%","79.5%","2.8%","3,756","75.1%","74.1%","1.3%","11,812","76.7%","73.5%","4.2%"
"        60 to 64 years","93,871","63.4%","62.8%","1.0%","16,203","54.8%","54.6%","0.5%","59,641","66.0%","65.4%","0.9%","6,266","70.6%","70.3%","0.5%","11,752","57.9%","56.6%","2.4%"
