"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii!!Employment/Population Ratio!!Estimate","Hawaii!!Unemployment rate!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Labor Force Participation Rate!!Estimate","Hawaii County, Hawaii!!Employment/Population Ratio!!Estimate","Hawaii County, Hawaii!!Unemployment rate!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Labor Force Participation Rate!!Estimate","Honolulu County, Hawaii!!Employment/Population Ratio!!Estimate","Honolulu County, Hawaii!!Unemployment rate!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Labor Force Participation Rate!!Estimate","Kauai County, Hawaii!!Employment/Population Ratio!!Estimate","Kauai County, Hawaii!!Unemployment rate!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Labor Force Participation Rate!!Estimate","Maui County, Hawaii!!Employment/Population Ratio!!Estimate","Maui County, Hawaii!!Unemployment rate!!Estimate"
"        65 to 74 years","149,372","32.7%","31.9%","2.4%","27,403","29.4%","28.2%","4.1%","94,410","35.0%","34.3%","2.0%","8,886","33.7%","32.1%","4.8%","18,665","25.5%","25.3%","0.7%"
"        75 years and over","112,095","8.0%","7.5%","6.4%","15,240","8.8%","7.5%","15.5%","79,202","7.1%","6.8%","4.1%","5,823","9.6%","9.6%","0.0%","11,827","12.7%","11.5%","8.8%"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","",""
"        White alone","298,022","65.4%","54.0%","4.5%","58,940","52.9%","48.2%","8.3%","168,933","71.3%","54.1%","3.9%","19,809","58.3%","56.3%","3.3%","50,304","62.6%","59.7%","3.3%"
"        Black or African American alone","24,140","81.0%","54.3%","11.2%","N","N","N","N","21,409","82.6%","52.9%","12.3%","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","469,745","63.0%","61.2%","1.8%","42,354","60.9%","60.0%","1.6%","362,555","62.5%","60.5%","1.8%","21,367","64.7%","64.2%","0.8%","43,466","68.7%","66.4%","2.8%"
"        Native Hawaiian and Other Pacific Islander alone","112,003","62.9%","57.5%","7.7%","18,932","55.9%","52.9%","5.2%","74,265","63.8%","57.4%","8.6%","4,438","71.0%","65.4%","7.9%","N","N","N","N"
"        Some other race alone","14,267","77.9%","59.9%","1.7%","N","N","N","N","7,700","70.2%","37.2%","4.9%","N","N","N","N","N","N","N","N"
"        Two or more races","226,755","70.2%","65.7%","4.5%","36,230","64.9%","61.0%","6.1%","156,076","71.9%","66.9%","4.4%","11,926","71.4%","69.4%","2.8%","22,506","66.5%","63.4%","4.3%"
"        Hispanic or Latino origin (of any race)","99,023","72.5%","61.9%","5.1%","N","N","N","N","64,704","73.4%","59.7%","5.0%","N","N","N","N","N","N","N","N"
"        White alone, not Hispanic or Latino","269,493","64.3%","53.5%","4.3%","55,289","52.7%","48.7%","7.0%","150,281","70.2%","53.3%","3.8%","18,907","58.9%","56.9%","3.4%","44,980","61.1%","58.4%","3.0%"
"Population 20 to 64 years","824,717","81.2%","73.7%","3.7%","110,756","75.8%","72.0%","4.8%","577,043","82.0%","72.9%","3.6%","40,143","81.6%","79.8%","2.1%","96,709","81.9%","78.2%","3.5%"
"    SEX","","","","","","","","","","","","","","","","","","","",""
"        Male","421,293","84.9%","74.1%","3.9%","54,818","79.9%","75.1%","6.0%","297,629","86.4%","72.8%","3.6%","19,811","83.0%","80.6%","2.9%","48,981","82.3%","78.2%","3.8%"
"        Female","403,424","77.2%","73.3%","3.4%","55,938","71.7%","68.9%","3.5%","279,414","77.4%","72.9%","3.6%","20,332","80.2%","79.1%","1.3%","47,728","81.5%","78.2%","3.2%"
"            With own children under 18 years","136,143","77.1%","73.0%","3.5%","18,649","72.9%","68.9%","4.0%","96,617","76.1%","71.2%","4.0%","N","N","N","N","14,607","85.7%","84.6%","1.3%"
"                With own children under 6 years only","29,082","70.9%","66.2%","4.1%","2,370","48.7%","45.7%","6.3%","22,476","71.4%","66.1%","4.3%","N","N","N","N","3,046","79.2%","76.4%","3.6%"
"                With own children under 6 years and 6 to 17  years","30,322","69.4%","64.8%","4.2%","4,752","70.3%","70.3%","0.0%","21,081","67.2%","60.7%","6.2%","N","N","N","N","2,525","82.9%","82.1%","1.0%"
"                With own children 6 to 17 years only","76,739","82.5%","78.7%","3.0%","11,527","78.9%","73.2%","5.2%","53,060","81.6%","77.5%","3.2%","N","N","N","N","9,036","88.7%","88.0%","0.7%"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"        Below poverty level","66,869","48.9%","39.5%","18.6%","16,149","57.9%","48.3%","16.7%","40,254","46.3%","36.4%","20.3%","2,566","39.6%","37.2%","6.0%","7,895","46.6%","38.0%","18.5%"
"        At or above the poverty level","735,357","84.8%","78.7%","2.9%","93,291","79.8%","76.9%","3.3%","517,199","85.5%","78.0%","2.9%","37,182","85.3%","83.6%","2.0%","87,624","86.2%","82.9%","2.8%"
"    DISABILITY STATUS","","","","","","","","","","","","","","","","","","","",""
"        With any disability","66,187","46.6%","42.2%","6.4%","15,162","40.6%","38.6%","5.0%","39,912","50.2%","44.6%","6.5%","2,460","23.3%","23.3%","0.0%","8,632","47.3%","43.1%","8.9%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Population 25 to 64 years","734,122","81.1%","75.3%","3.2%","100,238","74.9%","71.2%","4.7%","507,776","82.3%","75.2%","3.0%","37,051","81.5%","80.2%","1.6%","88,991","81.0%","78.0%","3.3%"
"        Less than high school graduate","43,602","67.1%","64.6%","3.4%","6,701","66.7%","66.2%","0.8%","28,550","66.8%","63.4%","4.8%","2,071","79.7%","79.7%","0.0%","6,268","64.5%","63.5%","1.5%"
"        High school graduate (includes equivalency)","196,115","76.4%","70.5%","4.8%","28,617","71.9%","66.1%","8.1%","128,309","76.5%","69.6%","4.4%","10,748","80.1%","77.9%","2.8%","28,418","79.3%","75.9%","4.2%"
"        Some college or associate's degree","243,062","81.8%","75.0%","3.6%","35,774","72.7%","69.6%","4.0%","164,720","83.6%","75.2%","3.5%","13,297","80.4%","78.6%","2.3%","29,259","83.3%","79.2%","4.4%"
"        Bachelor's degree or higher","251,343","86.5%","81.1%","1.6%","29,146","82.4%","79.2%","3.2%","186,197","87.6%","81.0%","1.4%","10,935","84.5%","84.5%","0.0%","25,046","84.4%","82.6%","1.4%"
