"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"Occupied housing units","455,309","455,309","265,364","265,364","189,945","189,945","71,565","71,565","47,396","47,396","24,169","24,169","308,208","308,208","170,777","170,777","137,431","137,431","22,685","22,685","13,438","13,438","9,247","9,247","52,794","52,794","33,753","33,753","19,041","19,041"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $5,000","12,148","2.7%","4,706","1.8%","7,442","3.9%","2,239","3.1%","921","1.9%","1,318","5.5%","8,199","2.7%","2,707","1.6%","5,492","4.0%","446","2.0%","350","2.6%","96","1.0%","1,264","2.4%","728","2.2%","536","2.8%"
"        $5,000 to $9,999","11,943","2.6%","4,378","1.6%","7,565","4.0%","4,840","6.8%","2,443","5.2%","2,397","9.9%","6,098","2.0%","1,611","0.9%","4,487","3.3%","543","2.4%","211","1.6%","332","3.6%","462","0.9%","113","0.3%","349","1.8%"
"        $10,000 to $14,999","9,842","2.2%","3,182","1.2%","6,660","3.5%","2,435","3.4%","1,150","2.4%","1,285","5.3%","5,805","1.9%","1,140","0.7%","4,665","3.4%","558","2.5%","267","2.0%","291","3.1%","1,044","2.0%","625","1.9%","419","2.2%"
"        $15,000 to $19,999","14,171","3.1%","5,292","2.0%","8,879","4.7%","3,261","4.6%","1,832","3.9%","1,429","5.9%","8,603","2.8%","2,241","1.3%","6,362","4.6%","1,007","4.4%","452","3.4%","555","6.0%","1,300","2.5%","767","2.3%","533","2.8%"
"        $20,000 to $24,999","13,740","3.0%","4,853","1.8%","8,887","4.7%","2,820","3.9%","1,044","2.2%","1,776","7.3%","8,474","2.7%","2,800","1.6%","5,674","4.1%","636","2.8%","319","2.4%","317","3.4%","1,810","3.4%","690","2.0%","1,120","5.9%"
"        $25,000 to $34,999","32,712","7.2%","13,023","4.9%","19,689","10.4%","6,922","9.7%","4,219","8.9%","2,703","11.2%","19,664","6.4%","6,067","3.6%","13,597","9.9%","1,992","8.8%","782","5.8%","1,210","13.1%","4,126","7.8%","1,955","5.8%","2,171","11.4%"
"        $35,000 to $49,999","47,812","10.5%","23,611","8.9%","24,201","12.7%","9,063","12.7%","6,388","13.5%","2,675","11.1%","30,247","9.8%","13,081","7.7%","17,166","12.5%","2,357","10.4%","989","7.4%","1,368","14.8%","6,145","11.6%","3,153","9.3%","2,992","15.7%"
"        $50,000 to $74,999","70,691","15.5%","37,406","14.1%","33,285","17.5%","10,014","14.0%","7,126","15.0%","2,888","11.9%","49,803","16.2%","23,839","14.0%","25,964","18.9%","2,973","13.1%","1,828","13.6%","1,145","12.4%","7,892","14.9%","4,613","13.7%","3,279","17.2%"
