"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error"
"    $75,000 to $99,999","13.3%","±0.8","14.5%","±0.9","11.9%","±1.1","11.7%","±2.0","13.6%","±2.6","7.8%","±2.8","13.7%","±0.9","14.7%","±1.1","12.5%","±1.3","11.0%","±3.2","12.7%","±4.4","8.2%","±4.4","14.4%","±2.1","15.2%","±2.9","13.2%","±3.6"
"    $100,000 to $149,999","18.0%","±0.9","22.7%","±1.3","12.0%","±1.2","12.2%","±2.3","14.6%","±2.9","7.4%","±3.3","19.5%","±1.1","25.8%","±1.6","12.5%","±1.4","17.8%","±3.8","15.7%","±4.3","21.2%","±7.2","16.6%","±2.5","21.0%","±3.5","10.2%","±3.1"
"    $150,000 or more","13.7%","±0.7","19.9%","±1.0","5.7%","±0.8","6.2%","±1.2","8.3%","±1.7","2.0%","±1.2","15.6%","±0.9","23.7%","±1.4","6.5%","±1.0","9.7%","±2.7","13.3%","±3.7","3.9%","±3.0","13.1%","±2.1","18.7%","±2.7","5.0%","±2.5"
"    Median household income (dollars)","68,020","±1,523","86,525","±2,502","50,933","±1,485","48,399","±5,565","56,977","±2,051","27,281","±5,962","73,388","±1,774","98,669","±3,784","53,800","±2,836","60,155","±7,082","65,779","±8,128","50,654","±12,680","65,558","±4,563","82,455","±6,654","48,854","±9,147"
"MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $100","0.4%","±0.1","0.7%","±0.2","0.1%","±0.1","1.3%","±0.5","1.9%","±0.8","0.0%","±0.6","0.3%","±0.1","0.4%","±0.2","0.2%","±0.2","0.9%","±1.0","1.4%","±1.6","N","N","0.2%","±0.3","0.4%","±0.5","0.0%","±0.6"
"    $100 to $199","1.5%","±0.3","1.7%","±0.4","1.3%","±0.4","5.1%","±1.4","6.1%","±1.9","3.1%","±2.2","0.9%","±0.2","0.6%","±0.2","1.2%","±0.4","1.3%","±1.0","0.7%","±0.8","N","N","1.3%","±0.8","2.1%","±1.2","0.2%","±0.3"
"    $200 to $299","3.1%","±0.3","4.0%","±0.5","1.9%","±0.5","6.4%","±1.7","8.0%","±2.2","3.4%","±2.2","2.1%","±0.4","2.3%","±0.5","1.7%","±0.5","5.9%","±2.3","8.2%","±3.6","N","N","3.9%","±1.3","5.6%","±2.0","1.4%","±1.3"
"    $300 to $399","3.9%","±0.4","5.5%","±0.7","1.8%","±0.5","6.1%","±1.4","8.0%","±2.0","2.4%","±1.6","3.3%","±0.5","4.6%","±0.7","1.8%","±0.6","4.3%","±1.7","6.7%","±2.7","N","N","4.3%","±1.4","6.3%","±2.2","1.3%","±1.1"
"    $400 to $499","3.9%","±0.4","5.6%","±0.6","1.6%","±0.6","5.5%","±1.8","6.5%","±2.4","3.7%","±2.9","3.3%","±0.4","5.2%","±0.6","1.2%","±0.4","5.2%","±2.0","6.7%","±2.6","N","N","4.4%","±1.3","6.2%","±2.1","1.9%","±1.7"
"    $500 to $599","3.5%","±0.3","5.0%","±0.5","1.5%","±0.4","3.4%","±1.0","3.9%","±1.2","2.4%","±1.6","3.5%","±0.4","5.4%","±0.7","1.3%","±0.3","4.0%","±1.6","4.6%","±2.2","N","N","3.2%","±1.1","4.0%","±1.3","1.9%","±1.8"
"    $600 to $699","3.8%","±0.4","4.5%","±0.5","3.0%","±0.7","4.6%","±1.0","4.9%","±1.4","4.0%","±1.8","3.6%","±0.4","4.6%","±0.6","2.4%","±0.7","4.9%","±2.1","5.1%","±2.6","N","N","3.7%","±1.3","2.8%","±1.0","5.1%","±2.7"
"    $700 to $799","3.4%","±0.4","3.8%","±0.5","2.9%","±0.5","4.0%","±1.3","3.3%","±1.5","5.4%","±2.0","3.1%","±0.4","4.0%","±0.6","2.2%","±0.6","3.6%","±1.6","3.3%","±2.1","N","N","4.2%","±1.4","4.1%","±1.4","4.4%","±2.6"
"    $800 to $899","3.1%","±0.3","2.5%","±0.4","3.8%","±0.6","4.4%","±1.4","3.2%","±1.4","6.8%","±3.3","2.8%","±0.3","2.4%","±0.4","3.3%","±0.6","2.6%","±1.4","1.7%","±1.1","N","N","3.0%","±1.1","2.7%","±1.4","3.6%","±1.7"
"    $900 to $999","3.8%","±0.3","2.0%","±0.3","6.0%","±0.7","4.8%","±1.3","2.6%","±1.0","9.1%","±3.4","3.8%","±0.4","1.9%","±0.4","5.9%","±0.9","2.0%","±1.2","2.3%","±1.7","N","N","3.5%","±1.1","1.8%","±1.0","5.9%","±2.8"
"    $1,000 to $1,499","18.0%","±0.9","11.1%","±0.9","26.8%","±1.6","19.7%","±2.7","15.4%","±2.9","28.0%","±6.1","16.6%","±1.1","9.0%","±0.8","25.3%","±1.9","22.3%","±3.9","15.2%","±4.4","N","N","22.0%","±3.1","14.4%","±3.5","33.0%","±5.4"
"    $1,500 to $1,999","15.5%","±0.9","13.8%","±1.0","17.7%","±1.4","13.7%","±2.5","15.0%","±3.0","11.2%","±4.1","15.9%","±1.0","14.0%","±1.3","18.0%","±1.7","15.0%","±3.4","13.0%","±3.6","N","N","15.8%","±2.7","11.7%","±2.4","21.7%","±4.9"
"    $2,000 or more","33.1%","±1.0","39.7%","±1.5","24.6%","±1.5","15.1%","±2.4","21.2%","±3.5","3.1%","±1.4","38.8%","±1.2","45.6%","±1.7","30.9%","±2.0","23.7%","±3.9","31.0%","±5.3","N","N","26.4%","±3.3","38.0%","±4.5","9.7%","±3.2"
"    No cash rent","3.0%","±0.3","(X)","(X)","6.9%","±0.8","5.8%","±1.8","(X)","(X)","17.2%","±4.8","2.2%","±0.3","(X)","(X)","4.7%","±0.7","4.3%","±2.1","(X)","(X)","N","N","4.0%","±1.3","(X)","(X)","9.9%","±3.2"
"    Median (dollars)","1,505","±33","1,630","±51","1,414","±32","1,033","±73","1,048","±110","1,017","±90","1,675","±36","1,859","±52","1,535","±54","1,323","±88","1,362","±131","1,281","±114","1,345","±79","1,482","±207","1,292","±68"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $20,000","10.5%","±0.8","7.0%","±0.7","15.1%","±1.4","18.7%","±3.0","13.5%","±2.7","28.7%","±6.0","8.8%","±0.7","4.6%","±0.7","13.6%","±1.3","10.2%","±2.9","9.1%","±3.4","12.0%","±5.7","10.6%","±2.3","9.5%","±2.9","12.3%","±3.5"
"        Less than 20 percent","0.7%","±0.1","0.9%","±0.2","0.4%","±0.2","2.4%","±0.8","3.5%","±1.2","0.2%","±0.3","0.4%","±0.2","0.3%","±0.2","0.4%","±0.3","0.4%","±0.5","0.7%","±0.8","0.0%","±1.6","0.6%","±0.5","0.8%","±0.9","0.2%","±0.4"
"        20 to 29 percent","1.0%","±0.2","0.6%","±0.2","1.7%","±0.4","1.8%","±0.9","1.6%","±0.8","2.1%","±2.0","0.9%","±0.3","0.3%","±0.2","1.6%","±0.4","1.6%","±1.1","0.1%","±0.2","4.0%","±2.9","0.6%","±0.4","0.5%","±0.5","0.9%","±0.7"
"        30 percent or more","8.8%","±0.7","5.5%","±0.7","13.0%","±1.4","14.6%","±2.8","8.5%","±2.4","26.4%","±5.8","7.5%","±0.7","4.0%","±0.7","11.6%","±1.3","8.2%","±2.7","8.3%","±3.5","8.0%","±4.6","9.4%","±2.2","8.2%","±2.8","11.2%","±3.6"
"    $20,000 to $34,999","11.8%","±0.7","9.2%","±0.8","15.2%","±1.4","15.7%","±1.9","16.4%","±2.5","14.3%","±3.6","10.1%","±0.8","6.4%","±0.8","14.3%","±1.6","15.1%","±3.7","13.0%","±4.7","18.3%","±5.8","15.6%","±2.4","12.1%","±3.1","20.7%","±4.8"
"        Less than 20 percent","2.2%","±0.4","3.1%","±0.5","0.9%","±0.4","5.1%","±1.2","7.0%","±1.6","1.4%","±1.4","1.3%","±0.3","1.8%","±0.5","0.8%","±0.4","3.2%","±2.4","5.0%","±3.8","0.3%","±0.5","3.2%","±1.4","4.3%","±2.3","1.7%","±1.8"
"        20 to 29 percent","1.4%","±0.3","1.3%","±0.3","1.5%","±0.5","1.3%","±0.4","1.3%","±0.6","1.2%","±0.9","1.1%","±0.3","1.2%","±0.4","1.0%","±0.3","4.5%","±2.1","2.1%","±1.5","8.3%","±5.4","2.1%","±1.1","1.6%","±1.0","2.7%","±2.3"
"        30 percent or more","8.2%","±0.6","4.7%","±0.5","12.8%","±1.3","9.3%","±1.6","8.1%","±2.0","11.7%","±3.3","7.7%","±0.8","3.4%","±0.5","12.6%","±1.5","7.3%","±2.1","5.8%","±2.1","9.7%","±4.5","10.3%","±2.2","6.2%","±2.4","16.3%","±4.3"
"    $35,000 to $49,999","10.7%","±0.7","9.1%","±0.8","12.8%","±1.1","10.0%","±2.2","10.0%","±2.5","10.0%","±3.4","10.6%","±0.8","8.1%","±0.9","13.6%","±1.3","14.5%","±3.7","15.2%","±4.5","13.3%","±5.5","10.6%","±2.1","10.7%","±2.7","10.6%","±3.4"
"        Less than 20 percent","2.4%","±0.4","3.9%","±0.6","0.5%","±0.2","3.9%","±1.4","5.6%","±2.0","0.6%","±0.6","2.0%","±0.4","3.4%","±0.6","0.5%","±0.3","3.2%","±1.5","5.0%","±2.3","0.4%","±0.6","2.7%","±1.0","4.0%","±1.6","0.7%","±0.8"
"        20 to 29 percent","1.8%","±0.3","1.1%","±0.2","2.7%","±0.5","1.6%","±0.7","0.9%","±0.6","3.0%","±1.9","1.9%","±0.3","1.0%","±0.3","2.8%","±0.6","1.2%","±0.8","1.5%","±1.2","0.8%","±0.9","1.7%","±0.8","1.6%","±1.0","2.0%","±1.3"
"        30 percent or more","6.5%","±0.5","4.1%","±0.5","9.6%","±0.9","4.5%","±1.3","3.6%","±1.6","6.4%","±2.7","6.7%","±0.6","3.6%","±0.6","10.2%","±1.2","10.0%","±3.4","8.7%","±4.2","12.2%","±5.3","6.2%","±1.6","5.0%","±1.8","7.9%","±2.7"
"    $50,000 to $74,999","18.3%","±1.0","16.9%","±1.2","20.1%","±1.6","18.8%","±2.7","21.9%","±3.4","12.8%","±4.1","18.9%","±1.1","16.2%","±1.3","21.9%","±1.7","18.5%","±3.7","19.8%","±5.1","16.3%","±5.5","14.2%","±2.7","12.4%","±2.3","16.9%","±5.4"
"        Less than 20 percent","5.0%","±0.5","6.5%","±0.7","3.1%","±0.7","7.8%","±1.8","9.6%","±2.5","4.4%","±1.8","4.5%","±0.5","6.2%","±0.7","2.7%","±0.8","3.8%","±1.1","5.5%","±1.6","1.0%","±1.0","4.8%","±1.7","4.2%","±1.3","5.7%","±3.7"
"        20 to 29 percent","4.5%","±0.5","2.5%","±0.5","7.2%","±0.9","3.7%","±1.4","3.0%","±1.2","5.3%","±3.2","4.6%","±0.6","2.3%","±0.5","7.4%","±0.9","6.2%","±2.6","4.0%","±3.0","9.7%","±4.6","4.3%","±1.5","2.2%","±1.1","7.3%","±2.9"
"        30 percent or more","8.7%","±0.6","7.9%","±0.8","9.8%","±1.2","7.3%","±1.9","9.4%","±2.4","3.2%","±1.8","9.7%","±0.8","7.7%","±0.9","11.9%","±1.5","8.5%","±2.5","10.2%","±3.6","5.6%","±2.9","5.1%","±1.5","6.0%","±1.8","3.9%","±2.6"
"    $75,000 or more","44.4%","±1.1","57.1%","±1.4","28.1%","±1.8","29.4%","±2.7","36.6%","±3.2","15.4%","±4.0","48.2%","±1.3","64.2%","±1.6","30.1%","±2.1","36.8%","±5.7","41.7%","±6.9","28.8%","±8.4","43.8%","±3.0","54.9%","±4.0","27.6%","±4.5"
"        Less than 20 percent","22.6%","±0.8","29.7%","±1.1","13.5%","±1.2","17.6%","±2.4","21.6%","±2.9","9.8%","±3.5","23.3%","±1.0","32.3%","±1.5","13.2%","±1.3","24.0%","±4.5","26.3%","±5.4","20.4%","±6.9","24.0%","±2.8","29.0%","±3.2","16.8%","±4.2"
"        20 to 29 percent","13.2%","±0.7","16.4%","±1.1","9.0%","±0.9","8.2%","±1.6","10.2%","±2.2","4.5%","±2.1","14.8%","±0.9","19.0%","±1.3","9.9%","±1.2","7.2%","±2.5","8.3%","±3.4","5.5%","±3.6","12.2%","±1.9","14.5%","±2.8","9.0%","±2.7"
"        30 percent or more","8.6%","±0.7","11.0%","±0.9","5.6%","±1.0","3.5%","±1.2","4.8%","±1.6","1.1%","±1.7","10.1%","±1.0","12.9%","±1.2","7.0%","±1.3","5.5%","±2.1","7.2%","±2.6","2.8%","±3.4","7.5%","±1.8","11.4%","±2.9","1.9%","±1.8"
"    Zero or negative income","1.2%","±0.3","0.7%","±0.3","1.7%","±0.5","1.6%","±0.8","1.6%","±1.1","1.5%","±1.1","1.1%","±0.3","0.6%","±0.3","1.8%","±0.6","0.7%","±0.7","1.1%","±1.2","0.0%","±1.6","1.1%","±0.8","0.4%","±0.4","2.0%","±1.8"
"    No cash rent","3.0%","±0.3","(X)","(X)","6.9%","±0.8","5.8%","±1.8","(X)","(X)","17.2%","±4.8","2.2%","±0.3","(X)","(X)","4.7%","±0.7","4.3%","±2.1","(X)","(X)","11.2%","±5.4","4.0%","±1.3","(X)","(X)","9.9%","±3.2"
