"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","450,120","±4,406","252,999","±3,913","197,121","±5,311","64,929","±2,453","42,876","±2,470","22,053","±2,328","308,800","±2,879","164,417","±3,161","144,383","±4,185","22,386","±966","13,802","±1,035","8,584","±1,109","53,946","±1,937","31,904","±1,888","22,042","±1,819"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $5,000","3.2%","±0.5","1.9%","±0.5","4.9%","±0.9","6.3%","±1.9","3.3%","±1.5","12.3%","±4.7","2.5%","±0.4","1.2%","±0.4","4.0%","±0.8","2.3%","±1.4","3.2%","±2.1","0.7%","±0.9","3.8%","±1.4","3.0%","±1.6","4.9%","±2.5"
"    $5,000 to $9,999","2.5%","±0.4","1.1%","±0.3","4.4%","±0.7","5.5%","±1.6","3.2%","±1.5","10.0%","±3.7","2.1%","±0.3","0.8%","±0.2","3.6%","±0.7","3.0%","±1.5","0.7%","±0.6","6.8%","±3.5","1.3%","±0.6","0.1%","±0.1","3.0%","±1.5"
"    $10,000 to $14,999","3.4%","±0.4","2.1%","±0.4","5.1%","±0.7","4.9%","±1.6","3.5%","±1.3","7.8%","±3.4","3.0%","±0.4","1.4%","±0.4","4.8%","±0.8","4.8%","±2.3","4.7%","±2.8","4.9%","±3.6","3.6%","±1.2","3.1%","±1.3","4.3%","±1.9"
"    $15,000 to $19,999","3.5%","±0.5","2.6%","±0.5","4.5%","±0.8","6.7%","±1.8","5.2%","±1.9","9.5%","±3.9","2.8%","±0.5","1.8%","±0.5","3.9%","±0.8","2.5%","±1.5","1.6%","±1.1","3.8%","±3.6","3.7%","±1.7","3.8%","±2.1","3.7%","±2.3"
"    $20,000 to $24,999","4.6%","±0.6","3.1%","±0.5","6.5%","±1.1","7.0%","±1.8","6.4%","±2.1","8.4%","±3.1","3.9%","±0.6","2.1%","±0.4","6.1%","±1.1","6.2%","±2.7","5.5%","±3.9","7.2%","±3.7","4.7%","±1.6","2.9%","±1.7","7.4%","±3.2"
"    $25,000 to $34,999","7.7%","±0.6","6.1%","±0.7","9.8%","±1.0","9.2%","±1.9","10.0%","±2.5","7.5%","±2.8","6.5%","±0.6","4.3%","±0.6","9.0%","±1.1","9.5%","±2.7","7.5%","±2.8","12.8%","±5.4","12.1%","±2.3","9.2%","±2.7","16.3%","±4.3"
"    $35,000 to $49,999","11.1%","±0.7","9.1%","±0.8","13.7%","±1.1","10.9%","±2.3","10.0%","±2.5","12.7%","±4.0","11.0%","±0.7","8.1%","±0.9","14.3%","±1.3","14.5%","±3.7","15.2%","±4.5","13.4%","±5.6","10.9%","±2.1","10.7%","±2.7","11.3%","±3.5"
"    $50,000 to $74,999","18.9%","±1.0","16.9%","±1.2","21.5%","±1.6","19.5%","±2.7","21.9%","±3.4","14.7%","±4.3","19.3%","±1.1","16.2%","±1.3","22.9%","±1.8","18.8%","±3.8","19.8%","±5.1","17.1%","±5.8","15.9%","±3.0","12.4%","±2.3","20.9%","±6.1"
