"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","450,769","±4,870","255,375","±5,028","195,394","±4,468","65,178","±2,313","41,681","±2,345","23,497","±2,347","309,002","±3,046","168,208","±3,340","140,794","±3,522","22,234","±1,084","14,541","±1,068","7,693","±1,004","54,303","±1,731","30,931","±1,858","23,372","±2,056"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $5,000","3.2%","±0.4","2.2%","±0.4","4.6%","±0.8","6.6%","±1.7","4.9%","±1.5","9.5%","±3.9","2.6%","±0.5","1.5%","±0.4","4.0%","±0.8","3.7%","±1.8","2.4%","±1.9","5.9%","±3.7","2.1%","±0.8","2.0%","±1.0","2.3%","±1.3"
"    $5,000 to $9,999","2.6%","±0.3","1.3%","±0.3","4.2%","±0.6","3.5%","±0.9","1.6%","±0.7","6.9%","±2.2","2.3%","±0.3","1.0%","±0.3","4.0%","±0.7","2.9%","±1.7","2.6%","±2.3","3.3%","±1.9","2.5%","±0.9","2.3%","±1.1","2.9%","±1.5"
"    $10,000 to $14,999","3.5%","±0.4","2.1%","±0.4","5.3%","±0.7","6.2%","±1.4","3.2%","±1.0","11.5%","±3.6","2.9%","±0.5","1.8%","±0.5","4.3%","±0.7","5.3%","±2.1","2.9%","±2.2","9.9%","±4.4","2.7%","±1.2","1.6%","±0.8","4.2%","±2.5"
"    $15,000 to $19,999","3.6%","±0.4","2.6%","±0.5","4.8%","±0.7","6.9%","±1.7","5.8%","±2.1","8.8%","±2.7","2.8%","±0.4","1.7%","±0.4","4.1%","±0.8","3.9%","±1.8","3.9%","±2.4","3.9%","±3.2","3.6%","±1.1","2.3%","±0.8","5.3%","±2.5"
"    $20,000 to $24,999","3.6%","±0.4","2.4%","±0.4","5.1%","±0.8","4.0%","±1.1","4.2%","±1.4","3.6%","±1.5","3.1%","±0.5","1.8%","±0.4","4.7%","±1.0","4.7%","±2.0","3.6%","±2.0","6.7%","±4.4","5.3%","±1.5","3.0%","±1.3","8.5%","±3.2"
"    $25,000 to $34,999","7.2%","±0.6","4.9%","±0.5","10.1%","±1.1","7.5%","±1.9","5.4%","±1.6","11.1%","±4.3","6.9%","±0.6","4.6%","±0.6","9.7%","±1.1","8.4%","±2.5","6.5%","±2.4","11.9%","±5.3","7.6%","±1.9","5.1%","±1.8","11.0%","±3.4"
"    $35,000 to $49,999","11.6%","±0.8","9.4%","±0.7","14.3%","±1.5","11.8%","±2.1","12.9%","±2.4","9.8%","±3.7","11.1%","±0.9","8.5%","±0.8","14.3%","±1.6","12.0%","±3.1","9.4%","±2.8","17.1%","±7.2","13.4%","±2.4","9.8%","±2.4","18.3%","±4.7"
"    $50,000 to $74,999","18.8%","±0.9","17.1%","±1.0","21.1%","±1.6","21.2%","±3.0","22.6%","±3.5","18.8%","±4.2","18.3%","±1.0","15.3%","±1.0","21.8%","±1.8","16.2%","±3.7","15.6%","±3.6","17.4%","±7.0","20.2%","±2.5","20.3%","±3.2","20.0%","±4.1"
