"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error"
"    $75,000 to $99,999","14.5%","±0.7","14.9%","±1.0","14.0%","±1.3","11.4%","±2.4","11.7%","±2.9","10.8%","±4.2","15.1%","±0.9","15.5%","±1.1","14.7%","±1.7","15.9%","±3.1","17.7%","±4.4","12.5%","±5.4","14.3%","±2.4","14.9%","±2.8","13.4%","±4.1"
"    $100,000 to $149,999","17.9%","±0.7","23.1%","±0.9","11.0%","±1.0","13.5%","±2.0","17.7%","±2.8","6.2%","±2.5","19.1%","±1.0","24.9%","±1.2","12.3%","±1.2","15.0%","±3.3","19.1%","±4.4","7.3%","±3.4","16.9%","±2.4","22.3%","±2.8","9.9%","±3.8"
"    $150,000 or more","13.7%","±0.7","19.9%","±1.0","5.5%","±0.7","7.5%","±1.7","10.0%","±2.4","3.0%","±1.8","15.5%","±0.9","23.3%","±1.3","6.2%","±0.9","12.0%","±2.9","16.2%","±4.1","4.1%","±2.6","11.2%","±1.9","16.6%","±2.7","4.2%","±1.9"
"    Median household income (dollars)","69,592","±1,456","87,194","±1,691","51,145","±1,368","52,788","±2,428","61,591","±3,572","31,082","±10,030","74,634","±1,827","95,992","±2,591","54,390","±2,977","64,847","±7,803","78,621","±6,000","43,027","±4,687","67,013","±3,605","81,252","±5,047","48,112","±3,318"
"MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $100","0.4%","±0.1","0.6%","±0.2","0.2%","±0.2","0.8%","±0.5","1.2%","±0.7","0.0%","±0.6","0.3%","±0.1","0.4%","±0.2","0.2%","±0.2","0.3%","±0.5","0.0%","±0.9","N","N","0.5%","±0.5","0.9%","±0.9","0.1%","±0.2"
"    $100 to $199","1.7%","±0.2","2.3%","±0.4","0.8%","±0.3","6.4%","±1.5","8.9%","±2.2","1.9%","±1.6","0.7%","±0.2","0.7%","±0.2","0.8%","±0.3","2.1%","±1.1","3.2%","±1.7","N","N","1.2%","±0.6","2.0%","±1.1","0.2%","±0.3"
"    $200 to $299","3.2%","±0.4","4.2%","±0.6","1.8%","±0.5","7.0%","±1.6","8.6%","±1.9","4.2%","±2.6","2.3%","±0.4","2.9%","±0.6","1.5%","±0.5","5.5%","±2.2","7.0%","±3.2","N","N","3.1%","±1.1","4.5%","±1.8","1.2%","±1.0"
"    $300 to $399","3.6%","±0.4","5.3%","±0.6","1.4%","±0.4","6.3%","±1.6","8.2%","±2.0","3.1%","±1.9","2.7%","±0.4","4.3%","±0.6","0.8%","±0.3","5.4%","±2.1","4.8%","±2.3","N","N","5.0%","±1.1","7.3%","±1.7","1.9%","±1.4"
"    $400 to $499","3.9%","±0.4","6.0%","±0.5","1.2%","±0.4","4.0%","±1.0","5.2%","±1.5","1.7%","±1.4","3.6%","±0.4","6.1%","±0.6","0.7%","±0.3","5.7%","±1.9","6.4%","±2.2","N","N","4.6%","±1.3","6.0%","±1.8","2.8%","±1.9"
"    $500 to $599","4.1%","±0.4","5.5%","±0.6","2.2%","±0.6","4.9%","±1.2","5.2%","±1.5","4.4%","±2.0","3.9%","±0.4","5.9%","±0.7","1.5%","±0.4","3.8%","±1.6","5.1%","±2.4","N","N","4.1%","±1.3","4.0%","±1.4","4.2%","±2.2"
"    $600 to $699","3.3%","±0.4","4.2%","±0.5","2.1%","±0.6","4.0%","±1.3","3.6%","±1.2","4.6%","±2.9","3.3%","±0.4","4.8%","±0.7","1.5%","±0.4","1.9%","±0.9","1.9%","±1.1","N","N","3.1%","±1.2","3.3%","±1.5","2.8%","±1.7"
"    $700 to $799","3.4%","±0.4","3.4%","±0.6","3.4%","±0.6","3.7%","±1.4","3.2%","±1.4","4.7%","±2.4","3.1%","±0.4","3.3%","±0.6","2.7%","±0.6","6.2%","±2.1","6.1%","±3.7","N","N","3.7%","±1.3","2.7%","±1.5","4.9%","±2.2"
"    $800 to $899","3.4%","±0.4","2.6%","±0.4","4.4%","±0.8","4.9%","±1.5","2.7%","±1.0","8.8%","±3.2","3.0%","±0.4","2.8%","±0.5","3.1%","±0.8","5.2%","±2.3","1.9%","±1.7","N","N","3.5%","±1.1","2.0%","±1.0","5.6%","±2.6"
"    $900 to $999","3.3%","±0.4","2.1%","±0.4","4.8%","±0.8","3.2%","±1.2","3.2%","±1.6","3.0%","±1.6","3.4%","±0.5","2.1%","±0.5","4.8%","±0.9","3.0%","±1.4","1.2%","±0.8","N","N","3.1%","±1.3","1.2%","±0.9","5.7%","±2.8"
"    $1,000 to $1,499","18.7%","±0.9","12.4%","±1.0","27.0%","±1.7","24.3%","±3.0","20.2%","±3.1","31.5%","±5.6","17.6%","±1.0","11.0%","±1.1","25.6%","±1.8","15.4%","±3.1","10.8%","±3.1","N","N","19.5%","±2.6","10.4%","±2.3","31.6%","±5.4"
"    $1,500 to $1,999","16.0%","±0.8","13.7%","±0.9","19.0%","±1.4","13.1%","±1.9","13.9%","±2.3","11.7%","±4.0","16.3%","±0.9","13.2%","±1.1","20.0%","±1.5","14.2%","±3.1","14.4%","±3.8","N","N","18.8%","±2.5","16.3%","±2.9","22.1%","±5.1"
"    $2,000 or more","32.1%","±1.0","37.5%","±1.5","25.0%","±1.2","12.6%","±2.3","15.9%","±2.9","6.8%","±3.1","37.5%","±1.2","42.6%","±1.8","31.5%","±1.6","27.9%","±3.8","37.1%","±5.0","N","N","26.4%","±2.6","39.5%","±3.3","9.2%","±3.0"
"    No cash rent","2.9%","±0.4","(X)","(X)","6.7%","±0.8","4.9%","±1.6","(X)","(X)","13.6%","±4.1","2.3%","±0.4","(X)","(X)","5.2%","±0.8","3.4%","±1.6","(X)","(X)","N","N","3.3%","±1.3","(X)","(X)","7.8%","±3.1"
"    Median (dollars)","1,489","±28","1,546","±49","1,448","±30","1,045","±60","1,000","±103","1,094","±69","1,649","±34","1,726","±67","1,602","±42","1,317","±108","1,551","±163","1,063","±131","1,419","±81","1,643","±88","1,238","±83"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $20,000","10.6%","±0.6","7.0%","±0.8","15.3%","±1.2","17.7%","±2.4","12.1%","±2.5","27.5%","±5.3","9.1%","±0.6","5.5%","±0.7","13.4%","±1.1","13.5%","±2.7","9.7%","±3.5","20.5%","±6.0","9.3%","±1.6","6.9%","±1.7","12.6%","±3.4"
"        Less than 20 percent","0.8%","±0.2","0.9%","±0.3","0.5%","±0.3","2.7%","±1.1","3.3%","±1.4","1.5%","±1.6","0.4%","±0.2","0.3%","±0.1","0.5%","±0.3","1.4%","±1.4","2.1%","±2.1","0.0%","±1.7","0.3%","±0.3","0.5%","±0.5","0.0%","±0.6"
"        20 to 29 percent","1.0%","±0.3","0.7%","±0.3","1.4%","±0.4","2.2%","±1.2","1.7%","±1.1","3.1%","±2.5","0.6%","±0.2","0.4%","±0.2","0.9%","±0.3","2.0%","±1.3","1.0%","±0.8","3.8%","±3.2","1.6%","±0.8","1.3%","±0.9","1.9%","±1.5"
"        30 percent or more","8.8%","±0.6","5.3%","±0.7","13.3%","±1.2","12.8%","±2.1","7.1%","±2.0","22.9%","±4.4","8.1%","±0.6","4.8%","±0.7","11.9%","±1.1","10.1%","±2.6","6.6%","±3.0","16.7%","±5.5","7.5%","±1.7","5.1%","±1.5","10.7%","±3.6"
"    $20,000 to $34,999","10.3%","±0.7","7.3%","±0.6","14.3%","±1.2","10.9%","±2.0","9.7%","±1.9","13.0%","±4.3","9.7%","±0.7","6.4%","±0.7","13.6%","±1.2","11.9%","±2.8","10.2%","±3.1","15.2%","±6.3","12.8%","±2.5","8.0%","±2.2","19.2%","±4.7"
"        Less than 20 percent","1.3%","±0.2","2.2%","±0.4","0.2%","±0.1","3.2%","±1.0","4.6%","±1.5","0.7%","±0.7","0.9%","±0.2","1.5%","±0.4","0.1%","±0.1","2.5%","±1.3","3.7%","±1.9","0.3%","±0.4","1.0%","±0.6","1.8%","±1.1","0.0%","±0.6"
"        20 to 29 percent","1.4%","±0.3","1.5%","±0.3","1.2%","±0.4","1.9%","±0.9","1.8%","±0.7","2.0%","±2.3","1.1%","±0.3","1.4%","±0.4","0.7%","±0.3","1.8%","±1.0","1.9%","±1.4","1.7%","±1.8","2.5%","±1.0","1.7%","±1.1","3.5%","±2.0"
"        30 percent or more","7.6%","±0.6","3.6%","±0.5","12.8%","±1.1","5.8%","±1.4","3.4%","±1.2","10.2%","±3.2","7.7%","±0.6","3.4%","±0.6","12.8%","±1.2","7.5%","±2.6","4.5%","±2.2","13.3%","±5.9","9.3%","±1.8","4.5%","±1.5","15.6%","±4.2"
"    $35,000 to $49,999","11.1%","±0.7","9.4%","±0.7","13.3%","±1.3","11.2%","±2.1","12.9%","±2.4","8.3%","±3.5","10.8%","±0.9","8.5%","±0.8","13.5%","±1.6","11.2%","±2.9","9.4%","±2.8","14.8%","±6.8","12.7%","±2.2","9.8%","±2.4","16.6%","±4.3"
"        Less than 20 percent","2.2%","±0.3","3.3%","±0.5","0.8%","±0.3","4.3%","±1.3","6.1%","±1.9","1.0%","±1.2","1.8%","±0.3","2.9%","±0.5","0.5%","±0.2","2.1%","±1.0","2.2%","±1.1","1.9%","±1.6","2.3%","±1.0","2.6%","±1.3","2.0%","±1.6"
"        20 to 29 percent","2.1%","±0.4","1.7%","±0.4","2.6%","±0.7","2.4%","±1.0","3.0%","±1.4","1.5%","±1.0","1.8%","±0.4","1.5%","±0.5","2.3%","±0.6","3.0%","±1.6","1.6%","±1.5","5.8%","±4.0","2.7%","±1.3","1.0%","±0.7","5.0%","±2.9"
"        30 percent or more","6.8%","±0.5","4.4%","±0.5","9.8%","±1.0","4.5%","±1.4","3.8%","±1.4","5.9%","±3.1","7.1%","±0.7","4.2%","±0.6","10.7%","±1.3","6.1%","±2.0","5.5%","±2.1","7.1%","±4.7","7.6%","±1.9","6.2%","±2.2","9.5%","±3.0"
"    $50,000 to $74,999","18.4%","±0.8","17.1%","±1.0","20.1%","±1.5","20.7%","±3.0","22.6%","±3.5","17.2%","±4.2","17.9%","±1.0","15.3%","±1.0","20.9%","±1.8","15.9%","±3.7","15.6%","±3.6","16.7%","±6.8","19.7%","±2.5","20.3%","±3.2","18.9%","±4.0"
"        Less than 20 percent","6.1%","±0.6","7.8%","±0.9","3.8%","±0.7","8.9%","±1.9","10.6%","±2.4","6.0%","±2.5","5.4%","±0.6","7.1%","±0.8","3.4%","±0.7","5.7%","±2.3","6.1%","±2.5","5.0%","±4.2","6.6%","±1.8","8.6%","±2.4","3.8%","±2.7"
"        20 to 29 percent","4.0%","±0.5","3.0%","±0.6","5.2%","±0.9","6.6%","±2.1","7.8%","±2.8","4.6%","±2.5","3.4%","±0.5","2.0%","±0.4","5.0%","±1.0","3.5%","±1.7","2.3%","±1.4","5.8%","±4.5","4.6%","±1.6","2.4%","±1.3","7.5%","±3.2"
"        30 percent or more","8.3%","±0.7","6.3%","±0.6","11.0%","±1.2","5.2%","±1.5","4.3%","±1.3","6.7%","±3.5","9.1%","±0.8","6.2%","±0.8","12.5%","±1.4","6.7%","±2.2","7.2%","±2.6","5.8%","±3.8","8.5%","±1.7","9.3%","±2.2","7.6%","±2.8"
"    $75,000 or more","45.2%","±1.0","58.0%","±1.1","28.6%","±1.6","31.6%","±3.2","39.4%","±3.7","17.7%","±4.4","49.1%","±1.2","63.7%","±1.4","31.6%","±2.0","42.3%","±4.3","53.1%","±4.7","22.0%","±6.0","41.0%","±3.3","53.8%","±3.6","24.1%","±5.0"
"        Less than 20 percent","22.6%","±0.9","30.2%","±1.2","12.6%","±1.3","19.1%","±2.6","24.2%","±3.2","10.0%","±3.3","23.7%","±1.0","32.5%","±1.5","13.1%","±1.4","23.5%","±4.0","30.1%","±5.2","11.1%","±4.2","20.3%","±2.9","26.3%","±3.4","12.4%","±4.1"
"        20 to 29 percent","14.2%","±0.8","17.1%","±1.0","10.4%","±1.3","10.2%","±2.0","12.1%","±2.6","6.7%","±3.1","15.3%","±0.9","18.7%","±1.2","11.3%","±1.5","10.8%","±2.7","11.3%","±3.5","9.9%","±4.6","13.9%","±2.6","17.8%","±3.5","8.8%","±3.5"
"        30 percent or more","8.5%","±0.6","10.6%","±0.8","5.7%","±0.7","2.3%","±0.9","3.1%","±1.1","1.0%","±1.1","10.1%","±0.7","12.5%","±1.1","7.2%","±1.0","8.0%","±2.4","11.7%","±3.7","0.9%","±1.6","6.7%","±1.7","9.7%","±2.4","2.9%","±2.1"
"    Zero or negative income","1.5%","±0.3","1.2%","±0.3","1.9%","±0.5","3.1%","±1.1","3.3%","±1.3","2.7%","±2.2","1.2%","±0.3","0.5%","±0.2","1.9%","±0.6","1.7%","±1.3","2.1%","±1.8","1.0%","±1.2","1.1%","±0.7","1.3%","±1.0","1.0%","±0.7"
"    No cash rent","2.9%","±0.4","(X)","(X)","6.7%","±0.8","4.9%","±1.6","(X)","(X)","13.6%","±4.1","2.3%","±0.4","(X)","(X)","5.2%","±0.8","3.4%","±1.6","(X)","(X)","9.9%","±4.5","3.3%","±1.3","(X)","(X)","7.8%","±3.1"
