"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error"
"Occupied housing units","455,868","±4,824","260,626","±4,898","195,242","±4,348","69,818","±1,668","46,942","±2,298","22,876","±2,231","309,169","±3,715","167,342","±3,450","141,827","±3,521","23,214","±1,021","14,616","±1,096","8,598","±1,129","53,612","±1,945","31,726","±1,776","21,886","±1,941"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $5,000","2.8%","±0.4","1.9%","±0.4","4.0%","±0.7","3.5%","±1.2","3.1%","±1.4","4.3%","±2.5","2.6%","±0.5","1.4%","±0.5","4.0%","±0.8","4.4%","±1.7","4.4%","±2.5","4.5%","±3.3","2.3%","±0.8","1.7%","±0.9","3.2%","±1.7"
"    $5,000 to $9,999","2.7%","±0.4","1.3%","±0.3","4.6%","±0.7","3.3%","±1.1","1.9%","±0.9","6.1%","±3.0","2.6%","±0.4","1.2%","±0.4","4.2%","±0.8","1.7%","±0.9","0.5%","±0.5","3.8%","±2.4","3.3%","±1.3","1.1%","±0.7","6.5%","±2.8"
"    $10,000 to $14,999","3.7%","±0.5","2.4%","±0.5","5.3%","±0.9","6.5%","±1.6","5.3%","±1.8","9.1%","±3.5","3.1%","±0.6","1.5%","±0.4","4.9%","±1.2","3.5%","±1.7","2.5%","±1.7","5.0%","±3.2","3.4%","±1.1","3.0%","±1.2","4.1%","±2.2"
"    $15,000 to $19,999","2.6%","±0.4","2.1%","±0.4","3.3%","±0.6","3.3%","±1.1","2.4%","±1.1","5.3%","±2.5","2.3%","±0.4","1.7%","±0.5","3.1%","±0.7","2.0%","±1.2","1.6%","±1.4","2.8%","±2.4","3.5%","±1.1","3.8%","±1.7","3.0%","±1.6"
"    $20,000 to $24,999","3.6%","±0.5","2.6%","±0.5","5.1%","±0.8","5.0%","±1.4","5.1%","±1.8","4.7%","±2.1","3.2%","±0.5","2.0%","±0.5","4.6%","±0.9","4.6%","±2.9","2.7%","±2.9","7.8%","±6.4","4.1%","±1.4","2.1%","±1.1","7.0%","±2.8"
"    $25,000 to $34,999","6.7%","±0.6","5.4%","±0.6","8.4%","±1.0","12.9%","±2.2","12.3%","±2.5","14.2%","±4.2","5.4%","±0.6","3.5%","±0.6","7.6%","±1.1","6.1%","±2.1","4.1%","±2.0","9.6%","±4.0","5.9%","±1.9","5.2%","±1.8","6.9%","±3.1"
"    $35,000 to $49,999","10.5%","±0.6","7.6%","±0.7","14.2%","±1.3","11.3%","±2.2","10.7%","±2.5","12.5%","±4.2","10.0%","±0.8","6.4%","±0.7","14.3%","±1.8","13.9%","±3.4","12.7%","±4.0","15.9%","±5.8","10.6%","±1.7","7.5%","±1.9","15.1%","±3.5"
"    $50,000 to $74,999","17.7%","±1.0","15.0%","±1.1","21.4%","±1.6","19.1%","±2.5","19.4%","±2.8","18.4%","±4.8","17.5%","±1.2","14.0%","±1.2","21.7%","±1.9","15.0%","±3.4","14.3%","±3.9","16.3%","±6.0","18.3%","±2.7","14.0%","±2.6","24.7%","±4.9"
"    $75,000 to $99,999","13.7%","±0.8","14.7%","±1.1","12.4%","±1.2","11.2%","±1.8","13.6%","±2.3","6.4%","±2.6","14.3%","±1.0","14.9%","±1.3","13.7%","±1.5","15.1%","±3.9","18.4%","±5.2","9.5%","±4.1","12.8%","±2.1","13.5%","±2.6","11.8%","±3.7"
"    $100,000 to $149,999","18.7%","±0.7","22.5%","±1.0","13.6%","±1.1","13.2%","±1.8","13.1%","±2.3","13.5%","±3.7","19.8%","±0.9","24.8%","±1.4","14.0%","±1.4","22.7%","±4.5","25.6%","±5.7","17.7%","±6.6","17.3%","±2.5","22.9%","±3.3","9.3%","±3.2"
