"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error"
"    $150,000 or more","17.3%","±0.7","24.6%","±0.9","7.6%","±1.1","10.7%","±2.0","13.3%","±2.5","5.5%","±3.8","19.1%","±0.8","28.6%","±1.3","7.8%","±1.1","10.9%","±2.7","13.2%","±3.9","7.0%","±3.2","18.4%","±2.5","25.2%","±3.3","8.5%","±3.8"
"    Median household income (dollars)","74,511","±1,776","93,712","±2,544","55,128","±2,040","55,750","±3,382","60,607","±3,208","42,840","±7,118","80,513","±1,671","106,292","±3,428","57,288","±2,387","71,344","±10,599","85,259","±4,566","50,493","±7,791","72,257","±4,699","95,219","±8,868","52,086","±3,827"
"MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $300","5.7%","±0.5","7.3%","±0.7","3.6%","±0.6","14.0%","±2.0","19.0%","±2.6","3.8%","±2.2","3.5%","±0.4","3.5%","±0.6","3.5%","±0.7","6.9%","±2.3","8.9%","±3.4","3.3%","±1.9","7.4%","±1.5","9.7%","±2.2","4.1%","±2.0"
"    $300 to $499","7.3%","±0.5","10.8%","±0.9","2.6%","±0.5","9.7%","±1.8","12.0%","±2.3","5.0%","±2.5","6.2%","±0.6","9.9%","±0.9","1.8%","±0.4","12.1%","±3.1","17.0%","±4.8","3.6%","±2.8","8.6%","±2.0","11.1%","±2.6","5.0%","±2.6"
"    $500 to $799","10.0%","±0.6","12.7%","±0.9","6.5%","±0.8","11.9%","±2.2","11.4%","±2.3","12.7%","±4.1","9.5%","±0.7","13.2%","±1.0","5.2%","±0.8","10.1%","±2.3","10.3%","±3.3","9.7%","±3.4","10.4%","±1.8","12.4%","±2.6","7.5%","±2.4"
"    $800 to $999","6.0%","±0.5","5.3%","±0.5","7.0%","±0.8","8.7%","±1.8","7.9%","±2.1","10.3%","±3.2","5.3%","±0.5","4.6%","±0.6","6.2%","±0.9","7.3%","±2.2","8.1%","±3.1","5.9%","±3.6","6.0%","±1.5","3.9%","±1.4","9.1%","±3.0"
"    $1,000 to $1,499","19.0%","±0.9","12.1%","±1.0","28.2%","±1.5","22.9%","±2.7","18.9%","±3.5","31.0%","±5.3","17.7%","±1.1","10.1%","±1.0","26.8%","±1.7","18.8%","±3.8","13.7%","±3.7","27.5%","±7.6","21.0%","±3.2","11.4%","±2.5","34.9%","±5.9"
"    $1,500 to $1,999","14.8%","±0.8","12.6%","±1.0","17.8%","±1.5","13.4%","±2.2","12.5%","±2.8","15.2%","±4.3","14.9%","±0.9","12.7%","±1.1","17.4%","±1.6","15.2%","±3.4","10.9%","±3.0","22.6%","±7.3","16.2%","±2.4","13.1%","±2.8","20.8%","±4.1"
"    $2,000 to $2,499","11.9%","±0.7","12.7%","±1.0","10.7%","±1.1","6.6%","±1.4","7.1%","±1.7","5.8%","±3.1","12.9%","±0.9","13.7%","±1.2","11.9%","±1.4","12.9%","±3.2","15.4%","±4.4","8.8%","±4.3","12.4%","±2.3","14.6%","±2.9","9.1%","±3.5"
"    $2,500 to $2,999","9.0%","±0.7","9.3%","±0.8","8.5%","±1.0","5.2%","±1.6","5.9%","±1.9","3.8%","±2.8","10.5%","±0.8","10.6%","±1.0","10.5%","±1.2","3.9%","±1.7","4.5%","±2.3","2.9%","±2.4","7.1%","±1.8","10.2%","±2.5","2.7%","±1.9"
"    $3,000 or more","13.7%","±0.7","17.2%","±1.0","9.1%","±1.0","3.6%","±1.0","5.4%","±1.5","0.0%","±0.6","17.3%","±0.9","21.7%","±1.3","12.0%","±1.4","8.1%","±2.4","11.1%","±3.7","2.8%","±2.1","8.8%","±1.8","13.6%","±2.8","1.8%","±1.1"
"    No cash rent","2.6%","±0.3","(X)","(X)","6.0%","±0.8","4.1%","±1.3","(X)","(X)","12.4%","±3.9","2.2%","±0.3","(X)","(X)","4.8%","±0.7","4.7%","±2.6","(X)","(X)","12.7%","±6.7","2.0%","±0.9","(X)","(X)","4.9%","±2.1"
"    Median (dollars)","1,522","±30","1,577","±47","1,483","±28","1,077","±54","990","±101","1,170","±78","1,730","±35","1,860","±47","1,621","±47","1,295","±113","1,184","±204","1,388","±134","1,369","±90","1,550","±124","1,254","±77"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $20,000","10.0%","±0.8","6.8%","±0.8","14.2%","±1.3","13.6%","±2.1","11.6%","±2.3","17.7%","±4.4","9.0%","±0.9","5.1%","±0.8","13.6%","±1.6","10.0%","±2.8","8.1%","±3.2","13.2%","±5.4","11.0%","±2.2","8.2%","±2.4","14.9%","±4.0"
"        Less than 20 percent","0.8%","±0.2","1.0%","±0.3","0.6%","±0.3","2.5%","±0.8","2.8%","±1.0","1.8%","±1.8","0.3%","±0.1","0.3%","±0.2","0.4%","±0.2","0.5%","±0.4","0.5%","±0.5","0.4%","±0.6","1.3%","±0.7","2.0%","±1.2","0.4%","±0.6"
"        20 to 29 percent","1.2%","±0.3","0.7%","±0.2","1.8%","±0.5","1.0%","±0.4","0.8%","±0.4","1.4%","±1.0","1.1%","±0.3","0.6%","±0.3","1.8%","±0.6","1.5%","±1.0","1.4%","±1.4","1.6%","±1.4","1.7%","±0.7","0.9%","±0.7","2.9%","±1.7"
"        30 percent or more","8.0%","±0.7","5.1%","±0.7","11.8%","±1.2","10.1%","±1.8","8.0%","±2.3","14.5%","±3.6","7.5%","±0.8","4.2%","±0.7","11.4%","±1.5","8.0%","±2.4","6.1%","±2.8","11.2%","±5.0","8.0%","±1.7","5.4%","±1.7","11.7%","±3.5"
"    $20,000 to $34,999","9.9%","±0.8","7.9%","±0.9","12.5%","±1.2","17.5%","±2.7","17.4%","±3.1","17.7%","±4.5","8.4%","±0.8","5.5%","±0.8","11.7%","±1.4","8.8%","±2.7","6.8%","±3.5","12.3%","±4.6","9.4%","±2.3","7.4%","±1.9","12.4%","±4.1"
"        Less than 20 percent","1.7%","±0.3","2.6%","±0.5","0.5%","±0.2","5.3%","±1.3","7.7%","±1.8","0.4%","±0.5","0.9%","±0.3","1.2%","±0.4","0.5%","±0.3","1.9%","±1.8","2.3%","±2.7","1.3%","±1.1","1.8%","±0.9","2.7%","±1.5","0.4%","±0.5"
"        20 to 29 percent","0.9%","±0.2","1.1%","±0.3","0.7%","±0.3","2.0%","±0.9","1.5%","±0.8","3.0%","±2.2","0.7%","±0.2","1.0%","±0.3","0.4%","±0.2","1.0%","±0.7","1.2%","±1.0","0.8%","±0.7","0.7%","±0.5","0.6%","±0.5","0.9%","±0.9"
"        30 percent or more","7.3%","±0.7","4.3%","±0.7","11.3%","±1.2","10.2%","±2.3","8.2%","±2.5","14.3%","±4.1","6.8%","±0.8","3.3%","±0.7","10.9%","±1.4","5.9%","±2.0","3.3%","±1.9","10.3%","±4.4","6.9%","±2.0","4.0%","±1.5","11.2%","±4.0"
"    $35,000 to $49,999","10.1%","±0.6","7.6%","±0.7","13.5%","±1.3","10.8%","±2.2","10.7%","±2.5","11.0%","±4.0","9.8%","±0.9","6.4%","±0.7","13.7%","±1.8","13.6%","±3.4","12.7%","±4.0","15.2%","±5.8","10.1%","±1.6","7.5%","±1.9","13.8%","±3.3"
"        Less than 20 percent","1.8%","±0.2","2.7%","±0.4","0.7%","±0.3","4.0%","±1.3","5.0%","±1.8","2.2%","±1.7","1.3%","±0.2","2.0%","±0.4","0.4%","±0.2","3.8%","±1.7","5.3%","±2.6","1.4%","±1.6","1.4%","±0.7","2.0%","±1.0","0.6%","±0.6"
"        20 to 29 percent","1.7%","±0.3","1.3%","±0.3","2.1%","±0.5","1.6%","±0.8","1.0%","±0.6","2.8%","±2.1","1.6%","±0.4","1.3%","±0.4","1.9%","±0.6","1.2%","±0.9","0.9%","±1.1","1.8%","±1.4","2.4%","±1.0","2.0%","±1.1","3.0%","±1.7"
"        30 percent or more","6.6%","±0.5","3.6%","±0.5","10.7%","±1.3","5.2%","±1.5","4.7%","±1.6","6.0%","±3.2","6.9%","±0.8","3.1%","±0.5","11.4%","±1.8","8.6%","±2.9","6.6%","±3.3","12.0%","±5.5","6.3%","±1.4","3.5%","±1.4","10.3%","±2.9"
"    $50,000 to $74,999","17.3%","±1.0","15.0%","±1.1","20.4%","±1.6","18.9%","±2.5","19.4%","±2.8","17.9%","±4.8","17.1%","±1.2","14.0%","±1.2","20.7%","±1.9","14.2%","±3.3","14.3%","±3.9","14.0%","±5.7","18.1%","±2.7","14.0%","±2.6","24.0%","±4.9"
"        Less than 20 percent","5.0%","±0.5","6.2%","±0.6","3.3%","±0.6","7.0%","±1.4","8.1%","±1.6","4.6%","±2.5","4.2%","±0.5","5.6%","±0.7","2.4%","±0.6","4.1%","±1.9","5.4%","±2.7","1.9%","±1.8","7.4%","±1.8","6.9%","±2.2","8.2%","±3.3"
"        20 to 29 percent","4.3%","±0.5","2.8%","±0.6","6.2%","±0.8","6.1%","±1.8","5.8%","±2.3","6.6%","±3.0","3.9%","±0.5","2.0%","±0.4","6.2%","±1.0","4.0%","±1.9","4.9%","±2.6","2.5%","±2.5","4.2%","±1.3","1.8%","±0.8","7.7%","±2.7"
"        30 percent or more","8.0%","±0.7","5.9%","±0.7","10.9%","±1.2","5.9%","±1.6","5.4%","±1.7","6.7%","±3.3","9.0%","±0.9","6.3%","±0.8","12.1%","±1.5","6.1%","±2.3","4.0%","±1.7","9.6%","±5.2","6.5%","±1.7","5.3%","±1.8","8.1%","±2.6"
"    $75,000 or more","49.0%","±1.0","61.8%","±1.2","31.9%","±1.8","33.8%","±2.9","39.9%","±4.0","21.2%","±5.2","52.6%","±1.2","68.4%","±1.2","34.0%","±2.1","48.1%","±4.7","57.2%","±6.4","32.7%","±7.4","48.3%","±3.2","61.5%","±3.6","29.1%","±5.3"
"        Less than 20 percent","27.3%","±0.9","36.1%","±1.3","15.4%","±1.3","24.7%","±2.8","29.1%","±3.7","15.6%","±4.6","26.9%","±0.9","37.6%","±1.4","14.3%","±1.5","29.6%","±3.9","34.0%","±5.6","22.3%","±6.7","31.8%","±3.0","40.1%","±3.9","19.7%","±4.4"
"        20 to 29 percent","13.1%","±0.7","15.7%","±1.0","9.7%","±1.2","6.8%","±1.7","7.7%","±2.3","5.0%","±3.0","15.1%","±0.9","18.6%","±1.2","11.0%","±1.4","11.8%","±2.9","13.9%","±4.2","8.2%","±4.8","10.4%","±1.8","13.1%","±2.6","6.3%","±3.0"
"        30 percent or more","8.6%","±0.6","10.0%","±0.7","6.8%","±0.9","2.4%","±0.9","3.2%","±1.2","0.7%","±0.9","10.6%","±0.8","12.2%","±1.0","8.7%","±1.2","6.7%","±3.0","9.4%","±4.5","2.2%","±1.8","6.1%","±1.5","8.2%","±2.1","3.1%","±1.8"
"    Zero or negative income","1.1%","±0.3","0.9%","±0.3","1.4%","±0.5","1.4%","±0.8","1.1%","±0.7","2.1%","±2.1","1.1%","±0.3","0.7%","±0.4","1.5%","±0.6","0.6%","±0.5","0.9%","±0.8","0.0%","±1.6","1.2%","±0.5","1.4%","±0.8","0.8%","±0.8"
"    No cash rent","2.6%","±0.3","(X)","(X)","6.0%","±0.8","4.1%","±1.3","(X)","(X)","12.4%","±3.9","2.2%","±0.3","(X)","(X)","4.8%","±0.7","4.7%","±2.6","(X)","(X)","12.7%","±6.7","2.0%","±0.9","(X)","(X)","4.9%","±2.1"
