"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate"
"    $150,000 or more","10.9%","15.4%","4.7%","5.8%","7.2%","3.5%","12.3%","17.8%","5.2%","8.8%","12.0%","3.0%","9.7%","13.9%","3.4%"
"    Median household income (dollars)","63,030","80,272","44,857","47,100","55,761","31,294","68,537","86,435","47,898","55,246","64,344","39,288","60,617","77,747","42,239"
"MONTHLY HOUSING COSTS","","","","","","","","","","","","","","",""
"    Less than $100","0.3%","0.5%","0.2%","1.3%","1.6%","0.7%","0.2%","0.3%","0.1%","0.1%","0.2%","0.0%","0.3%","0.5%","0.0%"
"    $100 to $199","1.9%","2.1%","1.7%","4.8%","6.3%","2.2%","1.3%","1.2%","1.4%","2.9%","1.6%","5.2%","1.8%","2.0%","1.6%"
"    $200 to $299","3.0%","4.0%","1.8%","8.1%","10.5%","3.9%","1.9%","2.2%","1.6%","3.8%","5.5%","0.8%","3.3%","4.7%","1.2%"
"    $300 to $399","3.9%","5.7%","1.5%","5.2%","7.2%","1.6%","3.5%","5.3%","1.1%","5.7%","6.8%","3.8%","4.1%","5.0%","2.8%"
"    $400 to $499","4.2%","5.9%","1.9%","4.8%","5.4%","3.9%","4.4%","6.5%","1.8%","4.2%","5.2%","2.4%","2.2%","3.6%","0.3%"
"    $500 to $599","4.5%","5.8%","2.7%","4.1%","4.9%","2.6%","4.8%","6.4%","2.6%","4.5%","4.8%","3.9%","3.4%","4.0%","2.4%"
"    $600 to $699","3.8%","4.0%","3.5%","4.4%","2.6%","7.6%","4.0%","4.7%","3.0%","3.0%","3.4%","2.1%","2.3%","2.3%","2.2%"
"    $700 to $799","3.2%","2.4%","4.2%","3.9%","2.7%","6.0%","2.9%","2.5%","3.4%","4.7%","2.7%","8.2%","3.0%","1.0%","6.0%"
"    $800 to $899","3.6%","2.4%","5.3%","5.0%","2.0%","10.4%","3.2%","2.3%","4.5%","3.6%","3.2%","4.3%","4.5%","3.5%","5.8%"
"    $900 to $999","4.1%","2.3%","6.6%","5.0%","3.1%","8.5%","3.8%","2.0%","6.1%","5.4%","2.5%","10.7%","4.3%","2.7%","6.6%"
"    $1,000 to $1,499","18.4%","11.6%","27.7%","18.2%","14.9%","24.0%","18.8%","11.3%","28.5%","18.6%","13.3%","27.9%","15.9%","8.7%","26.4%"
"    $1,500 to $1,999","15.5%","13.5%","18.3%","16.0%","16.7%","14.7%","15.3%","12.9%","18.5%","13.2%","11.6%","16.2%","17.0%","13.5%","22.2%"
"    $2,000 or more","30.6%","39.8%","18.0%","15.6%","22.1%","3.9%","33.4%","42.4%","21.8%","27.7%","39.1%","7.7%","33.8%","48.6%","12.2%"
"    No cash rent","2.8%","(X)","6.7%","3.7%","(X)","10.2%","2.4%","(X)","5.5%","2.5%","(X)","6.9%","4.2%","(X)","10.4%"
"    Median (dollars)","1,432","1,618","1,291","1,044","1,151","972","1,497","1,703","1,363","1,301","1,534","1,096","1,575","1,945","1,287"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","",""
"    Less than $20,000","11.4%","7.0%","17.6%","18.7%","13.3%","28.4%","10.1%","5.6%","15.9%","12.3%","10.4%","15.6%","10.2%","5.0%","17.7%"
"        Less than 20 percent","0.8%","1.0%","0.6%","2.3%","3.2%","0.9%","0.5%","0.5%","0.5%","1.0%","0.7%","1.4%","0.5%","0.8%","0.2%"
"        20 to 29 percent","1.1%","0.8%","1.5%","1.8%","1.2%","2.8%","1.0%","0.8%","1.3%","1.0%","1.1%","0.8%","0.7%","0.1%","1.4%"
"        30 percent or more","9.6%","5.2%","15.6%","14.6%","9.0%","24.7%","8.6%","4.3%","14.1%","10.4%","8.6%","13.4%","9.0%","4.1%","16.1%"
"    $20,000 to $34,999","12.2%","9.2%","16.3%","15.1%","14.9%","15.4%","11.4%","7.4%","16.5%","13.4%","11.4%","16.9%","13.0%","11.3%","15.5%"
"        Less than 20 percent","2.1%","3.1%","0.8%","4.3%","6.3%","0.7%","1.5%","2.1%","0.8%","3.8%","5.3%","1.2%","2.1%","3.1%","0.7%"
"        20 to 29 percent","1.2%","1.0%","1.5%","1.6%","1.3%","2.2%","1.1%","1.1%","1.2%","1.6%","0.2%","4.0%","0.7%","0.3%","1.4%"
"        30 percent or more","8.9%","5.2%","14.0%","9.2%","7.3%","12.5%","8.7%","4.2%","14.5%","7.9%","5.9%","11.6%","10.2%","7.9%","13.5%"
"    $35,000 to $49,999","12.5%","10.8%","14.9%","13.5%","14.6%","11.7%","11.9%","9.9%","14.4%","14.8%","10.0%","23.2%","14.1%","10.8%","18.8%"
"        Less than 20 percent","2.9%","4.2%","1.2%","4.5%","6.1%","1.6%","2.6%","3.9%","0.9%","2.0%","2.6%","0.9%","3.7%","4.4%","2.7%"
"        20 to 29 percent","2.1%","1.0%","3.7%","1.8%","1.4%","2.6%","2.1%","1.1%","3.5%","3.4%","0.7%","8.0%","1.8%","0.1%","4.2%"
"        30 percent or more","7.5%","5.6%","10.1%","7.2%","7.1%","7.5%","7.2%","5.0%","10.0%","9.4%","6.7%","14.3%","8.6%","6.3%","11.9%"
"    $50,000 to $74,999","18.0%","18.5%","17.4%","17.8%","19.3%","15.1%","17.6%","17.3%","17.9%","23.5%","25.6%","19.7%","18.7%","20.6%","15.9%"
"        Less than 20 percent","5.1%","6.3%","3.4%","6.4%","7.0%","5.3%","4.8%","6.2%","3.0%","8.9%","8.7%","9.4%","3.5%","5.0%","1.2%"
"        20 to 29 percent","4.2%","3.0%","5.8%","4.2%","3.1%","6.0%","4.0%","2.7%","5.6%","6.0%","7.5%","3.3%","4.5%","2.5%","7.4%"
"        30 percent or more","8.7%","9.1%","8.3%","7.2%","9.2%","3.8%","8.7%","8.3%","9.2%","8.6%","9.5%","7.0%","10.7%","13.0%","7.3%"
"    $75,000 or more","41.6%","53.6%","25.1%","28.9%","36.0%","16.3%","45.3%","58.9%","27.8%","32.3%","42.2%","14.9%","39.0%","51.5%","20.8%"
"        Less than 20 percent","21.2%","26.9%","13.4%","17.4%","20.8%","11.2%","22.9%","29.5%","14.6%","16.0%","20.1%","8.9%","17.7%","23.3%","9.5%"
"        20 to 29 percent","11.6%","14.0%","8.4%","7.4%","9.1%","4.3%","12.5%","15.3%","9.0%","9.0%","11.3%","5.1%","12.6%","14.4%","9.8%"
"        30 percent or more","8.8%","12.7%","3.4%","4.1%","6.1%","0.7%","9.8%","14.2%","4.3%","7.2%","10.8%","0.8%","8.8%","13.8%","1.4%"
"    Zero or negative income","1.4%","1.0%","2.0%","2.3%","1.9%","2.9%","1.3%","0.9%","1.9%","1.3%","0.4%","2.8%","0.9%","0.8%","0.9%"
"    No cash rent","2.8%","(X)","6.7%","3.7%","(X)","10.2%","2.4%","(X)","5.5%","2.5%","(X)","6.9%","4.2%","(X)","10.4%"
"PERCENT IMPUTED","","","","","","","","","","","","","","",""
"    Tenure","1.1%","(X)","(X)","2.1%","(X)","(X)","1.1%","(X)","(X)","0.3%","(X)","(X)","0.6%","(X)","(X)"
"    Monthly housing costs","(X)","31.6%","(X)","(X)","31.3%","(X)","(X)","31.9%","(X)","(X)","36.3%","(X)","(X)","28.0%","(X)"
"    Gross rent","(X)","(X)","16.6%","(X)","(X)","21.2%","(X)","(X)","15.9%","(X)","(X)","18.1%","(X)","(X)","15.4%"
