"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate"
"Occupied housing units","445,812","258,533","187,279","62,584","40,125","22,459","309,154","173,487","135,667","22,147","14,112","8,035","51,893","30,809","21,084"
"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","",""
"    Less than $5,000","3.2%","2.0%","4.9%","5.1%","3.6%","7.9%","3.0%","1.6%","4.7%","3.9%","2.6%","6.2%","2.1%","1.5%","2.9%"
"    $5,000 to $9,999","3.0%","1.3%","5.3%","5.5%","3.6%","8.8%","2.6%","0.9%","4.6%","3.2%","2.3%","4.8%","2.5%","0.1%","6.0%"
"    $10,000 to $14,999","3.8%","2.0%","6.3%","6.6%","4.1%","10.9%","3.2%","1.4%","5.4%","4.0%","3.4%","5.1%","4.1%","1.6%","7.9%"
"    $15,000 to $19,999","3.7%","2.7%","5.0%","5.1%","3.9%","7.2%","3.3%","2.5%","4.4%","3.7%","2.6%","5.6%","4.2%","2.7%","6.4%"
"    $20,000 to $24,999","4.8%","3.5%","6.6%","7.7%","7.2%","8.7%","4.2%","2.7%","6.1%","6.0%","5.7%","6.6%","4.4%","2.1%","7.7%"
"    $25,000 to $34,999","8.1%","5.8%","11.3%","8.3%","7.8%","9.2%","7.8%","4.7%","11.7%","7.9%","5.6%","12.0%","9.9%","9.2%","11.1%"
"    $35,000 to $49,999","12.8%","10.8%","15.7%","13.9%","14.6%","12.6%","12.3%","9.9%","15.3%","14.8%","10.0%","23.2%","14.1%","10.8%","18.8%"
"    $50,000 to $74,999","18.4%","18.5%","18.3%","18.6%","19.3%","17.4%","17.9%","17.3%","18.7%","23.6%","25.6%","20.0%","18.9%","20.6%","16.6%"
"    $75,000 to $99,999","14.4%","15.7%","12.6%","12.6%","15.3%","7.6%","15.0%","15.9%","13.9%","12.3%","15.1%","7.2%","14.3%","15.7%","12.1%"
"    $100,000 to $149,999","16.9%","22.5%","9.1%","10.9%","13.5%","6.2%","18.6%","25.3%","10.1%","11.9%","15.1%","6.3%","15.9%","21.8%","7.2%"
