"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate"
"    $500 to $799","42,198","9.2%","32,677","12.2%","9,521","5.0%","8,293","12.0%","5,153","11.1%","3,140","13.9%","28,153","9.0%","23,038","13.1%","5,115","3.8%","2,431","10.6%","2,004","14.1%","N","N","3,309","6.2%","2,482","7.9%","827","3.7%"
"    $800 to $999","26,620","5.8%","12,953","4.8%","13,667","7.2%","5,274","7.7%","2,057","4.4%","3,217","14.3%","17,698","5.7%","9,587","5.4%","8,111","5.9%","1,196","5.2%","513","3.6%","N","N","2,452","4.6%","796","2.5%","1,656","7.4%"
"    $1,000 to $1,499","78,123","17.1%","31,196","11.6%","46,927","24.7%","13,615","19.8%","7,755","16.7%","5,860","26.0%","50,078","16.0%","18,608","10.6%","31,470","23.1%","4,297","18.7%","1,588","11.2%","N","N","10,133","18.9%","3,245","10.4%","6,888","31.0%"
"    $1,500 to $1,999","70,771","15.4%","33,687","12.6%","37,084","19.5%","9,849","14.3%","6,466","14.0%","3,383","15.0%","47,643","15.2%","21,112","12.0%","26,531","19.5%","4,010","17.4%","2,142","15.1%","N","N","9,269","17.3%","3,967","12.7%","5,302","23.8%"
"    $2,000 to $2,499","53,115","11.6%","30,725","11.5%","22,390","11.8%","4,514","6.6%","3,096","6.7%","1,418","6.3%","38,869","12.4%","21,069","12.0%","17,800","13.1%","2,507","10.9%","1,485","10.5%","N","N","7,225","13.5%","5,075","16.2%","2,150","9.7%"
"    $2,500 to $2,999","40,906","8.9%","26,133","9.7%","14,773","7.8%","2,552","3.7%","2,196","4.7%","356","1.6%","33,069","10.6%","20,025","11.4%","13,044","9.6%","1,674","7.3%","1,285","9.1%","N","N","3,611","6.7%","2,627","8.4%","984","4.4%"
"    $3,000 or more","70,448","15.4%","50,530","18.8%","19,918","10.5%","3,262","4.7%","3,183","6.9%","79","0.4%","57,665","18.4%","38,685","21.9%","18,980","13.9%","1,965","8.6%","1,706","12.0%","N","N","7,556","14.1%","6,956","22.2%","600","2.7%"
"    No cash rent","12,488","2.7%","(X)","(X)","12,488","6.6%","3,180","4.6%","(X)","(X)","3,180","14.1%","6,125","2.0%","(X)","(X)","6,125","4.5%","970","4.2%","(X)","(X)","N","N","2,169","4.0%","(X)","(X)","2,169","9.7%"
"    Median (dollars)","1,585","1,585","1,608","1,608","1,573","1,573","1,035","1,035","961","961","1,107","1,107","1,749","1,749","1,816","1,816","1,712","1,712","1,383","1,383","1,328","1,328","1,416","1,416","1,594","1,594","1,867","1,867","1,421","1,421"
"MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
