"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Margin of Error"
"    $75,000 to $99,999","67,589","±4,127","14.8%","±0.9","37,802","±2,841","14.1%","±1.0","29,787","±2,714","15.7%","±1.5","9,790","±1,481","14.2%","±2.1","7,501","±1,271","16.2%","±2.7","2,289","±770","10.1%","±3.4","45,378","±3,014","14.5%","±0.9","23,524","±2,125","13.3%","±1.2","21,854","±2,146","16.0%","±1.6","3,572","±827","15.5%","±3.6","2,222","±688","15.7%","±4.7","1,350","±599","15.3%","±6.0","8,849","±1,684","16.5%","±3.0","4,555","±1,031","14.5%","±3.0","4,294","±1,101","19.3%","±5.0"
"    $100,000 to $149,999","85,330","±3,948","18.6%","±0.8","59,739","±3,349","22.3%","±1.2","25,591","±2,208","13.5%","±1.1","10,620","±1,637","15.4%","±2.3","7,878","±1,325","17.0%","±2.7","2,742","±788","12.2%","±3.3","59,250","±3,110","19.0%","±1.0","39,905","±2,546","22.6%","±1.4","19,345","±2,019","14.2%","±1.4","6,076","±950","26.4%","±3.9","4,482","±876","31.6%","±5.8","1,594","±578","18.1%","±5.9","9,384","±1,267","17.5%","±2.4","7,474","±1,199","23.9%","±3.6","1,910","±694","8.6%","±3.0"
"    $150,000 or more","84,369","±3,440","18.4%","±0.7","69,231","±3,061","25.8%","±1.1","15,138","±1,865","8.0%","±1.0","6,527","±1,145","9.5%","±1.7","5,824","±1,057","12.6%","±2.3","703","±403","3.1%","±1.8","64,716","±2,938","20.7%","±0.9","52,517","±2,503","29.8%","±1.4","12,199","±1,668","8.9%","±1.2","3,048","±720","13.3%","±3.1","2,390","±633","16.8%","±4.3","658","±364","7.5%","±4.2","10,078","±1,414","18.8%","±2.6","8,500","±1,248","27.2%","±3.7","1,578","±651","7.1%","±2.9"
"    Median household income (dollars)","77,765","±1,795","77,765","±1,795","96,592","±2,609","96,592","±2,609","55,323","±2,457","55,323","±2,457","57,545","±4,124","57,545","±4,124","68,798","±5,176","68,798","±5,176","45,426","±4,091","45,426","±4,091","81,284","±1,533","81,284","±1,533","104,689","±3,761","104,689","±3,761","58,620","±3,621","58,620","±3,621","83,860","±7,083","83,860","±7,083","98,649","±6,197","98,649","±6,197","59,398","±13,222","59,398","±13,222","80,241","±4,971","80,241","±4,971","101,324","±6,885","101,324","±6,885","51,643","±7,281","51,643","±7,281"
"MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than $300","29,207","±2,712","6.4%","±0.6","21,927","±2,354","8.2%","±0.8","7,280","±1,291","3.8%","±0.7","11,498","±1,645","16.7%","±2.4","10,511","±1,632","22.7%","±3.4","987","±521","4.4%","±2.3","12,510","±1,562","4.0%","±0.5","7,368","±1,110","4.2%","±0.6","5,142","±1,012","3.8%","±0.7","1,264","±488","5.5%","±2.1","1,156","±484","8.2%","±3.3","N","N","N","N","3,935","±955","7.3%","±1.8","2,892","±798","9.2%","±2.5","1,043","±498","4.7%","±2.2"
"    $300 to $499","34,202","±2,418","7.5%","±0.5","28,250","±2,369","10.5%","±0.9","5,952","±1,289","3.1%","±0.7","6,820","±1,253","9.9%","±1.8","5,884","±1,161","12.7%","±2.4","936","±635","4.1%","±2.8","20,815","±1,692","6.7%","±0.5","16,795","±1,565","9.5%","±0.9","4,020","±1,004","2.9%","±0.7","2,666","±705","11.6%","±3.1","2,305","±709","16.3%","±4.7","N","N","N","N","3,901","±888","7.3%","±1.7","3,266","±867","10.4%","±2.7","635","±366","2.9%","±1.6"
"    $500 to $799","42,198","±2,711","9.2%","±0.6","32,677","±2,563","12.2%","±1.0","9,521","±1,416","5.0%","±0.7","8,293","±1,565","12.0%","±2.2","5,153","±1,378","11.1%","±2.9","3,140","±727","13.9%","±3.0","28,153","±2,131","9.0%","±0.7","23,038","±1,966","13.1%","±1.1","5,115","±1,046","3.8%","±0.7","2,431","±661","10.6%","±2.9","2,004","±568","14.1%","±4.0","N","N","N","N","3,309","±700","6.2%","±1.3","2,482","±536","7.9%","±1.6","827","±433","3.7%","±2.0"
"    $800 to $999","26,620","±2,474","5.8%","±0.5","12,953","±1,432","4.8%","±0.5","13,667","±1,926","7.2%","±1.0","5,274","±1,031","7.7%","±1.5","2,057","±584","4.4%","±1.2","3,217","±973","14.3%","±4.4","17,698","±2,034","5.7%","±0.6","9,587","±1,289","5.4%","±0.7","8,111","±1,536","5.9%","±1.1","1,196","±479","5.2%","±2.0","513","±293","3.6%","±2.0","N","N","N","N","2,452","±730","4.6%","±1.4","796","±345","2.5%","±1.1","1,656","±619","7.4%","±2.8"
"    $1,000 to $1,499","78,123","±3,815","17.1%","±0.8","31,196","±2,532","11.6%","±0.9","46,927","±2,851","24.7%","±1.5","13,615","±1,907","19.8%","±2.6","7,755","±1,289","16.7%","±2.6","5,860","±1,375","26.0%","±5.5","50,078","±2,907","16.0%","±0.9","18,608","±1,686","10.6%","±0.9","31,470","±2,586","23.1%","±1.8","4,297","±825","18.7%","±3.5","1,588","±419","11.2%","±3.0","N","N","N","N","10,133","±1,665","18.9%","±3.0","3,245","±761","10.4%","±2.4","6,888","±1,443","31.0%","±5.3"
