"Label (Grouping)","Hawaii!!Occupied housing units!!Estimate","Hawaii!!Occupied housing units!!Margin of Error","Hawaii!!Percent occupied housing units!!Estimate","Hawaii!!Percent occupied housing units!!Margin of Error","Hawaii!!Owner-occupied housing units!!Estimate","Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii!!Percent owner-occupied housing units!!Margin of Error","Hawaii!!Renter-occupied housing units!!Estimate","Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii!!Percent renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Occupied housing units!!Estimate","Hawaii County, Hawaii!!Occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Percent occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Renter-occupied housing units!!Margin of Error","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Estimate","Hawaii County, Hawaii!!Percent renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Occupied housing units!!Estimate","Honolulu County, Hawaii!!Occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Percent occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Renter-occupied housing units!!Margin of Error","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Estimate","Honolulu County, Hawaii!!Percent renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Occupied housing units!!Estimate","Kauai County, Hawaii!!Occupied housing units!!Margin of Error","Kauai County, Hawaii!!Percent occupied housing units!!Estimate","Kauai County, Hawaii!!Percent occupied housing units!!Margin of Error","Kauai County, Hawaii!!Owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Percent owner-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Renter-occupied housing units!!Margin of Error","Kauai County, Hawaii!!Percent renter-occupied housing units!!Estimate","Kauai County, Hawaii!!Percent renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Occupied housing units!!Estimate","Maui County, Hawaii!!Occupied housing units!!Margin of Error","Maui County, Hawaii!!Percent occupied housing units!!Estimate","Maui County, Hawaii!!Percent occupied housing units!!Margin of Error","Maui County, Hawaii!!Owner-occupied housing units!!Estimate","Maui County, Hawaii!!Owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Percent owner-occupied housing units!!Estimate","Maui County, Hawaii!!Percent owner-occupied housing units!!Margin of Error","Maui County, Hawaii!!Renter-occupied housing units!!Estimate","Maui County, Hawaii!!Renter-occupied housing units!!Margin of Error","Maui County, Hawaii!!Percent renter-occupied housing units!!Estimate","Maui County, Hawaii!!Percent renter-occupied housing units!!Margin of Error"
"        30 percent or more","38,591","±2,967","8.4%","±0.6","13,516","±1,849","5.0%","±0.7","25,075","±2,557","13.2%","±1.3","7,782","±1,436","11.3%","±2.0","3,618","±1,079","7.8%","±2.2","4,164","±1,043","18.5%","±4.1","24,415","±2,286","7.8%","±0.7","7,269","±1,142","4.1%","±0.6","17,146","±2,047","12.6%","±1.5","1,953","±605","8.5%","±2.6","1,090","±448","7.7%","±3.1","863","±363","9.8%","±4.1","4,441","±990","8.3%","±1.8","1,539","±542","4.9%","±1.7","2,902","±800","13.0%","±3.4"
"    $20,000 to $34,999","41,004","±2,829","9.0%","±0.6","18,215","±1,900","6.8%","±0.7","22,789","±2,587","12.0%","±1.3","7,794","±1,280","11.3%","±1.8","5,095","±1,033","11.0%","±2.2","2,699","±708","12.0%","±3.1","26,653","±2,319","8.5%","±0.7","10,290","±1,476","5.8%","±0.8","16,363","±2,051","12.0%","±1.4","2,387","±625","10.4%","±2.6","1,105","±408","7.8%","±2.8","1,282","±525","14.6%","±5.8","4,170","±930","7.8%","±1.7","1,725","±548","5.5%","±1.8","2,445","±757","11.0%","±3.4"
"        Less than 20 percent","6,185","±1,271","1.4%","±0.3","5,458","±1,221","2.0%","±0.5","727","±410","0.4%","±0.2","2,242","±717","3.3%","±1.0","2,159","±729","4.7%","±1.6","83","±136","0.4%","±0.6","2,963","±778","0.9%","±0.2","2,525","±708","1.4%","±0.4","438","±279","0.3%","±0.2","220","±186","1.0%","±0.8","192","±190","1.4%","±1.3","28","±37","0.3%","±0.4","760","±452","1.4%","±0.8","582","±408","1.9%","±1.3","178","±232","0.8%","±1.1"
"        20 to 29 percent","5,191","±1,173","1.1%","±0.3","3,264","±930","1.2%","±0.3","1,927","±679","1.0%","±0.4","1,575","±626","2.3%","±0.9","778","±500","1.7%","±1.1","797","±441","3.5%","±1.9","2,893","±826","0.9%","±0.3","2,152","±694","1.2%","±0.4","741","±386","0.5%","±0.3","316","±277","1.4%","±1.2","130","±120","0.9%","±0.9","186","±244","2.1%","±2.8","407","±282","0.8%","±0.5","204","±211","0.7%","±0.7","203","±188","0.9%","±0.9"
"        30 percent or more","29,628","±2,468","6.5%","±0.5","9,493","±1,323","3.5%","±0.5","20,135","±2,470","10.6%","±1.3","3,977","±949","5.8%","±1.4","2,158","±662","4.7%","±1.4","1,819","±676","8.1%","±3.0","20,797","±2,198","6.7%","±0.7","5,613","±996","3.2%","±0.6","15,184","±2,031","11.1%","±1.4","1,851","±595","8.1%","±2.5","783","±346","5.5%","±2.4","1,068","±528","12.1%","±5.7","3,003","±864","5.6%","±1.6","939","±436","3.0%","±1.4","2,064","±690","9.3%","±3.0"
"    $35,000 to $49,999","47,354","±3,506","10.3%","±0.8","23,821","±2,612","8.9%","±1.0","23,533","±2,525","12.4%","±1.3","8,628","±1,466","12.5%","±2.1","5,422","±1,219","11.7%","±2.5","3,206","±964","14.2%","±4.3","31,828","±2,785","10.2%","±0.9","14,884","±1,922","8.4%","±1.1","16,944","±2,188","12.4%","±1.5","1,740","±500","7.6%","±2.2","1,105","±391","7.8%","±2.7","635","±270","7.2%","±3.2","5,158","±1,129","9.6%","±2.1","2,410","±589","7.7%","±1.9","2,748","±851","12.3%","±3.7"
"        Less than 20 percent","10,889","±1,766","2.4%","±0.4","9,416","±1,564","3.5%","±0.6","1,473","±596","0.8%","±0.3","3,274","±1,012","4.8%","±1.5","2,750","±899","5.9%","±1.9","524","±395","2.3%","±1.8","6,264","±1,239","2.0%","±0.4","5,494","±1,111","3.1%","±0.6","770","±393","0.6%","±0.3","447","±246","1.9%","±1.1","328","±212","2.3%","±1.5","119","±125","1.4%","±1.4","904","±426","1.7%","±0.8","844","±422","2.7%","±1.3","60","±90","0.3%","±0.4"
"        20 to 29 percent","7,498","±1,465","1.6%","±0.3","3,395","±946","1.3%","±0.4","4,103","±943","2.2%","±0.5","2,024","±839","2.9%","±1.2","1,124","±664","2.4%","±1.4","900","±544","4.0%","±2.4","4,185","±1,012","1.3%","±0.3","1,854","±663","1.1%","±0.4","2,331","±690","1.7%","±0.5","138","±118","0.6%","±0.5","109","±115","0.8%","±0.8","29","±44","0.3%","±0.5","1,151","±602","2.1%","±1.1","308","±279","1.0%","±0.9","843","±523","3.8%","±2.4"
"        30 percent or more","28,967","±2,527","6.3%","±0.6","11,010","±1,753","4.1%","±0.6","17,957","±2,314","9.5%","±1.2","3,330","±971","4.8%","±1.4","1,548","±582","3.3%","±1.2","1,782","±720","7.9%","±3.1","21,379","±2,319","6.8%","±0.7","7,536","±1,525","4.3%","±0.8","13,843","±2,054","10.2%","±1.5","1,155","±456","5.0%","±2.0","668","±384","4.7%","±2.6","487","±234","5.5%","±2.8","3,103","±768","5.8%","±1.4","1,258","±433","4.0%","±1.4","1,845","±633","8.3%","±2.7"
"    $50,000 to $74,999","71,262","±3,573","15.6%","±0.8","38,523","±2,452","14.4%","±0.9","32,739","±3,126","17.2%","±1.6","11,085","±1,598","16.1%","±2.2","7,932","±1,316","17.1%","±2.7","3,153","±938","14.0%","±3.9","48,830","±3,065","15.6%","±1.0","24,572","±2,030","13.9%","±1.1","24,258","±2,721","17.8%","±2.0","2,895","±811","12.6%","±3.4","1,310","±471","9.2%","±3.3","1,585","±630","18.0%","±6.7","8,440","±1,426","15.8%","±2.6","4,709","±992","15.0%","±3.1","3,731","±1,094","16.8%","±4.6"
"        Less than 20 percent","21,136","±1,956","4.6%","±0.4","16,665","±1,736","6.2%","±0.6","4,471","±971","2.4%","±0.5","5,576","±1,064","8.1%","±1.5","4,263","±956","9.2%","±2.0","1,313","±620","5.8%","±2.6","12,449","±1,460","4.0%","±0.5","9,722","±1,370","5.5%","±0.8","2,727","±745","2.0%","±0.5","652","±377","2.8%","±1.6","561","±365","4.0%","±2.5","91","±101","1.0%","±1.2","2,447","±799","4.6%","±1.5","2,119","±720","6.8%","±2.3","328","±354","1.5%","±1.6"
"        20 to 29 percent","16,031","±1,794","3.5%","±0.4","6,750","±1,043","2.5%","±0.4","9,281","±1,497","4.9%","±0.8","2,191","±790","3.2%","±1.1","1,570","±580","3.4%","±1.3","621","±467","2.8%","±2.1","11,256","±1,590","3.6%","±0.5","4,414","±778","2.5%","±0.4","6,842","±1,415","5.0%","±1.0","587","±288","2.6%","±1.2","257","±177","1.8%","±1.2","330","±238","3.8%","±2.7","1,997","±659","3.7%","±1.2","509","±251","1.6%","±0.8","1,488","±573","6.7%","±2.5"
"        30 percent or more","34,095","±2,886","7.4%","±0.6","15,108","±2,002","5.6%","±0.8","18,987","±2,505","10.0%","±1.3","3,318","±843","4.8%","±1.2","2,099","±714","4.5%","±1.5","1,219","±588","5.4%","±2.6","25,125","±2,672","8.0%","±0.9","10,436","±1,760","5.9%","±1.0","14,689","±2,279","10.8%","±1.7","1,656","±625","7.2%","±2.6","492","±257","3.5%","±1.9","1,164","±542","13.2%","±5.8","3,996","±915","7.5%","±1.7","2,081","±588","6.6%","±1.8","1,915","±659","8.6%","±2.8"
"    $75,000 or more","233,515","±5,472","51.0%","±1.0","166,772","±4,353","62.2%","±1.2","66,743","±3,445","35.1%","±1.7","26,309","±1,887","38.2%","±2.4","21,203","±1,608","45.8%","±3.0","5,106","±910","22.6%","±3.8","167,006","±4,310","53.4%","±1.2","115,946","±3,276","65.8%","±1.5","51,060","±3,210","37.5%","±2.1","12,269","±1,058","53.4%","±4.2","9,094","±922","64.1%","±4.7","3,175","±909","36.1%","±8.8","27,931","±2,268","52.1%","±3.8","20,529","±1,793","65.6%","±3.6","7,402","±1,500","33.3%","±6.3"
"        Less than 20 percent","126,895","±3,905","27.7%","±0.9","98,073","±3,506","36.6%","±1.3","28,822","±2,367","15.2%","±1.2","18,268","±1,844","26.5%","±2.6","14,631","±1,524","31.6%","±3.2","3,637","±873","16.1%","±3.8","85,641","±3,664","27.4%","±1.1","66,067","±3,059","37.5%","±1.7","19,574","±2,330","14.4%","±1.6","7,467","±1,070","32.5%","±4.7","5,608","±917","39.5%","±6.2","1,859","±559","21.1%","±6.0","15,519","±1,394","29.0%","±2.5","11,767","±1,286","37.6%","±3.5","3,752","±950","16.9%","±4.0"
"        20 to 29 percent","61,599","±3,870","13.4%","±0.8","39,754","±2,591","14.8%","±0.9","21,845","±2,479","11.5%","±1.3","5,221","±975","7.6%","±1.4","4,037","±897","8.7%","±1.9","1,184","±473","5.2%","±2.1","46,589","±3,046","14.9%","±1.0","29,457","±2,294","16.7%","±1.2","17,132","±2,059","12.6%","±1.5","2,798","±767","12.2%","±3.2","1,854","±498","13.1%","±3.3","944","±575","10.7%","±6.0","6,991","±1,280","13.1%","±2.3","4,406","±955","14.1%","±3.0","2,585","±812","11.6%","±3.5"
"        30 percent or more","45,021","±2,777","9.8%","±0.6","28,945","±2,234","10.8%","±0.8","16,076","±1,964","8.5%","±1.1","2,820","±869","4.1%","±1.2","2,535","±814","5.5%","±1.7","285","±274","1.3%","±1.2","34,776","±2,533","11.1%","±0.8","20,422","±1,779","11.6%","±1.0","14,354","±1,956","10.5%","±1.4","2,004","±648","8.7%","±2.8","1,632","±604","11.5%","±4.1","372","±255","4.2%","±2.9","5,421","±1,314","10.1%","±2.4","4,356","±1,091","13.9%","±3.2","1,065","±668","4.8%","±3.0"
"    Zero or negative income","5,611","±1,170","1.2%","±0.3","2,977","±816","1.1%","±0.3","2,634","±932","1.4%","±0.5","1,526","±625","2.2%","±0.9","883","±464","1.9%","±1.0","643","±409","2.9%","±1.8","3,134","±785","1.0%","±0.3","1,711","±612","1.0%","±0.3","1,423","±604","1.0%","±0.4","422","±273","1.8%","±1.2","174","±140","1.2%","±1.0","248","±231","2.8%","±2.6","529","±399","1.0%","±0.7","209","±161","0.7%","±0.5","320","±338","1.4%","±1.5"
"    No cash rent","12,488","±1,698","2.7%","±0.4","(X)","(X)","(X)","(X)","12,488","±1,698","6.6%","±0.9","3,180","±837","4.6%","±1.2","(X)","(X)","(X)","(X)","3,180","±837","14.1%","±3.5","6,125","±1,079","2.0%","±0.3","(X)","(X)","(X)","(X)","6,125","±1,079","4.5%","±0.8","970","±444","4.2%","±1.9","(X)","(X)","(X)","(X)","970","±444","11.0%","±4.6","2,169","±928","4.0%","±1.7","(X)","(X)","(X)","(X)","2,169","±928","9.7%","±3.9"
