"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,387,361","9.3%","0.5%","4.2%","1.1%","189,228","7.0%","0.6%","2.2%","0.3%","970,355","9.4%","0.3%","5.1%","1.4%","N","N","N","N","N","158,661","11.1%","0.6%","2.2%","0.6%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    1 to 4 years","74,013","13.8%","0.6%","5.3%","0.8%","10,328","12.7%","0.9%","1.0%","0.0%","51,569","13.5%","0.4%","7.1%","1.1%","N","N","N","N","N","8,291","12.0%","0.0%","1.9%","0.0%"
"    5 to 17 years","216,520","8.4%","0.4%","3.6%","0.9%","30,622","8.3%","0.8%","2.7%","0.3%","148,730","7.5%","0.3%","4.4%","1.2%","N","N","N","N","N","25,962","10.0%","0.3%","0.9%","0.3%"
"    18 to 24 years","136,925","14.4%","1.2%","10.9%","2.0%","15,290","7.4%","1.3%","3.3%","0.3%","103,884","14.3%","1.2%","13.1%","2.4%","N","N","N","N","N","12,231","23.0%","0.2%","5.4%","0.9%"
"    25 to 34 years","204,167","15.2%","0.6%","9.3%","2.2%","23,013","10.9%","0.7%","4.9%","0.2%","151,957","14.9%","0.2%","10.6%","2.7%","N","N","N","N","N","20,858","23.0%","1.4%","4.9%","1.1%"
"    35 to 44 years","177,174","11.5%","0.5%","3.0%","1.3%","23,463","12.0%","1.5%","1.9%","0.4%","123,318","10.8%","0.1%","3.6%","1.5%","N","N","N","N","N","21,762","14.1%","0.4%","1.6%","0.5%"
"    45 to 54 years","180,050","6.8%","0.5%","1.6%","0.9%","23,906","5.0%","0.1%","1.3%","0.2%","123,340","7.4%","0.2%","1.8%","1.2%","N","N","N","N","N","23,524","4.9%","1.3%","1.4%","0.4%"
"    55 to 64 years","178,404","4.6%","0.2%","1.3%","0.4%","30,498","2.9%","0.0%","2.1%","0.6%","114,981","5.0%","0.1%","1.3%","0.5%","N","N","N","N","N","22,422","5.8%","0.4%","0.6%","0.3%"
"    65 to 74 years","120,992","3.4%","0.2%","1.0%","0.6%","19,158","1.8%","0.3%","1.1%","0.3%","80,682","3.7%","0.2%","0.6%","0.7%","N","N","N","N","N","14,263","5.0%","0.4%","3.6%","1.1%"
"    75 years and over","99,116","5.2%","0.1%","0.6%","0.6%","12,950","3.6%","0.0%","0.3%","0.0%","71,894","5.8%","0.1%","0.7%","0.6%","N","N","N","N","N","9,348","2.1%","0.0%","0.2%","1.0%"
"Median age (years)","38.6","29.6","27.1","25.7","31.9","41.5","31.3","31.8","33.0","53.1","37.6","29.7","22.4","25.3","30.8","41.5","24.6","31.2","25.8","32.6","40.6","28.6","42.9","28.9","37.5"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","702,594","9.5%","0.6%","4.7%","1.3%","95,224","7.4%","0.7%","2.7%","0.4%","491,461","9.6%","0.3%","5.7%","1.6%","35,001","9.9%","2.4%","1.5%","0.4%","80,868","10.8%","1.0%","2.4%","0.6%"
"    Female","684,767","9.2%","0.4%","3.6%","1.0%","94,004","6.5%","0.5%","1.8%","0.2%","478,894","9.2%","0.3%","4.4%","1.2%","34,019","11.7%","1.7%","2.4%","1.1%","77,793","11.4%","0.2%","2.0%","0.6%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","355,731","10.2%","0.4%","11.4%","1.7%","66,509","7.7%","0.3%","4.2%","0.6%","210,750","10.8%","0.2%","16.2%","2.5%","23,825","11.3%","1.8%","4.3%","0.0%","54,608","10.4%","0.8%","4.8%","0.5%"
"        Black or African American","30,061","13.6%","0.0%","15.7%","1.4%","N","N","N","N","N","28,024","14.6%","0.0%","15.7%","1.4%","N","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian","528,002","6.6%","0.3%","0.8%","1.1%","N","N","N","N","N","415,970","7.0%","0.2%","0.9%","1.1%","24,822","8.7%","2.8%","0.8%","2.2%","45,820","4.7%","0.5%","0.5%","1.0%"
"        Native Hawaiian and Other Pacific Islander","135,101","10.5%","0.9%","0.6%","1.2%","N","N","N","N","N","86,750","11.4%","1.0%","1.0%","1.8%","N","N","N","N","N","N","N","N","N","N"
"        Some other race","13,953","5.4%","0.0%","11.0%","3.9%","N","N","N","N","N","10,938","5.8%","0.0%","14.0%","4.5%","N","N","N","N","N","N","N","N","N","N"
"    Two or more races","322,241","12.0%","0.7%","1.9%","0.4%","52,870","8.3%","1.1%","2.1%","0.0%","216,580","11.3%","0.5%","2.0%","0.6%","N","N","N","N","N","39,498","20.4%","0.7%","1.4%","0.2%"
"Hispanic or Latino origin (of any race)","134,602","12.7%","0.6%","5.7%","1.1%","23,223","7.3%","0.0%","0.5%","0.2%","87,433","12.0%","0.6%","8.5%","1.5%","N","N","N","N","N","N","N","N","N","N"
"White alone, not Hispanic or Latino","320,096","9.9%","0.4%","10.9%","1.6%","58,493","6.3%","0.3%","4.8%","0.7%","190,338","10.8%","0.2%","15.0%","2.4%","20,943","8.5%","1.2%","4.3%","0.0%","50,283","10.9%","0.8%","5.3%","0.6%"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Native","1,141,043","9.6%","0.5%","4.7%","0.7%","169,424","7.0%","0.7%","2.4%","0.2%","783,700","9.7%","0.4%","5.8%","1.0%","57,262","11.1%","1.8%","1.9%","0.1%","130,581","11.7%","0.6%","2.5%","0.2%"
"    Foreign born","246,318","8.2%","0.2%","1.7%","2.9%","19,804","6.9%","0.0%","0.5%","1.1%","186,655","8.3%","0.0%","2.0%","3.2%","11,758","9.3%","3.3%","1.8%","3.8%","28,080","8.2%","0.4%","0.4%","2.2%"
"        Naturalized U.S. citizen","139,732","6.2%","0.2%","1.6%","0.8%","8,610","1.1%","0.0%","1.1%","0.4%","109,355","6.8%","0.1%","1.9%","0.7%","5,257","10.8%","0.6%","0.0%","0.0%","16,489","3.8%","0.7%","0.0%","1.5%"
"        Not a U.S. citizen","106,586","10.8%","0.3%","1.8%","5.8%","11,194","11.3%","0.1%","0.0%","1.6%","77,300","10.4%","0.0%","2.0%","6.7%","6,501","8.0%","5.5%","3.3%","6.9%","11,591","14.3%","0.0%","1.0%","3.2%"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,145,298","9.2%","0.5%","4.1%","1.2%","155,643","6.2%","0.5%","2.1%","0.3%","802,706","9.4%","0.3%","4.9%","1.4%","56,593","8.7%","2.0%","2.2%","0.9%","130,259","11.3%","0.7%","2.3%","0.7%"
"        Never married","380,931","13.0%","0.6%","5.1%","1.3%","53,109","8.9%","0.6%","2.7%","0.4%","267,824","12.7%","0.6%","5.8%","1.6%","17,221","11.7%","0.9%","5.7%","1.0%","42,768","20.2%","1.0%","3.8%","0.6%"
"        Now married, except separated","573,346","6.7%","0.3%","4.1%","1.2%","72,563","4.7%","0.2%","2.2%","0.4%","408,910","7.4%","0.2%","5.1%","1.4%","29,546","6.2%","2.2%","1.0%","1.2%","62,275","5.0%","0.0%","1.3%","0.9%"
"        Divorced or separated","123,694","10.5%","1.0%","2.7%","1.0%","22,121","6.2%","1.4%","0.9%","0.0%","76,981","10.6%","0.2%","3.5%","1.5%","5,677","15.7%","5.9%","0.0%","0.0%","18,900","13.6%","2.1%","2.6%","0.5%"
"        Widowed","67,327","6.2%","0.2%","0.8%","0.6%","7,850","2.6%","0.0%","0.7%","0.0%","48,991","6.9%","0.2%","0.8%","0.8%","4,149","4.7%","0.0%","0.0%","0.0%","6,316","6.3%","0.8%","2.0%","0.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","959,903","8.5%","0.4%","3.3%","1.1%","132,988","6.2%","0.5%","2.1%","0.3%","666,172","8.7%","0.2%","3.8%","1.3%","48,492","7.6%","2.1%","2.1%","0.9%","112,177","10.0%","0.8%","2.1%","0.7%"
"        Less than high school graduate","86,365","9.8%","0.3%","0.6%","1.1%","10,880","11.6%","0.0%","0.0%","0.3%","63,103","9.6%","0.1%","0.6%","1.1%","4,470","9.6%","5.1%","0.4%","0.0%","7,887","9.5%","0.1%","1.9%","2.6%"
"        High school graduate (includes equivalency)","263,311","8.4%","0.4%","2.1%","1.1%","41,133","7.6%","0.3%","0.5%","0.1%","171,188","8.2%","0.2%","2.6%","1.4%","15,756","6.8%","0.5%","1.4%","1.5%","35,205","11.4%","1.6%","2.0%","0.6%"
"        Some college or associate's degree","310,976","9.2%","0.4%","3.9%","0.9%","46,855","6.1%","0.9%","2.8%","0.3%","209,577","9.6%","0.2%","4.8%","1.2%","16,236","8.3%","0.9%","0.6%","0.5%","38,305","10.7%","0.4%","1.7%","0.0%"
"        Bachelor's degree","199,229","7.1%","0.1%","4.3%","1.4%","24,119","3.0%","0.2%","3.0%","0.6%","146,435","7.3%","0.0%","4.5%","1.6%","8,402","6.1%","1.5%","7.0%","1.2%","20,273","11.1%","0.2%","2.8%","1.2%"
"        Graduate or professional degree","100,022","7.9%","0.8%","4.7%","1.1%","10,001","2.2%","0.0%","5.3%","0.5%","75,869","9.5%","0.3%","4.9%","1.3%","3,628","9.0%","11.3%","2.1%","0.0%","10,507","1.1%","1.0%","3.2%","0.8%"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,145,298","9.2%","0.5%","4.1%","1.2%","155,643","6.2%","0.5%","2.1%","0.3%","802,706","9.4%","0.3%","4.9%","1.4%","N","N","N","N","N","130,259","11.3%","0.7%","2.3%","0.7%"
"        $1 to $9,999 or loss","179,958","10.1%","0.9%","4.2%","1.9%","29,963","7.9%","0.6%","3.4%","0.1%","121,407","10.6%","0.9%","4.5%","2.3%","N","N","N","N","N","18,983","10.1%","0.5%","4.4%","1.1%"
"        $10,000 to $14,999","88,964","9.4%","0.4%","4.6%","1.6%","14,845","3.6%","0.1%","2.6%","0.7%","60,288","10.3%","0.2%","5.7%","1.9%","N","N","N","N","N","9,475","13.0%","0.0%","2.3%","2.1%"
"        $15,000 to $24,999","161,978","9.4%","0.4%","5.2%","0.6%","28,101","5.4%","0.3%","2.5%","0.0%","107,635","9.9%","0.3%","6.5%","0.6%","N","N","N","N","N","17,392","14.6%","0.6%","1.9%","1.5%"
"        $25,000 to $34,999","130,627","8.0%","0.3%","3.8%","0.3%","15,945","2.3%","1.0%","0.8%","0.0%","86,856","8.4%","0.2%","5.1%","0.5%","N","N","N","N","N","19,361","9.9%","0.4%","1.5%","0.2%"
"        $35,000 to $49,999","148,058","8.7%","0.3%","4.0%","0.7%","16,586","6.7%","0.3%","1.1%","0.8%","103,923","9.1%","0.1%","4.9%","0.9%","N","N","N","N","N","20,930","8.4%","0.8%","2.3%","0.0%"
"        $50,000 to $64,999","106,434","7.3%","0.5%","4.3%","1.5%","10,033","3.6%","0.0%","1.8%","0.5%","79,840","7.9%","0.1%","4.8%","1.9%","N","N","N","N","N","12,096","6.9%","2.5%","4.3%","0.3%"
"        $65,000 to $74,999","44,263","11.7%","0.2%","4.0%","1.6%","3,534","16.6%","0.0%","2.0%","0.0%","35,077","11.9%","0.2%","4.5%","2.0%","N","N","N","N","N","3,323","9.9%","0.0%","0.9%","0.0%"
