"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,414,355","9.1%","0.6%","3.8%","1.3%","194,188","10.2%","1.5%","3.0%","0.5%","986,125","9.6%","0.4%","4.2%","1.5%","70,998","7.1%","0.7%","2.8%","0.5%","162,911","5.7%","0.8%","3.0%","0.8%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    1 to 4 years","74,845","13.2%","0.3%","4.0%","2.2%","9,873","22.8%","1.3%","0.6%","0.0%","52,870","11.8%","0.0%","5.2%","2.8%","3,791","8.8%","1.4%","0.0%","0.0%","8,311","12.2%","0.7%","2.5%","2.4%"
"    5 to 17 years","219,113","9.0%","0.5%","2.9%","1.0%","31,643","11.5%","2.7%","0.6%","0.2%","149,395","9.2%","0.2%","3.6%","1.4%","11,404","6.2%","0.1%","2.1%","0.4%","26,671","5.8%","0.3%","1.8%","0.0%"
"    18 to 24 years","134,483","12.6%","1.0%","8.4%","2.2%","15,099","12.6%","3.6%","3.6%","1.2%","102,665","13.8%","0.6%","9.4%","2.6%","4,958","12.0%","0.8%","1.9%","0.0%","11,761","3.3%","0.5%","8.8%","0.9%"
"    25 to 34 years","216,396","15.4%","0.7%","8.1%","1.9%","24,135","14.9%","1.5%","4.7%","1.0%","159,942","16.1%","0.4%","9.2%","2.1%","9,205","11.9%","2.2%","6.3%","1.5%","23,114","12.6%","1.1%","4.9%","1.9%"
"    35 to 44 years","177,777","10.9%","0.7%","3.2%","1.7%","22,805","14.3%","2.4%","3.4%","0.4%","124,108","11.4%","0.5%","3.5%","2.3%","8,836","3.3%","0.0%","2.9%","0.4%","21,994","7.8%","0.2%","1.5%","0.2%"
"    45 to 54 years","174,599","8.0%","0.3%","2.1%","0.6%","23,242","12.1%","0.6%","2.0%","0.7%","120,351","8.1%","0.2%","1.8%","0.7%","9,256","8.3%","1.3%","3.0%","0.0%","21,726","2.5%","0.3%","3.4%","0.0%"
"    55 to 64 years","179,989","4.6%","0.7%","2.2%","0.8%","30,490","2.9%","0.7%","5.5%","0.5%","115,178","5.1%","0.5%","1.3%","0.9%","10,724","8.2%","0.0%","1.9%","0.7%","23,544","3.2%","2.1%","2.9%","0.7%"
"    65 to 74 years","133,842","3.2%","0.3%","1.2%","0.5%","22,729","3.7%","0.3%","3.1%","0.2%","87,075","3.5%","0.1%","0.7%","0.5%","7,990","2.3%","0.3%","2.4%","0.0%","16,041","1.8%","1.2%","0.9%","1.0%"
"    75 years and over","103,311","2.6%","0.6%","0.6%","0.6%","14,172","4.1%","0.5%","1.3%","0.4%","74,541","2.5%","0.7%","0.3%","0.5%","4,834","4.2%","0.6%","2.4%","0.6%","9,749","1.0%","0.0%","1.1%","2.0%"
"Median age (years)","38.2","29.8","34.8","27.7","30.5","42.3","31.3","22.5","48.5","36.1","36.9","29.3","40.3","26.6","29.9","42.7","32.6","28.9","39.9","28.7","39.8","32.1","59.6","30.3","30.9"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","715,455","9.2%","0.6%","3.9%","1.4%","95,850","8.6%","1.8%","3.1%","0.7%","501,552","10.2%","0.4%","4.3%","1.7%","35,904","7.0%","0.4%","2.8%","0.2%","82,090","5.3%","0.8%","3.0%","0.9%"
"    Female","698,900","8.9%","0.6%","3.7%","1.1%","98,338","11.7%","1.2%","2.8%","0.4%","484,573","8.9%","0.4%","4.0%","1.4%","35,094","7.2%","1.0%","2.7%","0.8%","80,821","6.1%","0.7%","3.0%","0.7%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","368,245","11.0%","0.8%","9.1%","1.7%","64,997","10.5%","1.3%","5.6%","1.0%","219,990","12.1%","0.7%","11.4%","2.3%","22,625","8.3%","0.9%","6.1%","0.0%","60,611","8.4%","0.4%","5.9%","0.7%"
"        Black or African American","29,512","15.9%","0.7%","19.7%","4.3%","N","N","N","N","N","27,038","15.9%","0.5%","21.5%","4.7%","N","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian","528,083","5.8%","0.3%","0.7%","1.4%","42,030","6.0%","0.2%","1.8%","0.4%","414,781","6.4%","0.2%","0.7%","1.6%","26,117","3.5%","0.5%","0.2%","0.6%","45,154","1.2%","0.5%","0.0%","1.6%"
"        Native Hawaiian and Other Pacific Islander","132,589","10.1%","0.8%","0.9%","1.3%","25,122","13.9%","2.0%","0.0%","0.1%","84,945","10.2%","0.3%","1.1%","1.7%","N","N","N","N","N","N","N","N","N","N"
