"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,374,852","9.3%","0.5%","4.0%","1.5%","186,991","9.6%","0.3%","4.6%","0.7%","964,132","9.2%","0.4%","4.2%","1.8%","N","N","N","N","N","156,417","10.7%","0.8%","3.3%","1.3%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    1 to 4 years","71,552","13.5%","0.5%","7.4%","1.9%","9,708","16.6%","0.1%","8.7%","0.1%","50,454","13.7%","0.5%","7.4%","2.4%","N","N","N","N","N","8,219","9.5%","0.8%","8.1%","1.5%"
"    5 to 17 years","213,868","8.3%","0.5%","2.8%","1.0%","30,140","8.3%","0.1%","2.7%","0.4%","147,628","8.2%","0.5%","3.0%","1.3%","N","N","N","N","N","25,485","9.5%","1.2%","3.0%","0.4%"
"    18 to 24 years","137,151","15.3%","1.1%","8.5%","3.4%","16,272","22.1%","0.3%","5.3%","1.7%","103,855","13.4%","1.1%","10.2%","3.6%","N","N","N","N","N","12,043","22.8%","2.0%","1.8%","6.0%"
"    25 to 34 years","199,308","16.6%","0.8%","8.2%","2.5%","23,141","19.8%","1.0%","8.9%","1.4%","146,256","15.6%","0.6%","9.1%","3.0%","N","N","N","N","N","21,265","21.7%","0.6%","3.8%","1.1%"
"    35 to 44 years","175,142","10.0%","0.4%","4.1%","1.6%","21,727","8.1%","0.1%","6.5%","0.9%","124,027","10.1%","0.3%","3.8%","2.0%","N","N","N","N","N","20,904","11.3%","1.1%","4.4%","0.5%"
"    45 to 54 years","185,698","7.2%","0.3%","2.4%","1.3%","24,962","7.0%","0.0%","4.3%","1.4%","127,279","7.0%","0.3%","1.8%","1.4%","N","N","N","N","N","23,757","8.4%","0.8%","3.6%","1.4%"
"    55 to 64 years","181,710","4.9%","0.2%","1.1%","0.3%","30,810","3.5%","0.3%","2.0%","0.0%","117,322","5.0%","0.1%","0.8%","0.4%","N","N","N","N","N","22,613","6.9%","0.7%","1.6%","0.4%"
"    65 to 74 years","111,941","3.0%","0.2%","1.4%","0.9%","17,483","2.8%","0.0%","3.9%","0.0%","75,490","3.6%","0.2%","0.6%","0.7%","N","N","N","N","N","13,022","0.7%","0.1%","3.3%","2.3%"
"    75 years and over","98,482","4.1%","0.1%","0.5%","0.5%","12,748","3.9%","0.9%","1.5%","0.0%","71,821","4.6%","0.0%","0.2%","0.5%","N","N","N","N","N","9,109","1.2%","0.0%","1.4%","0.8%"
"Median age (years)","38.7","29.5","30.2","27.6","28.7","41.2","28.3","30.8","32.8","30.1","37.8","29.8","24.1","26.4","28.5","42.7","28.7","30.4","46.1","59.8","40.5","30.2","31.9","35.6","25.8"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","691,714","9.7%","0.6%","4.3%","1.8%","93,845","10.8%","0.2%","4.3%","0.7%","485,959","9.4%","0.5%","4.7%","2.2%","33,539","7.9%","1.7%","1.0%","0.4%","78,323","10.7%","1.1%","3.5%","1.2%"
"    Female","683,138","9.0%","0.3%","3.7%","1.2%","93,146","8.3%","0.4%","4.9%","0.6%","478,173","9.1%","0.3%","3.7%","1.4%","33,683","6.3%","0.7%","1.5%","0.8%","78,094","10.6%","0.5%","3.1%","1.5%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","343,787","10.5%","0.3%","10.6%","2.4%","60,122","6.0%","0.3%","9.6%","1.0%","205,602","11.5%","0.2%","12.3%","3.2%","22,887","4.7%","1.4%","3.3%","0.3%","55,127","14.0%","0.1%","8.4%","1.7%"
"        Black or African American","25,215","13.2%","0.4%","12.4%","3.7%","N","N","N","N","N","23,512","13.8%","0.5%","13.3%","4.0%","N","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian","528,403","6.5%","0.3%","0.8%","1.5%","43,240","7.1%","0.2%","0.8%","0.5%","418,424","6.5%","0.1%","0.8%","1.7%","N","N","N","N","N","42,431","4.8%","1.3%","0.1%","0.5%"
"        Native Hawaiian and Other Pacific Islander","143,362","11.6%","1.3%","1.5%","1.5%","25,103","12.4%","0.1%","2.2%","1.0%","93,593","11.1%","1.8%","1.7%","1.1%","N","N","N","N","N","17,769","11.6%","0.8%","0.1%","4.4%"
"        Some other race","15,321","21.3%","0.3%","10.3%","4.1%","N","N","N","N","N","8,001","16.0%","0.0%","12.3%","7.3%","N","N","N","N","N","N","N","N","N","N"
"    Two or more races","315,611","10.9%","0.6%","2.4%","0.3%","50,722","12.0%","0.3%","2.4%","0.3%","212,859","10.8%","0.5%","2.8%","0.3%","N","N","N","N","N","39,438","12.0%","1.5%","1.0%","0.2%"
"Hispanic or Latino origin (of any race)","129,161","13.7%","0.3%","5.8%","1.5%","21,925","17.7%","0.6%","5.1%","0.0%","84,182","13.3%","0.1%","7.2%","2.1%","N","N","N","N","N","16,285","14.7%","1.1%","2.1%","0.4%"
"White alone, not Hispanic or Latino","314,090","10.4%","0.3%","10.3%","2.3%","57,644","5.8%","0.4%","9.9%","1.1%","186,254","11.5%","0.3%","11.5%","3.1%","20,472","5.2%","1.6%","3.5%","0.3%","49,671","14.1%","0.1%","8.8%","1.9%"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Native","1,123,007","9.4%","0.5%","4.5%","0.9%","164,329","8.7%","0.3%","4.6%","0.3%","773,909","9.4%","0.5%","4.8%","1.1%","56,789","7.1%","1.4%","1.3%","0.2%","127,912","11.7%","0.9%","3.8%","0.8%"
"    Foreign born","251,845","8.9%","0.2%","1.9%","4.1%","22,662","15.4%","0.1%","4.7%","3.6%","190,223","8.7%","0.1%","1.7%","4.2%","10,433","7.4%","0.2%","1.1%","3.1%","28,505","6.0%","0.5%","1.2%","3.7%"
"        Naturalized U.S. citizen","140,173","6.3%","0.2%","1.6%","0.8%","11,214","7.0%","0.2%","2.8%","0.1%","106,730","7.0%","0.1%","1.6%","0.9%","5,956","1.9%","0.4%","1.9%","0.0%","16,255","2.9%","0.4%","0.5%","1.0%"
"        Not a U.S. citizen","111,672","12.3%","0.1%","2.4%","8.1%","11,448","23.7%","0.0%","6.5%","7.0%","83,493","10.9%","0.1%","1.9%","8.5%","4,477","14.7%","0.0%","0.0%","7.3%","12,250","10.0%","0.6%","2.2%","7.2%"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,137,619","9.1%","0.5%","3.9%","1.5%","154,127","9.3%","0.3%","4.5%","0.8%","798,783","9.0%","0.4%","4.1%","1.8%","N","N","N","N","N","128,542","10.8%","0.9%","3.0%","1.4%"
"    Never married","379,863","11.8%","0.7%","4.2%","1.8%","49,707","13.1%","0.7%","5.8%","1.2%","273,483","11.0%","0.6%","4.3%","1.8%","N","N","N","N","N","39,454","16.3%","1.0%","2.9%","2.3%"
"    Now married, except separated","562,731","6.9%","0.3%","4.1%","1.7%","73,566","5.7%","0.1%","3.8%","0.9%","395,464","7.2%","0.2%","4.4%","1.9%","N","N","N","N","N","65,185","7.6%","0.7%","3.2%","1.2%"
"    Divorced or separated","124,780","13.2%","0.6%","3.7%","1.1%","20,043","14.6%","0.4%","4.6%","0.0%","81,561","12.6%","0.4%","3.9%","1.4%","N","N","N","N","N","16,540","14.5%","0.8%","2.9%","1.2%"
