"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,410,258","7.8%","0.6%","4.1%","1.2%","196,558","6.5%","0.5%","3.7%","0.4%","978,289","8.2%","0.4%","4.4%","1.2%","N","N","N","N","N","164,073","8.0%","1.6%","2.9%","2.3%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    1 to 4 years","72,423","9.4%","0.2%","5.6%","0.9%","10,159","6.1%","0.1%","0.6%","0.0%","49,894","11.0%","0.3%","7.0%","1.1%","N","N","N","N","N","8,618","7.5%","0.2%","3.1%","1.0%"
"    5 to 17 years","217,043","7.8%","0.4%","4.7%","1.1%","30,729","7.8%","0.3%","5.1%","0.1%","147,739","7.8%","0.1%","5.5%","0.9%","N","N","N","N","N","26,923","7.3%","2.4%","1.7%","3.6%"
"    18 to 24 years","129,855","9.5%","1.4%","7.8%","2.2%","15,836","12.3%","0.0%","5.8%","2.1%","96,590","9.2%","1.2%","8.3%","1.9%","N","N","N","N","N","12,012","10.8%","1.6%","6.8%","2.0%"
"    25 to 34 years","205,844","13.1%","0.8%","6.6%","1.5%","23,298","12.8%","1.6%","5.6%","0.6%","153,870","13.8%","0.5%","7.4%","1.3%","N","N","N","N","N","20,957","10.8%","2.8%","2.7%","4.2%"
"    35 to 44 years","179,339","9.8%","0.8%","5.0%","1.9%","23,497","7.6%","0.4%","3.9%","0.0%","124,187","10.1%","0.6%","5.8%","1.7%","N","N","N","N","N","22,034","12.0%","2.2%","2.8%","3.7%"
"    45 to 54 years","177,648","5.9%","0.8%","2.2%","1.3%","23,725","3.8%","0.8%","3.2%","0.4%","122,354","6.0%","0.4%","1.8%","1.5%","N","N","N","N","N","22,507","7.6%","2.6%","3.5%","1.0%"
"    55 to 64 years","184,565","4.9%","0.2%","1.7%","1.0%","31,355","2.4%","0.0%","3.4%","0.2%","119,004","5.5%","0.1%","1.0%","0.9%","N","N","N","N","N","23,626","5.4%","0.5%","2.6%","2.6%"
"    65 to 74 years","138,903","3.8%","0.0%","1.5%","0.5%","23,884","4.2%","0.0%","2.2%","0.7%","89,500","3.8%","0.0%","0.8%","0.5%","N","N","N","N","N","17,095","4.7%","0.4%","2.5%","0.0%"
"    75 years and over","104,638","4.1%","0.4%","1.0%","0.4%","14,075","2.6%","0.7%","1.1%","0.0%","75,151","4.5%","0.4%","0.9%","0.5%","N","N","N","N","N","10,301","5.1%","0.0%","1.7%","0.0%"
"Median age (years)","39.4","31.5","32.6","26.8","34.2","42.9","28.3","33.8","32.0","33.3","38.1","31.2","30.2","25.9","36.1","42.6","32.2","23.0","35.0","33.6","41.4","36.6","33.8","39.5","31.0"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","708,347","8.2%","0.6%","4.1%","1.2%","98,271","7.2%","0.5%","3.3%","0.2%","494,092","8.7%","0.4%","4.4%","1.1%","34,459","5.6%","1.8%","3.2%","1.1%","81,484","7.5%","1.6%","3.0%","2.8%"
"    Female","701,911","7.4%","0.6%","4.1%","1.3%","98,287","5.8%","0.4%","4.1%","0.6%","484,197","7.7%","0.4%","4.4%","1.3%","36,784","4.1%","0.4%","2.8%","2.2%","82,589","8.6%","1.6%","2.7%","1.9%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","",""
"    One race","1,076,465","7.4%","0.5%","4.6%","1.5%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","353,658","9.2%","0.8%","9.7%","0.8%","64,446","4.4%","0.6%","5.7%","0.4%","205,892","11.2%","0.4%","12.3%","0.9%","23,117","5.7%","1.3%","7.4%","0.6%","60,184","8.7%","1.9%","6.3%","1.3%"
"        Black or African American","25,712","7.9%","0.7%","21.8%","1.9%","N","N","N","N","N","23,083","6.5%","0.8%","23.1%","2.1%","N","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native","2,649","6.4%","0.0%","12.0%","0.0%","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian","539,065","4.9%","0.3%","1.1%","2.1%","47,221","6.4%","0.1%","1.3%","0.5%","417,296","4.8%","0.1%","1.3%","1.6%","24,160","1.6%","0.4%","0.8%","4.1%","50,367","5.7%","1.3%","0.2%","6.0%"
