"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,401,004","8.9%","0.5%","4.2%","0.9%","191,399","7.0%","1.1%","2.9%","0.7%","978,540","9.5%","0.2%","4.8%","0.9%","N","N","N","N","N","161,293","9.0%","1.1%","3.0%","0.6%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    1 to 4 years","72,450","12.9%","2.0%","5.6%","0.5%","8,957","12.6%","7.4%","0.0%","0.0%","51,511","13.1%","0.3%","6.9%","0.7%","N","N","N","N","N","8,257","13.7%","2.1%","5.8%","0.4%"
"    5 to 17 years","217,347","8.3%","0.2%","3.1%","0.3%","31,079","5.8%","0.0%","2.6%","0.0%","148,828","8.9%","0.1%","3.7%","0.4%","N","N","N","N","N","26,133","9.4%","1.0%","1.4%","0.0%"
"    18 to 24 years","136,621","12.4%","0.5%","10.4%","1.9%","15,918","12.9%","1.2%","7.8%","2.3%","104,183","12.8%","0.3%","12.0%","2.1%","N","N","N","N","N","12,103","11.1%","0.4%","3.3%","0.5%"
"    25 to 34 years","210,810","15.0%","1.1%","7.8%","1.4%","23,968","12.9%","1.0%","4.2%","1.4%","155,736","14.9%","0.6%","9.3%","1.6%","N","N","N","N","N","21,351","19.7%","3.5%","4.0%","0.5%"
"    35 to 44 years","176,248","10.6%","0.4%","3.6%","1.0%","22,661","6.0%","1.0%","4.1%","1.1%","123,626","11.8%","0.2%","3.6%","1.1%","N","N","N","N","N","21,863","9.3%","0.1%","4.7%","0.2%"
"    45 to 54 years","178,931","6.8%","0.3%","2.3%","0.8%","23,863","5.0%","0.4%","1.6%","1.4%","122,419","7.8%","0.1%","2.6%","0.8%","N","N","N","N","N","23,142","4.3%","1.4%","2.4%","0.2%"
"    55 to 64 years","180,536","5.4%","0.4%","1.6%","0.7%","30,655","7.7%","1.2%","1.4%","0.5%","115,509","4.8%","0.1%","1.3%","0.6%","N","N","N","N","N","23,792","6.1%","0.8%","2.5%","1.2%"
"    65 to 74 years","127,000","3.2%","0.3%","1.6%","0.6%","21,694","0.9%","1.2%","2.2%","0.0%","83,233","4.1%","0.2%","1.4%","0.5%","N","N","N","N","N","14,785","1.9%","0.0%","1.3%","2.7%"
"    75 years and over","101,061","4.2%","0.1%","1.3%","0.1%","12,604","1.6%","0.0%","2.0%","0.0%","73,495","4.7%","0.1%","0.7%","0.1%","N","N","N","N","N","9,867","5.4%","0.0%","3.9%","0.7%"
"Median age (years)","38.6","29.7","29.9","27.2","32.7","41.8","27.8","33.6","32.3","36.0","37.3","29.8","30.0","25.9","29.7","41.2","30.2","23.5","61.8","35.8","41.5","29.5","28.9","39.6","64.3"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","708,282","8.8%","0.6%","4.5%","1.0%","96,609","7.4%","1.5%","2.8%","1.0%","496,518","9.5%","0.2%","5.3%","1.1%","34,233","5.5%","2.3%","1.1%","0.3%","80,870","8.0%","1.0%","2.8%","0.6%"
"    Female","692,722","9.0%","0.4%","3.8%","0.8%","94,790","6.6%","0.6%","3.0%","0.4%","482,022","9.6%","0.2%","4.3%","0.8%","35,477","5.4%","1.0%","1.7%","0.9%","80,423","9.9%","1.2%","3.2%","0.7%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","",""
