"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,410,750","7.7%","0.5%","3.3%","1.2%","197,618","6.5%","0.5%","3.0%","0.5%","976,980","8.3%","0.3%","3.7%","1.5%","N","N","N","N","N","164,740","6.0%","1.8%","2.1%","0.7%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    1 to 4 years","72,785","10.7%","0.5%","4.7%","1.2%","9,152","10.5%","0.5%","1.8%","0.8%","51,815","11.6%","0.4%","6.1%","1.4%","N","N","N","N","N","8,258","4.2%","0.7%","0.0%","1.2%"
"    5 to 17 years","216,424","8.9%","0.2%","2.5%","0.9%","31,802","5.0%","0.8%","1.9%","0.3%","146,324","10.0%","0.1%","3.1%","1.0%","N","N","N","N","N","26,412","7.7%","0.1%","0.4%","0.3%"
"    18 to 24 years","123,797","9.3%","0.7%","7.5%","2.2%","14,518","9.9%","2.0%","5.4%","0.4%","92,917","9.1%","0.3%","8.4%","2.6%","N","N","N","N","N","11,172","11.4%","2.1%","5.6%","2.1%"
"    25 to 34 years","206,064","11.5%","1.1%","5.8%","2.1%","23,894","8.3%","1.0%","5.1%","0.4%","152,516","12.0%","0.7%","6.4%","2.6%","N","N","N","N","N","21,186","9.1%","3.2%","3.5%","0.0%"
"    35 to 44 years","181,837","9.8%","0.8%","4.2%","1.4%","23,500","10.2%","0.1%","4.3%","0.3%","125,019","10.3%","0.4%","4.4%","1.7%","N","N","N","N","N","23,141","7.6%","4.1%","2.0%","1.3%"
"    45 to 54 years","173,608","6.3%","0.3%","2.0%","1.3%","23,807","8.8%","0.3%","3.4%","0.6%","120,213","6.3%","0.0%","1.9%","1.6%","N","N","N","N","N","21,592","4.6%","2.0%","1.6%","0.4%"
"    55 to 64 years","182,485","4.8%","0.5%","1.9%","0.9%","30,855","3.9%","0.0%","3.2%","1.3%","117,488","5.3%","0.5%","1.4%","1.0%","N","N","N","N","N","23,977","4.3%","0.8%","3.1%","0.3%"
"    65 to 74 years","144,861","3.0%","0.3%","0.8%","0.5%","25,695","1.2%","0.0%","0.9%","0.3%","92,855","3.9%","0.1%","0.6%","0.4%","N","N","N","N","N","17,986","1.5%","2.1%","1.8%","1.4%"
"    75 years and over","108,889","3.9%","0.1%","0.7%","0.3%","14,395","5.9%","0.0%","1.1%","0.0%","77,833","4.0%","0.0%","0.4%","0.2%","N","N","N","N","N","11,016","1.8%","0.0%","1.6%","0.4%"
"Median age (years)","39.6","31.3","33.4","28.7","31.4","43.3","35.8","20.6","38.1","47.5","38.3","31.0","30.7","26.9","29.7","41.4","28.4","30.3","39.4","42.3","41.8","30.9","40.6","43.4","42.3"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","",""
