"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"    Male","707,780","8.0%","0.6%","3.4%","1.4%","97,807","6.7%","0.6%","3.3%","0.5%","492,801","8.6%","0.3%","3.8%","1.6%","34,935","6.4%","1.0%","1.2%","0.9%","82,226","6.8%","2.2%","2.3%","1.2%"
"    Female","702,970","7.3%","0.5%","3.2%","1.1%","99,811","6.3%","0.3%","2.7%","0.5%","484,179","7.9%","0.3%","3.5%","1.3%","36,407","7.3%","0.2%","2.5%","1.0%","82,514","5.1%","1.5%","2.0%","0.3%"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","352,415","9.8%","0.7%","8.3%","1.2%","68,420","8.8%","0.1%","5.8%","0.6%","202,641","10.0%","0.5%","10.6%","1.4%","23,907","10.8%","0.7%","5.6%","1.6%","57,447","10.1%","2.3%","4.3%","1.3%"
"        Black or African American","22,768","12.2%","2.7%","10.7%","2.6%","N","N","N","N","N","20,421","13.3%","2.4%","10.9%","2.9%","N","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian","541,977","5.6%","0.2%","0.9%","1.5%","43,528","3.7%","0.3%","1.3%","0.8%","424,720","6.2%","0.1%","0.9%","1.7%","N","N","N","N","N","49,478","4.0%","0.6%","1.2%","0.8%"
"        Native Hawaiian and Other Pacific Islander","144,382","9.5%","0.6%","0.7%","1.3%","N","N","N","N","N","96,412","12.0%","0.2%","1.0%","1.9%","N","N","N","N","N","18,255","2.4%","2.3%","0.0%","0.0%"
"        Some other race","21,006","11.8%","0.2%","4.4%","3.8%","N","N","N","N","N","13,284","11.0%","0.4%","6.5%","6.0%","N","N","N","N","N","N","N","N","N","N"
"    Two or more races","325,541","7.3%","0.6%","2.4%","0.5%","56,428","5.9%","0.8%","1.9%","0.4%","218,164","8.3%","0.3%","2.9%","0.6%","N","N","N","N","N","35,495","3.5%","2.3%","1.3%","0.1%"
"Hispanic or Latino origin (of any race)","146,581","12.6%","0.9%","4.0%","1.6%","24,953","7.4%","1.1%","4.9%","0.2%","95,670","12.6%","0.6%","4.7%","2.1%","N","N","N","N","N","18,328","14.4%","2.5%","0.8%","0.7%"
"White alone, not Hispanic or Latino","306,822","8.9%","0.7%","8.2%","1.1%","59,239","9.0%","0.1%","4.7%","0.7%","177,163","9.2%","0.3%","10.5%","1.2%","21,021","8.1%","0.8%","6.3%","1.2%","49,399","7.6%","2.5%","5.0%","1.2%"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Native","1,145,385","7.7%","0.6%","3.7%","0.8%","171,628","6.5%","0.5%","3.1%","0.2%","777,846","8.3%","0.4%","4.2%","1.0%","N","N","N","N","N","136,984","6.2%","2.1%","2.2%","0.6%"
"    Foreign born","265,365","7.5%","0.1%","1.7%","3.2%","25,990","6.7%","0.0%","2.7%","2.5%","199,134","8.2%","0.0%","1.6%","3.5%","N","N","N","N","N","27,756","5.0%","0.6%","1.7%","1.1%"
"        Naturalized U.S. citizen","160,914","5.9%","0.1%","1.9%","0.6%","11,227","3.3%","0.0%","5.4%","0.6%","125,930","6.6%","0.0%","1.5%","0.5%","N","N","N","N","N","16,519","4.9%","1.0%","2.7%","0.0%"
"        Not a U.S. citizen","104,451","9.8%","0.1%","1.4%","7.2%","14,763","9.2%","0.0%","0.7%","4.0%","73,204","11.1%","0.0%","1.8%","8.7%","N","N","N","N","N","11,237","5.2%","0.0%","0.3%","2.8%"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,167,820","7.3%","0.6%","3.3%","1.3%","163,192","6.3%","0.4%","3.2%","0.5%","810,403","7.9%","0.3%","3.5%","1.5%","58,137","6.1%","0.7%","1.8%","0.9%","136,018","5.7%","2.1%","2.6%","0.7%"
"        Never married","391,898","8.8%","0.8%","3.7%","1.5%","52,784","9.9%","0.8%","4.6%","0.2%","275,802","8.9%","0.3%","3.6%","2.0%","18,305","9.2%","1.5%","2.1%","0.3%","44,974","6.6%","3.2%","3.9%","0.5%"
"        Now married, except separated","576,207","6.3%","0.4%","3.4%","1.3%","80,084","4.3%","0.2%","2.5%","0.4%","401,531","7.2%","0.3%","4.0%","1.5%","29,955","3.2%","0.3%","1.6%","0.9%","64,602","5.1%","1.2%","1.7%","0.9%"
"        Divorced or separated","126,355","9.5%","1.0%","3.0%","0.9%","20,785","6.9%","0.1%","4.0%","1.5%","82,258","10.4%","0.6%","2.9%","0.7%","6,421","12.8%","1.2%","1.8%","1.0%","16,891","7.1%","3.7%","2.5%","1.2%"
"        Widowed","73,360","3.9%","0.1%","0.6%","0.4%","9,539","2.3%","0.0%","0.1%","0.8%","50,812","4.5%","0.1%","0.4%","0.2%","3,456","2.3%","0.0%","1.5%","3.3%","9,551","3.2%","0.0%","1.6%","0.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","997,744","7.0%","0.6%","2.8%","1.2%","142,146","6.2%","0.2%","3.1%","0.6%","685,924","7.5%","0.3%","2.9%","1.4%","N","N","N","N","N","118,898","5.2%","2.2%","2.3%","0.7%"
"        Less than high school graduate","77,131","7.6%","0.6%","0.5%","1.7%","9,706","12.2%","0.0%","0.1%","0.8%","52,788","7.9%","0.7%","0.6%","1.8%","N","N","N","N","N","9,699","3.3%","0.3%","0.8%","1.9%"
"        High school graduate (includes equivalency)","280,494","6.3%","0.7%","1.8%","0.7%","42,363","6.2%","0.4%","1.8%","0.2%","185,357","6.4%","0.3%","1.7%","0.8%","N","N","N","N","N","37,123","4.8%","3.2%","2.5%","0.7%"
"        Some college or associate's degree","311,439","7.6%","0.5%","3.2%","1.1%","46,392","5.1%","0.1%","3.4%","0.6%","209,473","8.4%","0.2%","3.5%","1.5%","N","N","N","N","N","39,997","6.2%","1.9%","2.3%","0.4%"
"        Bachelor's degree","216,993","7.5%","0.6%","3.6%","1.5%","29,751","5.8%","0.2%","4.5%","0.8%","156,119","8.3%","0.5%","3.4%","1.7%","N","N","N","N","N","21,490","5.4%","2.1%","3.1%","0.4%"
"        Graduate or professional degree","111,687","6.0%","0.5%","4.7%","1.5%","13,934","6.7%","0.3%","5.4%","0.9%","82,187","6.3%","0.3%","5.0%","1.7%","N","N","N","N","N","10,589","4.0%","2.3%","1.8%","0.7%"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,167,820","7.3%","0.6%","3.3%","1.3%","163,192","6.3%","0.4%","3.2%","0.5%","810,403","7.9%","0.3%","3.5%","1.5%","N","N","N","N","N","136,018","5.7%","2.1%","2.6%","0.7%"
"        $1 to $9,999 or loss","154,278","7.5%","0.8%","4.6%","1.7%","27,622","7.5%","0.3%","5.2%","0.2%","105,109","7.9%","0.5%","4.8%","2.4%","N","N","N","N","N","14,962","6.4%","3.4%","3.0%","0.2%"
"        $10,000 to $14,999","72,847","7.1%","0.4%","3.0%","0.6%","11,586","5.9%","0.2%","4.8%","0.0%","48,588","8.2%","0.2%","2.7%","0.7%","N","N","N","N","N","9,106","3.9%","2.1%","3.4%","0.0%"
"        $15,000 to $24,999","145,721","7.0%","0.4%","3.0%","1.0%","23,135","4.5%","1.3%","2.3%","0.2%","99,696","7.6%","0.2%","3.0%","1.4%","N","N","N","N","N","15,942","6.5%","1.0%","4.3%","0.7%"
"        $25,000 to $34,999","135,674","8.2%","0.6%","2.3%","0.9%","19,908","7.7%","0.4%","1.7%","0.8%","90,030","7.8%","0.2%","2.6%","0.7%","N","N","N","N","N","18,184","7.3%","3.2%","2.1%","1.7%"
"        $35,000 to $49,999","167,962","6.6%","0.3%","3.2%","1.1%","20,731","6.0%","0.3%","3.8%","0.0%","114,863","7.0%","0.1%","3.7%","1.3%","N","N","N","N","N","22,239","5.4%","1.1%","1.1%","1.4%"
"        $50,000 to $64,999","122,081","6.4%","0.3%","3.2%","0.6%","13,769","5.8%","0.2%","3.4%","1.1%","85,509","6.5%","0.3%","3.3%","0.7%","N","N","N","N","N","16,775","7.2%","1.0%","2.3%","0.4%"
"        $65,000 to $74,999","50,746","7.0%","1.0%","3.1%","0.5%","6,063","2.4%","0.6%","2.4%","0.2%","35,690","8.3%","1.0%","3.6%","0.7%","N","N","N","N","N","5,687","3.2%","1.5%","1.7%","0.0%"
"        $75,000 or more","173,382","7.0%","0.8%","3.0%","1.1%","18,060","5.6%","0.0%","2.9%","0.2%","131,113","7.6%","0.5%","3.2%","1.3%","N","N","N","N","N","17,073","6.2%","3.2%","1.7%","0.3%"
"Median income (dollars)","35,177","32,562","31,801","34,082","31,059","28,955","26,881","21,824","21,089","34,390","36,088","34,519","53,954","36,164","29,087","35,998","29,951","48,271","49,365","31,138","35,843","33,750","31,004","22,243","32,473"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","1,372,708","7.5%","0.5%","3.2%","1.2%","194,443","6.2%","0.4%","3.0%","0.5%","944,619","8.1%","0.3%","3.5%","1.4%","70,678","6.9%","0.6%","1.9%","1.0%","162,900","5.7%","1.7%","2.1%","0.7%"
"        Below 100 percent of the poverty level","130,368","11.9%","1.2%","4.6%","1.7%","29,188","8.1%","0.3%","4.5%","0.6%","78,782","14.5%","0.7%","4.5%","2.4%","6,716","6.1%","0.6%","3.4%","2.1%","15,659","8.0%","5.6%","5.8%","0.4%"
"        100 to 149 percent of the poverty level","74,090","6.0%","0.5%","3.8%","1.1%","13,752","6.0%","0.3%","2.0%","0.1%","47,054","5.5%","0.1%","4.9%","1.7%","7,888","11.3%","1.1%","2.1%","0.0%","5,396","2.6%","3.7%","0.9%","0.0%"
"        At or above 150 percent of the poverty level","1,168,250","7.1%","0.4%","3.0%","1.1%","151,503","5.9%","0.5%","2.7%","0.5%","818,783","7.7%","0.2%","3.3%","1.3%","56,074","6.4%","0.5%","1.7%","1.0%","141,845","5.6%","1.2%","1.8%","0.8%"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over in housing units","1,366,519","7.4%","0.4%","3.2%","1.2%","194,265","6.0%","0.5%","2.9%","0.5%","939,517","8.0%","0.3%","3.5%","1.4%","70,644","6.8%","0.6%","1.9%","1.0%","162,025","5.8%","1.2%","2.1%","0.7%"
"        Householder lived in owner-occupied housing units","847,796","4.1%","0.3%","1.4%","0.6%","127,575","3.3%","0.1%","2.2%","0.4%","575,896","4.6%","0.3%","1.2%","0.7%","43,439","1.5%","0.6%","2.4%","0.6%","100,886","3.5%","0.9%","1.3%","0.6%"
"        Householder lived in renter-occupied housing units","518,723","12.7%","0.6%","6.0%","2.1%","66,690","11.2%","1.1%","4.2%","0.7%","363,621","13.4%","0.3%","7.2%","2.6%","27,205","15.2%","0.6%","1.1%","1.6%","61,139","9.5%","1.7%","3.3%","1.0%"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Residence 1 year ago","7.9%","(X)","(X)","(X)","(X)","5.9%","(X)","(X)","(X)","(X)","7.8%","(X)","(X)","(X)","(X)","7.1%","(X)","(X)","(X)","(X)","11.3%","(X)","(X)","(X)","(X)"
