"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Population 1 year and over","1,346,274","9.2%","0.8%","4.0%","1.3%","183,321","9.4%","1.2%","1.6%","0.4%","943,403","8.7%","0.6%","4.6%","1.7%","N","N","N","N","N","153,128","12.1%","1.1%","3.8%","0.6%"
"AGE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    1 to 4 years","69,346","11.8%","0.6%","4.2%","0.8%","9,655","13.7%","0.8%","1.2%","0.2%","48,620","11.6%","0.0%","5.1%","1.1%","N","N","N","N","N","7,671","10.9%","1.0%","4.1%","0.0%"
"    5 to 17 years","216,968","10.2%","0.5%","3.4%","0.7%","30,182","13.3%","0.6%","0.4%","0.2%","149,348","7.8%","0.5%","4.1%","0.9%","N","N","N","N","N","26,351","17.9%","0.1%","3.5%","0.0%"
"    18 to 24 years","133,032","13.0%","2.4%","12.8%","4.2%","16,319","11.5%","9.0%","4.8%","1.1%","99,627","13.4%","1.2%","15.5%","5.2%","N","N","N","N","N","12,003","11.0%","2.6%","4.1%","2.0%"
"    25 to 34 years","180,950","15.3%","1.3%","6.1%","2.6%","20,517","12.5%","0.5%","3.5%","0.5%","132,963","15.6%","1.3%","6.5%","3.3%","N","N","N","N","N","19,708","17.0%","1.8%","8.1%","0.8%"
"    35 to 44 years","176,314","10.3%","0.5%","3.9%","0.9%","20,975","11.9%","0.9%","1.2%","0.0%","124,972","9.2%","0.6%","4.2%","1.1%","N","N","N","N","N","21,768","15.0%","0.0%","3.4%","1.0%"
"    45 to 54 years","194,443","7.4%","0.7%","2.0%","0.6%","28,106","7.2%","0.0%","0.8%","0.0%","132,268","7.1%","0.6%","2.0%","0.9%","N","N","N","N","N","23,954","9.9%","2.3%","3.7%","0.4%"
"    55 to 64 years","177,095","5.3%","0.4%","1.6%","0.7%","29,588","7.2%","0.4%","1.5%","0.2%","115,393","4.3%","0.3%","1.5%","0.9%","N","N","N","N","N","21,953","9.4%","1.4%","2.5%","0.3%"
"    65 to 74 years","102,915","3.6%","0.3%","0.7%","0.5%","16,141","3.1%","0.0%","0.5%","1.4%","69,818","3.6%","0.2%","0.8%","0.4%","N","N","N","N","N","11,284","3.9%","0.7%","0.4%","0.2%"
"    75 years and over","95,211","3.2%","0.3%","0.9%","0.9%","11,838","3.4%","0.0%","1.8%","0.4%","70,394","3.4%","0.3%","0.7%","0.8%","N","N","N","N","N","8,436","2.0%","0.0%","2.2%","0.5%"
"Median age (years)","39.2","30.1","28.4","24.8","26.6","42.0","29.7","19.4","28.8","32.6","38.5","30.0","31.5","24.0","25.8","41.4","26.8","24.4","36.5","-","39.8","31.2","46.0","33.1","35.2"
"SEX","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Male","675,206","9.3%","0.9%","4.3%","1.6%","92,011","9.4%","1.9%","1.7%","0.4%","471,707","8.8%","0.7%","5.2%","2.2%","34,264","10.9%","1.6%","2.5%","0.0%","77,213","11.9%","1.2%","2.9%","0.7%"
"    Female","671,068","9.0%","0.6%","3.7%","1.0%","91,310","9.5%","0.5%","1.5%","0.3%","471,696","8.6%","0.6%","4.0%","1.3%","32,114","6.8%","0.8%","1.9%","0.6%","75,915","12.3%","1.0%","4.6%","0.4%"
