"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","332,288","10.7%","0.9%","9.7%","1.9%","59,950","8.9%","1.5%","3.0%","0.2%","196,605","11.0%","0.5%","12.7%","2.9%","22,156","9.7%","1.8%","3.2%","0.0%","53,556","11.9%","1.7%","8.8%","0.9%"
"        Black or African American","19,994","10.5%","0.3%","15.2%","3.0%","N","N","N","N","N","18,376","9.9%","0.3%","16.6%","3.3%","N","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian","527,933","6.1%","0.6%","1.2%","1.3%","N","N","N","N","N","422,587","6.3%","0.3%","1.4%","1.4%","N","N","N","N","N","38,736","6.4%","1.3%","0.1%","0.2%"
"        Native Hawaiian and Other Pacific Islander","132,719","10.3%","0.1%","1.9%","0.9%","N","N","N","N","N","90,145","10.0%","0.0%","2.0%","1.3%","N","N","N","N","N","N","N","N","N","N"
"        Some other race","15,036","12.6%","0.4%","16.7%","3.6%","N","N","N","N","N","9,012","13.0%","0.7%","25.7%","5.9%","N","N","N","N","N","N","N","N","N","N"
"    Two or more races","315,644","12.1%","1.1%","2.0%","0.7%","53,122","12.3%","0.7%","0.6%","0.1%","204,897","10.5%","1.4%","2.6%","0.9%","13,353","21.5%","0.0%","1.2%","0.0%","44,260","16.8%","0.6%","1.6%","0.6%"
"Hispanic or Latino origin (of any race)","118,153","13.8%","1.4%","6.5%","1.3%","N","N","N","N","N","75,615","13.2%","1.8%","8.9%","1.9%","N","N","N","N","N","N","N","N","N","N"
"White alone, not Hispanic or Latino","306,057","10.6%","1.0%","9.4%","2.0%","57,597","9.3%","1.5%","3.0%","0.3%","179,237","11.0%","0.5%","12.3%","3.1%","20,578","9.8%","1.9%","3.4%","0.0%","48,624","11.1%","1.8%","8.8%","1.0%"
"CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Native","1,098,372","9.3%","0.8%","4.3%","0.8%","163,240","9.3%","1.2%","1.6%","0.1%","749,092","8.8%","0.7%","5.1%","1.1%","N","N","N","N","N","128,598","11.9%","1.2%","4.0%","0.3%"
"    Foreign born","247,902","8.7%","0.5%","2.4%","3.5%","20,081","10.6%","0.8%","1.3%","2.7%","194,311","8.2%","0.3%","2.5%","3.9%","N","N","N","N","N","24,530","13.2%","0.7%","2.4%","1.9%"
"        Naturalized U.S. citizen","141,255","5.6%","0.7%","2.0%","0.5%","8,934","5.4%","1.3%","1.4%","0.0%","112,938","5.6%","0.4%","2.2%","0.6%","N","N","N","N","N","12,733","7.9%","1.3%","1.2%","0.0%"
"        Not a U.S. citizen","106,647","12.8%","0.3%","2.8%","7.5%","11,147","14.8%","0.5%","1.3%","4.9%","81,373","11.9%","0.2%","3.0%","8.4%","N","N","N","N","N","11,797","18.9%","0.0%","3.8%","3.9%"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,111,069","8.8%","0.9%","4.0%","1.4%","150,805","8.6%","1.3%","1.8%","0.4%","780,953","8.5%","0.7%","4.6%","1.8%","N","N","N","N","N","125,014","11.6%","1.3%","3.6%","0.7%"
"    Never married","369,139","11.1%","1.7%","5.8%","2.1%","48,759","11.8%","3.4%","3.3%","0.6%","262,319","10.4%","1.3%","6.7%","2.6%","N","N","N","N","N","41,541","14.9%","1.8%","4.3%","1.2%"
"    Now married, except separated","542,198","7.0%","0.4%","3.2%","1.2%","69,167","6.3%","0.1%","1.3%","0.5%","385,537","7.3%","0.4%","3.8%","1.5%","N","N","N","N","N","60,419","6.9%","0.7%","2.6%","0.4%"
"    Divorced or separated","128,823","11.7%","0.9%","3.6%","1.0%","21,269","9.2%","1.3%","0.4%","0.2%","83,497","10.2%","0.6%","3.6%","1.4%","N","N","N","N","N","16,537","23.7%","2.1%","6.5%","0.7%"
"    Widowed","70,909","5.8%","0.7%","1.7%","0.6%","11,610","7.3%","0.2%","1.4%","0.0%","49,600","5.6%","0.7%","1.7%","0.9%","N","N","N","N","N","6,517","3.0%","1.5%","1.8%","0.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","926,928","8.2%","0.6%","2.8%","1.1%","127,165","8.0%","0.3%","1.5%","0.3%","645,808","8.0%","0.6%","3.0%","1.4%","N","N","N","N","N","107,103","10.9%","1.2%","3.8%","0.6%"
"    Less than high school graduate","93,599","6.5%","0.9%","1.0%","1.5%","12,420","4.9%","0.0%","1.1%","1.9%","64,954","6.1%","1.0%","1.2%","1.5%","N","N","N","N","N","11,490","8.5%","0.8%","0.6%","0.6%"
"    High school graduate (includes equivalency)","265,263","8.4%","0.7%","1.7%","0.9%","42,978","10.0%","0.3%","0.8%","0.2%","174,397","7.6%","0.6%","1.8%","1.2%","N","N","N","N","N","34,012","9.8%","1.7%","2.2%","0.7%"
"    Some college or associate's degree","294,492","8.1%","0.7%","3.3%","1.1%","40,220","7.3%","0.6%","1.0%","0.0%","200,606","8.2%","0.6%","3.7%","1.5%","N","N","N","N","N","34,891","10.5%","1.3%","3.9%","0.5%"
"    Bachelor's degree","184,364","8.3%","0.6%","4.5%","1.0%","20,775","8.0%","0.3%","4.1%","0.2%","136,981","7.8%","0.5%","3.9%","1.3%","N","N","N","N","N","19,186","14.6%","0.8%","9.7%","0.3%"
"    Graduate or professional degree","89,210","9.8%","0.3%","3.2%","1.4%","10,772","5.6%","0.0%","1.6%","0.3%","68,870","10.2%","0.4%","3.9%","1.6%","N","N","N","N","N","7,524","11.7%","0.0%","0.1%","1.1%"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,111,069","8.8%","0.9%","4.0%","1.4%","150,805","8.6%","1.3%","1.8%","0.4%","780,953","8.5%","0.7%","4.6%","1.8%","N","N","N","N","N","125,014","11.6%","1.3%","3.6%","0.7%"
"    $1 to $9,999 or loss","171,747","10.9%","1.6%","6.2%","1.6%","27,431","13.0%","2.8%","2.3%","0.2%","118,822","9.9%","1.1%","7.4%","2.0%","N","N","N","N","N","16,576","16.3%","3.1%","5.1%","0.3%"
"    $10,000 to $14,999","87,993","7.5%","0.5%","3.9%","0.8%","14,229","10.4%","1.1%","0.8%","0.0%","58,500","7.7%","0.2%","5.0%","1.3%","N","N","N","N","N","10,448","3.8%","1.1%","3.3%","0.0%"
"    $15,000 to $24,999","160,489","8.4%","0.3%","5.0%","1.6%","23,061","8.9%","0.7%","1.5%","0.2%","110,689","7.7%","0.3%","5.8%","2.0%","N","N","N","N","N","18,986","13.5%","0.4%","5.6%","1.0%"
"    $25,000 to $34,999","145,620","9.4%","0.5%","3.4%","1.5%","17,992","7.4%","0.2%","2.7%","0.3%","99,631","9.9%","0.5%","2.8%","2.1%","N","N","N","N","N","18,765","9.5%","1.0%","7.4%","0.4%"
"    $35,000 to $49,999","153,272","8.6%","0.8%","3.1%","1.0%","19,072","7.8%","0.1%","0.4%","0.0%","108,984","7.5%","1.0%","3.7%","1.3%","N","N","N","N","N","18,597","15.4%","0.9%","2.1%","0.7%"
"    $50,000 to $64,999","104,376","8.1%","0.8%","2.5%","1.5%","12,350","3.5%","0.5%","1.2%","0.0%","75,838","8.3%","0.6%","3.1%","2.0%","N","N","N","N","N","11,267","9.9%","1.6%","0.9%","0.5%"
"    $65,000 to $74,999","40,628","7.8%","0.9%","2.1%","0.9%","3,058","12.7%","2.0%","0.6%","0.0%","31,128","7.6%","0.7%","2.1%","1.2%","N","N","N","N","N","4,243","8.8%","2.3%","4.7%","0.0%"
"    $75,000 or more","106,229","6.8%","0.3%","3.1%","0.9%","10,673","5.7%","0.0%","2.3%","0.0%","82,260","7.4%","0.4%","3.6%","1.1%","N","N","N","N","N","10,182","4.8%","0.6%","0.6%","0.8%"
"Median income (dollars)","29,348","27,184","19,180","20,617","27,494","24,649","17,809","4,157","24,017","20,775","30,399","28,543","32,802","19,879","28,352","27,314","29,693","11,109","21,575","2,500-","29,604","27,308","17,409","24,440","29,253"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","1,309,587","8.9%","0.6%","3.5%","1.1%","180,107","9.2%","0.9%","1.5%","0.3%","914,160","8.5%","0.4%","3.9%","1.3%","65,005","8.5%","1.2%","2.3%","0.3%","150,271","11.5%","0.8%","3.7%","0.6%"
"    Below 100 percent of the poverty level","139,032","16.9%","1.9%","6.0%","3.0%","32,756","15.2%","2.9%","2.3%","0.6%","82,025","17.1%","1.4%","8.3%","4.4%","7,636","21.4%","2.9%","6.3%","2.3%","16,615","17.3%","1.5%","2.0%","1.3%"
"    100 to 149 percent of the poverty level","84,726","14.2%","0.5%","3.4%","0.4%","16,554","20.8%","1.6%","0.5%","0.0%","52,589","9.8%","0.1%","4.8%","0.6%","4,242","11.8%","0.0%","1.0%","0.0%","11,330","26.2%","1.1%","1.9%","0.2%"
"    At or above 150 percent of the poverty level","1,085,829","7.5%","0.4%","3.2%","0.9%","130,797","6.3%","0.2%","1.4%","0.3%","779,546","7.5%","0.4%","3.4%","1.1%","53,127","6.4%","1.0%","1.8%","0.0%","122,326","9.4%","0.7%","4.1%","0.5%"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over in housing units","1,303,394","8.9%","0.5%","3.4%","1.0%","179,726","9.1%","0.8%","1.5%","0.3%","907,469","8.4%","0.4%","3.9%","1.3%","65,769","8.8%","1.2%","2.2%","0.3%","150,386","11.4%","0.9%","3.6%","0.6%"
"    Householder lived in owner-occupied housing units","805,169","3.3%","0.3%","1.2%","0.7%","119,788","2.5%","0.2%","1.3%","0.3%","544,903","3.6%","0.2%","1.1%","0.9%","43,761","3.5%","0.9%","1.1%","0.0%","96,717","2.3%","0.4%","1.8%","0.2%"
"    Householder lived in renter-occupied housing units","498,225","17.9%","1.0%","7.0%","1.6%","59,938","22.4%","2.1%","1.9%","0.3%","362,566","15.6%","0.7%","8.0%","1.9%","22,008","19.3%","1.6%","4.6%","0.8%","53,669","28.0%","1.6%","6.9%","1.3%"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Residence 1 year ago","4.3%","(X)","(X)","(X)","(X)","2.0%","(X)","(X)","(X)","(X)","4.7%","(X)","(X)","(X)","(X)","4.1%","(X)","(X)","(X)","(X)","4.8%","(X)","(X)","(X)","(X)"
