"Label (Grouping)","Hawaii!!Total!!Estimate","Hawaii!!Moved; within same county!!Estimate","Hawaii!!Moved; from different county, same state!!Estimate","Hawaii!!Moved; from different  state!!Estimate","Hawaii!!Moved; from abroad!!Estimate","Hawaii County, Hawaii!!Total!!Estimate","Hawaii County, Hawaii!!Moved; within same county!!Estimate","Hawaii County, Hawaii!!Moved; from different county, same state!!Estimate","Hawaii County, Hawaii!!Moved; from different  state!!Estimate","Hawaii County, Hawaii!!Moved; from abroad!!Estimate","Honolulu County, Hawaii!!Total!!Estimate","Honolulu County, Hawaii!!Moved; within same county!!Estimate","Honolulu County, Hawaii!!Moved; from different county, same state!!Estimate","Honolulu County, Hawaii!!Moved; from different  state!!Estimate","Honolulu County, Hawaii!!Moved; from abroad!!Estimate","Kauai County, Hawaii!!Total!!Estimate","Kauai County, Hawaii!!Moved; within same county!!Estimate","Kauai County, Hawaii!!Moved; from different county, same state!!Estimate","Kauai County, Hawaii!!Moved; from different  state!!Estimate","Kauai County, Hawaii!!Moved; from abroad!!Estimate","Maui County, Hawaii!!Total!!Estimate","Maui County, Hawaii!!Moved; within same county!!Estimate","Maui County, Hawaii!!Moved; from different county, same state!!Estimate","Maui County, Hawaii!!Moved; from different  state!!Estimate","Maui County, Hawaii!!Moved; from abroad!!Estimate"
"Hispanic or Latino origin (of any race)","122,988","12.1%","1.0%","5.3%","0.6%","21,613","10.9%","0.0%","3.5%","0.0%","79,432","11.8%","1.2%","5.8%","0.9%","6,424","6.8%","0.0%","6.2%","0.3%","15,519","17.5%","1.8%","4.3%","0.0%"
"White alone, not Hispanic or Latino","311,462","8.9%","0.8%","10.9%","1.7%","57,707","6.8%","1.8%","5.1%","1.0%","184,068","8.5%","0.4%","14.1%","2.2%","20,344","7.1%","0.0%","6.8%","0.0%","49,326","13.3%","1.8%","7.3%","1.4%"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Native","1,111,811","8.3%","0.6%","4.8%","0.6%","162,946","7.0%","1.2%","2.6%","0.4%","765,171","8.2%","0.4%","5.5%","0.8%","N","N","N","N","N","129,105","11.7%","1.5%","3.7%","0.4%"
"    Foreign born","245,995","9.1%","0.4%","1.8%","3.8%","21,868","8.9%","0.1%","0.8%","0.5%","186,168","9.1%","0.4%","2.1%","3.5%","N","N","N","N","N","25,288","12.4%","0.7%","1.5%","3.0%"
"        Naturalized U.S. citizen","137,458","6.1%","0.2%","1.5%","0.7%","10,338","1.7%","0.0%","1.2%","0.0%","106,101","5.7%","0.2%","1.7%","0.8%","N","N","N","N","N","15,032","12.3%","0.8%","0.5%","0.1%"
"        Not a U.S. citizen","108,537","12.9%","0.6%","2.2%","7.7%","11,530","15.4%","0.2%","0.4%","0.9%","80,067","13.6%","0.7%","2.5%","7.0%","N","N","N","N","N","10,256","12.6%","0.6%","2.9%","7.2%"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,121,353","8.4%","0.6%","4.3%","1.2%","151,937","6.8%","1.3%","2.7%","0.5%","787,245","8.3%","0.4%","4.8%","1.3%","55,034","4.9%","0.2%","3.1%","2.6%","127,066","12.2%","1.6%","3.4%","0.9%"
"    Never married","364,551","10.8%","1.0%","5.6%","1.6%","47,705","9.5%","2.2%","4.3%","0.6%","263,146","10.0%","0.5%","6.0%","1.6%","14,906","7.8%","0.5%","3.5%","6.5%","38,794","19.0%","2.4%","4.6%","0.7%"
"    Now married, except separated","566,118","6.8%","0.3%","4.0%","1.1%","74,921","4.9%","0.2%","1.7%","0.2%","394,430","7.4%","0.3%","4.8%","1.2%","30,313","3.4%","0.1%","2.7%","1.2%","66,400","6.9%","0.9%","2.2%","1.1%"
"    Divorced or separated","120,913","10.7%","0.6%","3.6%","0.8%","19,278","8.8%","0.0%","3.6%","1.5%","79,288","10.0%","0.3%","3.1%","0.7%","6,530","4.7%","0.0%","3.4%","1.0%","15,800","19.5%","2.6%","6.0%","0.4%"
"    Widowed","69,771","4.6%","1.4%","0.9%","1.2%","10,033","3.9%","8.0%","0.8%","0.4%","50,381","4.2%","0.1%","0.8%","1.7%","3,285","6.1%","0.0%","3.9%","0.0%","6,072","8.1%","1.9%","0.9%","0.0%"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","939,512","8.0%","0.5%","3.3%","1.0%","129,690","6.6%","1.4%","2.5%","0.5%","652,231","7.8%","0.2%","3.5%","1.1%","N","N","N","N","N","109,245","12.0%","1.4%","3.4%","0.8%"
"    Less than high school graduate","88,388","7.9%","0.7%","1.6%","1.1%","12,790","9.2%","1.1%","2.4%","0.0%","61,238","7.8%","0.2%","1.6%","1.5%","N","N","N","N","N","10,096","9.2%","3.5%","0.9%","0.0%"
"    High school graduate (includes equivalency)","267,463","8.7%","0.5%","2.6%","0.5%","43,254","6.6%","1.7%","1.2%","1.0%","177,569","7.9%","0.2%","3.0%","0.5%","N","N","N","N","N","32,835","16.6%","0.7%","3.0%","0.0%"
"    Some college or associate's degree","310,387","8.0%","0.8%","4.1%","0.9%","43,998","6.7%","1.9%","3.9%","0.0%","213,256","8.4%","0.4%","4.3%","1.0%","N","N","N","N","N","36,399","10.4%","2.4%","3.7%","1.4%"
"    Bachelor's degree","180,231","7.3%","0.2%","3.7%","1.5%","18,571","5.7%","0.5%","1.3%","0.3%","132,553","7.2%","0.1%","3.7%","1.8%","N","N","N","N","N","19,631","10.3%","0.7%","5.7%","1.5%"
"    Graduate or professional degree","93,043","7.0%","0.2%","3.6%","1.1%","11,077","4.6%","0.3%","3.9%","0.7%","67,615","7.3%","0.2%","3.6%","1.3%","N","N","N","N","N","10,284","8.4%","0.0%","1.3%","1.2%"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","1,121,353","8.4%","0.6%","4.3%","1.2%","151,937","6.8%","1.3%","2.7%","0.5%","787,245","8.3%","0.4%","4.8%","1.3%","N","N","N","N","N","127,066","12.2%","1.6%","3.4%","0.9%"
"    $1 to $9,999 or loss","176,939","9.1%","1.2%","5.3%","1.8%","28,464","6.6%","2.6%","3.4%","0.4%","121,324","9.3%","0.9%","5.9%","1.6%","N","N","N","N","N","17,709","14.0%","2.1%","6.3%","0.4%"
"    $10,000 to $14,999","90,368","8.9%","0.5%","4.7%","1.0%","12,610","6.5%","0.4%","4.0%","1.8%","63,167","9.0%","0.1%","5.3%","1.0%","N","N","N","N","N","10,152","13.6%","2.8%","2.3%","0.7%"
"    $15,000 to $24,999","158,146","9.4%","0.6%","5.8%","0.5%","25,448","6.2%","0.2%","5.0%","0.0%","104,811","9.0%","0.2%","6.5%","0.7%","N","N","N","N","N","19,626","17.1%","3.3%","3.9%","0.5%"
"    $25,000 to $34,999","135,526","7.1%","0.9%","3.0%","1.1%","19,949","5.5%","5.0%","0.4%","1.2%","89,434","6.2%","0.0%","3.7%","1.4%","N","N","N","N","N","17,507","15.7%","1.4%","2.6%","0.0%"
